# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.08.02-15.52.10-00125:3",
#   "date": "2018-08-02",
#   "duration": 1.0,
#   "duration approach": 0.5,
#   "duration retract": 0.5,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-LGAgarose/10Speed/10um_sec_2nN-2018.08.02-16.49.01.758.jpk-force",
#   "point count": 5002,
#   "position x": 1.6666666661510276e-05,
#   "position y": -6.102259429574953e-13,
#   "rate approach": 5002.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1438203619871064e-08,
#   "session id": "2018.08.02-15.52.10-00125",
#   "setpoint": 2.0000000000000005e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 9.999999999999999e-06,
#   "speed retract": 9.999999999999999e-06,
#   "spring constant": 0.08758121319465338,
#   "time": "16:49:01.758",
#   "z range": 4.069957118757853e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-4.0554409e-12	1	-9.2042475e-11	-9.6097916e-11	1.1798566e-05	9.2468463e-06	0	0	4.4771792e-06
-4.0554409e-12	1	-8.6438473e-11	-9.0493914e-11	1.1796381e-05	9.2447438e-06	0	0.00019992003	4.475059e-06
-4.0554409e-12	1	-8.9112652e-11	-9.3168093e-11	1.1794489e-05	9.2426533e-06	0	0.00039984006	4.4731358e-06
-4.0554409e-12	1	-8.8987843e-11	-9.3043284e-11	1.1792365e-05	9.2405636e-06	0	0.0005997601	4.4710135e-06
-4.0554409e-12	1	-6.0174835e-11	-6.4230276e-11	1.1790403e-05	9.2384848e-06	0	0.00079968013	4.4693805e-06
-4.0554409e-12	1	-7.7309894e-11	-8.1365335e-11	1.1788239e-05	9.2364052e-06	0	0.00099960016	4.4670208e-06
-4.0554409e-12	1	-8.4349407e-11	-8.8404848e-11	1.1786316e-05	9.2343278e-06	0	0.0011995202	4.4650175e-06
-4.0554409e-12	1	-5.2415435e-11	-5.6470876e-11	1.1784297e-05	9.2322519e-06	0	0.0013994402	4.4633628e-06
-4.0554409e-12	1	-5.9161854e-11	-6.3217295e-11	1.178193e-05	9.2302099e-06	0	0.0015993603	4.4609188e-06
-4.0554409e-12	1	-3.5831256e-11	-3.9886697e-11	1.1780037e-05	9.2281841e-06	0	0.0017992803	4.4592926e-06
-4.0554409e-12	1	-1.9813993e-11	-2.3869434e-11	1.1778232e-05	9.2261278e-06	0	0.0019992003	4.4576703e-06
-4.0554409e-12	1	-1.5549212e-11	-1.9604653e-11	1.177606e-05	9.2240743e-06	0	0.0021991204	4.4555471e-06
-4.0554409e-12	1	5.3232833e-12	1.2678424e-12	1.1774194e-05	9.2220207e-06	0	0.0023990404	4.4539197e-06
-4.0554409e-12	1	-3.6181037e-12	-7.6735446e-12	1.1772353e-05	9.2199566e-06	0	0.0025989604	4.4519766e-06
-4.0554409e-12	1	2.3605032e-11	1.9549591e-11	1.17702e-05	9.217881e-06	0	0.0027988804	4.4501346e-06
-4.0554409e-12	1	3.1517393e-11	2.7461952e-11	1.1768223e-05	9.2158221e-06	0	0.0029988005	4.4482471e-06
-4.0554409e-12	1	2.2218742e-11	1.8163301e-11	1.1766386e-05	9.213754e-06	0	0.0031987205	4.4463043e-06
-4.0554409e-12	1	1.7131379e-11	1.3075938e-11	1.1764357e-05	9.2116552e-06	0	0.0033986405	4.4442168e-06
-4.0554409e-12	1	1.7160147e-11	1.3104706e-11	1.1762161e-05	9.2095978e-06	0	0.0035985606	4.4420212e-06
-4.0554409e-12	1	2.3406077e-11	1.9350637e-11	1.1760253e-05	9.2075443e-06	0	0.0037984806	4.4401847e-06
-4.0554409e-12	1	4.6274575e-11	4.2219134e-11	1.1758282e-05	9.2054821e-06	0	0.0039984006	4.4384747e-06
