# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.08.02-15.52.10-00167:3",
#   "date": "2018-08-02",
#   "duration": 0.6666666666666666,
#   "duration approach": 0.3333333333333333,
#   "duration retract": 0.3333333333333333,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-LGAgarose/15Speed/15um_sec_2nN_B-2018.08.02-17.14.43.138.jpk-force",
#   "point count": 3334,
#   "position x": 1.6666666661510276e-05,
#   "position y": -6.102259429574953e-13,
#   "rate approach": 5001.0,
#   "rate retract": 5001.0,
#   "segment count": 2,
#   "sensitivity": 2.1438203619871064e-08,
#   "session id": "2018.08.02-15.52.10-00167",
#   "setpoint": 2.0000000000000005e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 1.4999999999999999e-05,
#   "speed retract": 1.4999999999999999e-05,
#   "spring constant": 0.08758121319465338,
#   "time": "17:14:43.138",
#   "z range": 4.250944236583105e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-1.1225749e-11	1	-2.0156567e-10	-2.1279142e-10	8.3911227e-06	7.0854296e-06	0	0	4.5059395e-06
-1.1225749e-11	1	-1.9264996e-10	-2.0387571e-10	8.387972e-06	7.0822852e-06	0	0.00019996001	4.5028907e-06
-1.1225749e-11	1	-2.2380948e-10	-2.3503523e-10	8.3852228e-06	7.0791291e-06	0	0.00039992002	4.4997856e-06
-1.1225749e-11	1	-2.3430938e-10	-2.4553513e-10	8.3821304e-06	7.0759639e-06	0	0.00059988002	4.4965733e-06
-1.1225749e-11	1	-1.9470159e-10	-2.0592734e-10	8.3791524e-06	7.0728083e-06	0	0.00079984003	4.4940476e-06
-1.1225749e-11	1	-2.0139559e-10	-2.1262134e-10	8.3757842e-06	7.0696723e-06	0	0.00099980004	4.490603e-06
-1.1225749e-11	1	-1.9186588e-10	-2.0309163e-10	8.3730304e-06	7.0665447e-06	0	0.00119976	4.487958e-06
-1.1225749e-11	1	-1.8904303e-10	-2.0026878e-10	8.3701802e-06	7.0633901e-06	0	0.0013997201	4.4851401e-06
-1.1225749e-11	1	-1.5589498e-10	-1.6712073e-10	8.3668277e-06	7.0602514e-06	0	0.0015996801	4.482166e-06
-1.1225749e-11	1	-1.5330531e-10	-1.6453106e-10	8.3639843e-06	7.0571328e-06	0	0.0017996401	4.4793521e-06
-1.1225749e-11	1	-1.2439423e-10	-1.3561998e-10	8.3609278e-06	7.0540024e-06	0	0.0019996001	4.4766258e-06
