# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.08.02-15.52.10-00169:0",
#   "date": "2018-08-02",
#   "duration": 2.0,
#   "duration approach": 1.0,
#   "duration retract": 1.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-LGAgarose/5Speed/5um_sec_2nN_B-2018.08.02-17.15.16.834.jpk-force",
#   "point count": 10004,
#   "position x": -1.6666666684649753e-05,
#   "position y": -1.6666666257884132e-05,
#   "rate approach": 5002.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1438203619871064e-08,
#   "session id": "2018.08.02-15.52.10-00169",
#   "setpoint": 2.0000000000000005e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 4.9999999999999996e-06,
#   "speed retract": 4.9999999999999996e-06,
#   "spring constant": 0.08758121319465338,
#   "time": "17:15:16.834",
#   "z range": 4.044044134708967e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
1.3417675e-12	1	5.722298e-12	7.0640655e-12	1.170911e-05	8.2786661e-06	0	0	4.4119126e-06
1.3417675e-12	1	2.192996e-11	2.3271728e-11	1.1708045e-05	8.2779662e-06	0	0.00019992003	4.4110324e-06
1.3417675e-12	1	2.2028362e-11	2.3370129e-11	1.1707178e-05	8.2772466e-06	0	0.00039984006	4.4101668e-06
1.3417675e-12	1	5.8741934e-12	7.2159609e-12	1.1706179e-05	8.2765274e-06	0	0.0005997601	4.4089834e-06
1.3417675e-12	1	1.9946086e-11	2.1287853e-11	1.1704961e-05	8.2758215e-06	0	0.00079968013	4.407926e-06
1.3417675e-12	1	7.2476452e-12	8.5894127e-12	1.1703861e-05	8.275138e-06	0	0.00099960016	4.4066815e-06
1.3417675e-12	1	2.5624599e-11	2.6966366e-11	1.1703027e-05	8.27445e-06	0	0.0011995202	4.4060571e-06
1.3417675e-12	1	1.1259181e-12	2.4676856e-12	1.1701937e-05	8.2737572e-06	0	0.0013994402	4.4046875e-06
1.3417675e-12	1	-7.3768932e-12	-6.0351257e-12	1.1701121e-05	8.273058e-06	0	0.0015993603	4.4037742e-06
1.3417675e-12	1	1.812193e-11	1.9463698e-11	1.1700229e-05	8.272338e-06	0	0.0017992803	4.4031728e-06
1.3417675e-12	1	-5.8429907e-12	-4.5012232e-12	1.169904e-05	8.2716197e-06	0	0.0019992003	4.4017107e-06
1.3417675e-12	1	-2.2349914e-12	-8.9322384e-13	1.1698026e-05	8.2709227e-06	0	0.0021991204	4.4007383e-06
1.3417675e-12	1	2.3452101e-11	2.4793868e-11	1.1696896e-05	8.2702347e-06	0	0.0023990404	4.3999014e-06
1.3417675e-12	1	1.6324882e-11	1.766665e-11	1.1695995e-05	8.269539e-06	0	0.0025989604	4.3989185e-06
1.3417675e-12	1	-1.9750529e-12	-6.3328535e-13	1.1695196e-05	8.2688335e-06	0	0.0027988804	4.3979112e-06
1.3417675e-12	1	1.2300777e-11	1.3642544e-11	1.169408e-05	8.2681184e-06	0	0.0029988005	4.3969575e-06
1.3417675e-12	1	4.1124426e-12	5.4542101e-12	1.1692869e-05	8.2674219e-06	0	0.0031987205	4.3956531e-06
1.3417675e-12	1	1.3083778e-11	1.4425546e-11	1.1692097e-05	8.266739e-06	0	0.0033986405	4.3949841e-06
1.3417675e-12	1	3.6283874e-11	3.7625641e-11	1.1690954e-05	8.2660336e-06	0	0.0035985606	4.3941053e-06
1.3417675e-12	1	1.2635582e-11	1.3977349e-11	1.1690043e-05	8.2653338e-06	0	0.0037984806	4.3929249e-06
1.3417675e-12	1	8.3048335e-12	9.646601e-12	1.1688979e-05	8.2646417e-06	0	0.0039984006	4.3918108e-06
1.3417675e-12	1	1.905361e-11	2.0395377e-11	1.1688035e-05	8.2639471e-06	0	0.0041983207	4.39099e-06
1.3417675e-12	1	2.0315822e-11	2.165759e-11	1.1687036e-05	8.2632443e-06	0	0.0043982407	4.3900054e-06
1.3417675e-12	1	2.6453594e-11	2.7795362e-11	1.1686064e-05	8.2625404e-06	0	0.0045981607	4.3891034e-06
1.3417675e-12	1	-1.2035312e-11	-1.0693544e-11	1.1685138e-05	8.2618296e-06	0	0.0047980808	4.3877378e-06
1.3417675e-12	1	2.48063e-11	2.6148068e-11	1.1684053e-05	8.2611262e-06	0	0.0049980008	4.3870731e-06
1.3417675e-12	1	1.3157579e-11	1.4499347e-11	1.1683012e-05	8.260428e-06	0	0.0051979208	4.3858995e-06
1.3417675e-12	1	-1.6768608e-11	-1.542684e-11	1.1682148e-05	8.2597161e-06	0	0.0053978409	4.3846934e-06
1.3417675e-12	1	1.5327947e-11	1.6669714e-11	1.1680865e-05	8.259017e-06	0	0.0055977609	4.3837772e-06
1.3417675e-12	1	1.2360922e-12	2.5778597e-12	1.1679986e-05	8.258337e-06	0	0.0057976809	4.3827372e-06
1.3417675e-12	1	7.2358829e-12	8.5776505e-12	1.1678988e-05	8.2576439e-06	0	0.005997601	4.3818078e-06
1.3417675e-12	1	-4.9035112e-13	8.514164e-13	1.1678188e-05	8.2569362e-06	0	0.006197521	4.3809202e-06
1.3417675e-12	1	-1.2068478e-11	-1.072671e-11	1.1677131e-05	8.2562196e-06	0	0.006397441	4.3797306e-06
1.3417675e-12	1	1.5409238e-11	1.6751005e-11	1.1675871e-05	8.255524e-06	0	0.0065973611	4.3787841e-06
1.3417675e-12	1	9.4565165e-12	1.0798284e-11	1.1674896e-05	8.254839e-06	0	0.0067972811	4.3777418e-06
1.3417675e-12	1	1.9790618e-11	2.1132385e-11	1.1674025e-05	8.254162e-06	0	0.0069972011	4.3769886e-06
1.3417675e-12	1	-3.1006939e-12	-1.7589264e-12	1.1673136e-05	8.2534588e-06	0	0.0071971212	4.3758383e-06
1.3417675e-12	1	-6.6470546e-13	6.7706205e-13	1.1672155e-05	8.2527412e-06	0	0.0073970412	4.3748848e-06
1.3417675e-12	1	1.605104e-11	1.7392808e-11	1.1671007e-05	8.2520298e-06	0	0.0075969612	4.3739275e-06
1.3417675e-12	1	2.1125565e-11	2.2467333e-11	1.1670177e-05	8.2513206e-06	0	0.0077968812	4.3731557e-06
1.3417675e-12	1	2.2834898e-11	2.4176666e-11	1.1669031e-05	8.2506158e-06	0	0.0079968013	4.3720293e-06
1.3417675e-12	1	-2.1312311e-12	-7.8946363e-13	1.1668092e-05	8.2499169e-06	0	0.0081967213	4.3708047e-06
1.3417675e-12	1	1.5287301e-11	1.6629069e-11	1.1667062e-05	8.2492143e-06	0	0.0083966413	4.3699743e-06
1.3417675e-12	1	-1.3646243e-11	-1.2304476e-11	1.1666123e-05	8.2485e-06	0	0.0085965614	4.3687043e-06
1.3417675e-12	1	3.257771e-12	4.5995385e-12	1.1665082e-05	8.2477913e-06	0	0.0087964814	4.3678568e-06
1.3417675e-12	1	-1.4102685e-12	-6.8500965e-14	1.1664192e-05	8.247086e-06	0	0.0089964014	4.3669133e-06
1.3417675e-12	1	1.6126186e-12	2.9543861e-12	1.1662974e-05	8.2463677e-06	0	0.0091963215	4.3657301e-06
1.3417675e-12	1	2.7184178e-11	2.8525945e-11	1.166212e-05	8.2456689e-06	0	0.0093962415	4.3651677e-06
1.3417675e-12	1	1.1400111e-11	1.2741879e-11	1.1661239e-05	8.2449527e-06	0	0.0095961615	4.3641062e-06
1.3417675e-12	1	-3.5228694e-12	-2.1811019e-12	1.1660073e-05	8.2442303e-06	0	0.0097960816	4.3627697e-06
1.3417675e-12	1	2.4697192e-11	2.6038959e-11	1.1659088e-05	8.2435317e-06	0	0.0099960016	4.3621075e-06
1.3417675e-12	1	4.6020157e-12	5.9437832e-12	1.1658193e-05	8.2428235e-06	0	0.010195922	4.3609832e-06
1.3417675e-12	1	2.1760944e-11	2.3102711e-11	1.1656982e-05	8.2421087e-06	0	0.010395842	4.3599683e-06
1.3417675e-12	1	3.8439593e-12	5.1857268e-12	1.1656042e-05	8.2414161e-06	0	0.010595762	4.358823e-06
1.3417675e-12	1	1.3757671e-11	1.5099439e-11	1.1655109e-05	8.2407114e-06	0	0.010795682	4.3580033e-06
1.3417675e-12	1	-9.7590534e-12	-8.4172858e-12	1.1654058e-05	8.2400046e-06	0	0.010995602	4.3566842e-06
1.3417675e-12	1	2.4679016e-11	2.6020783e-11	1.1653047e-05	8.2393116e-06	0	0.011195522	4.356066e-06
1.3417675e-12	1	2.6223615e-11	2.7565382e-11	1.165213e-05	8.238602e-06	0	0.011395442	4.3551665e-06
1.3417675e-12	1	3.286735e-11	3.4209117e-11	1.1651141e-05	8.2378904e-06	0	0.011595362	4.3542534e-06
1.3417675e-12	1	-9.8082645e-12	-8.466497e-12	1.1650042e-05	8.2371826e-06	0	0.011795282	4.3526674e-06
1.3417675e-12	1	4.0864209e-11	4.2205976e-11	1.164919e-05	8.236471e-06	0	0.011995202	4.3523938e-06
1.3417675e-12	1	4.905396e-13	1.8323071e-12	1.1647983e-05	8.2357601e-06	0	0.012195122	4.3507264e-06
1.3417675e-12	1	5.8252716e-13	1.9242947e-12	1.1647027e-05	8.2350752e-06	0	0.012395042	4.349771e-06
1.3417675e-12	1	-1.4807902e-11	-1.3466135e-11	1.1645978e-05	8.234376e-06	0	0.012594962	4.3485458e-06
1.3417675e-12	1	1.6446819e-11	1.7788586e-11	1.1645051e-05	8.2336859e-06	0	0.012794882	4.3479765e-06
1.3417675e-12	1	3.8343281e-12	5.1760956e-12	1.1644111e-05	8.2329802e-06	0	0.012994802	4.3468918e-06
1.3417675e-12	1	1.8119789e-11	1.9461556e-11	1.1643052e-05	8.2322797e-06	0	0.013194722	4.3459964e-06
1.3417675e-12	1	1.2911816e-11	1.4253584e-11	1.1641891e-05	8.2315945e-06	0	0.013394642	4.3447754e-06
1.3417675e-12	1	1.303885e-11	1.4380618e-11	1.1641068e-05	8.2308958e-06	0	0.013594562	4.3439538e-06
1.3417675e-12	1	1.4479699e-11	1.5821467e-11	1.1640108e-05	8.2301962e-06	0	0.013794482	4.3430105e-06
1.3417675e-12	1	9.4971619e-12	1.0838929e-11	1.1639076e-05	8.2294869e-06	0	0.013994402	4.3419221e-06
1.3417675e-12	1	2.3028504e-11	2.4370272e-11	1.1638e-05	8.2287902e-06	0	0.014194322	4.3410002e-06
1.3417675e-12	1	2.6149027e-12	3.9566702e-12	1.1637022e-05	8.2280998e-06	0	0.014394242	4.3397894e-06
1.3417675e-12	1	1.7787115e-11	1.9128882e-11	1.1636018e-05	8.2273973e-06	0	0.014594162	4.338958e-06
1.3417675e-12	1	6.6903506e-12	8.0321181e-12	1.1635094e-05	8.2267013e-06	0	0.014794082	4.3379074e-06
1.3417675e-12	1	-4.1368649e-12	-2.7950974e-12	1.1633999e-05	8.2260072e-06	0	0.014994002	4.3366895e-06
1.3417675e-12	1	1.3846452e-11	1.5188219e-11	1.1632995e-05	8.2253106e-06	0	0.015193922	4.3358902e-06
1.3417675e-12	1	2.0284797e-11	2.1626565e-11	1.1632026e-05	8.224625e-06	0	0.015393842	4.3349949e-06
1.3417675e-12	1	-9.659576e-12	-8.3178085e-12	1.1631093e-05	8.2239197e-06	0	0.015593762	4.3337202e-06
1.3417675e-12	1	2.6683863e-12	4.0101538e-12	1.1630097e-05	8.2232009e-06	0	0.015793683	4.3328653e-06
1.3417675e-12	1	1.342928e-11	1.4771048e-11	1.1629093e-05	8.2225068e-06	0	0.015993603	4.3319835e-06
1.3417675e-12	1	1.7741121e-11	1.9082889e-11	1.162816e-05	8.221789e-06	0	0.016193523	4.3310999e-06
1.3417675e-12	1	1.4127773e-11	1.5469541e-11	1.1626832e-05	8.2210987e-06	0	0.016393443	4.3297311e-06
1.3417675e-12	1	1.1996881e-11	1.3338649e-11	1.1626019e-05	8.2204178e-06	0	0.016593363	4.3288934e-06
1.3417675e-12	1	-4.36042e-12	-3.0186525e-12	1.1625063e-05	8.2197268e-06	0	0.016793283	4.3277507e-06
1.3417675e-12	1	-4.8481964e-12	-3.5064289e-12	1.1624201e-05	8.2190173e-06	0	0.016993203	4.3268828e-06
1.3417675e-12	1	1.2067591e-11	1.3409358e-11	1.1622823e-05	8.2183209e-06	0	0.017193123	4.325698e-06
1.3417675e-12	1	7.4316307e-12	8.7733982e-12	1.1622092e-05	8.2176399e-06	0	0.017393043	4.324914e-06
1.3417675e-12	1	2.8630375e-11	2.9972143e-11	1.1621043e-05	8.2169412e-06	0	0.017592963	4.3241077e-06
1.3417675e-12	1	-1.3804552e-11	-1.2462785e-11	1.1619854e-05	8.2162478e-06	0	0.017792883	4.3224335e-06
1.3417675e-12	1	-1.2819079e-12	5.9859597e-14	1.1619191e-05	8.2155649e-06	0	0.017992803	4.3219139e-06
1.3417675e-12	1	2.3678128e-12	3.7095803e-12	1.1618175e-05	8.2148362e-06	0	0.018192723	4.3209397e-06
1.3417675e-12	1	1.8413949e-11	1.9755716e-11	1.1617036e-05	8.2141301e-06	0	0.018392643	4.3199837e-06
1.3417675e-12	1	1.4149167e-11	1.5490934e-11	1.161593e-05	8.2134472e-06	0	0.018592563	4.3188284e-06
1.3417675e-12	1	5.9586912e-12	7.3004587e-12	1.1615081e-05	8.2127475e-06	0	0.018792483	4.3178861e-06
1.3417675e-12	1	1.0582878e-11	1.1924646e-11	1.1613994e-05	8.2120582e-06	0	0.018992403	4.3168524e-06
1.3417675e-12	1	1.5393192e-11	1.673496e-11	1.1612983e-05	8.211362e-06	0	0.019192323	4.315896e-06
1.3417675e-12	1	5.8667036e-12	7.2084711e-12	1.1611972e-05	8.2106798e-06	0	0.019392243	4.3147759e-06
1.3417675e-12	1	1.8970867e-11	2.0312635e-11	1.1611164e-05	8.2099776e-06	0	0.019592163	4.3141179e-06
1.3417675e-12	1	-9.8991866e-12	-8.5574191e-12	1.1610072e-05	8.2092719e-06	0	0.019792083	4.3126965e-06
1.3417675e-12	1	5.4313453e-12	6.7731128e-12	1.1609092e-05	8.2085675e-06	0	0.019992003	4.3118916e-06
1.3417675e-12	1	2.6950991e-11	2.8292759e-11	1.1608018e-05	8.207872e-06	0	0.020191923	4.3110631e-06
1.3417675e-12	1	1.9078541e-12	3.2496216e-12	1.1607031e-05	8.2071787e-06	0	0.020391843	4.3097905e-06
1.3417675e-12	1	8.6136176e-12	9.9553851e-12	1.160609e-05	8.2064871e-06	0	0.020591763	4.3089252e-06
1.3417675e-12	1	1.4191954e-11	1.5533721e-11	1.1605233e-05	8.2057719e-06	0	0.020791683	4.3081323e-06
1.3417675e-12	1	7.309684e-12	8.6514515e-12	1.1604022e-05	8.2050529e-06	0	0.020991603	4.3068428e-06
1.3417675e-12	1	2.0137453e-12	3.3555128e-12	1.1602988e-05	8.2043642e-06	0	0.021191523	4.3057485e-06
1.3417675e-12	1	1.1576607e-11	1.2918375e-11	1.1601995e-05	8.2036761e-06	0	0.021391443	4.3048643e-06
1.3417675e-12	1	1.0072653e-11	1.1414421e-11	1.1601015e-05	8.2029852e-06	0	0.021591363	4.3038672e-06
