# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.08.02-15.52.10-00125:5",
#   "date": "2018-08-02",
#   "duration": 2.0,
#   "duration approach": 1.0,
#   "duration retract": 1.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-LGAgarose/5Speed/5um_sec_2nN-2018.08.02-16.50.09.262.jpk-force",
#   "point count": 10004,
#   "position x": -1.6666666684649753e-05,
#   "position y": 7.423801631485476e-15,
#   "rate approach": 5002.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1438203619871064e-08,
#   "session id": "2018.08.02-15.52.10-00125",
#   "setpoint": 2.0000000000000005e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 4.9999999999999996e-06,
#   "speed retract": 4.9999999999999996e-06,
#   "spring constant": 0.08758121319465338,
#   "time": "16:50:09.262",
#   "z range": 4.039545167491883e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-4.0543477e-12	1	4.1969839e-11	3.7915491e-11	1.220142e-05	9.4523161e-06	0	0	4.475152e-06
-4.0543477e-12	1	1.6413249e-11	1.2358901e-11	1.2200509e-05	9.4512854e-06	0	0.00019992003	4.4739487e-06
-4.0543477e-12	1	6.5401826e-12	2.4858349e-12	1.2199394e-05	9.4502581e-06	0	0.00039984006	4.4727214e-06
-4.0543477e-12	1	-3.4355682e-12	-7.489916e-12	1.2198476e-05	9.4492369e-06	0	0.0005997601	4.4716892e-06
-4.0543477e-12	1	8.8421174e-12	4.7877697e-12	1.2197447e-05	9.4481965e-06	0	0.00079968013	4.4708001e-06
-4.0543477e-12	1	-4.0271048e-12	-8.0814526e-12	1.2196524e-05	9.4471622e-06	0	0.00099960016	4.4697304e-06
-4.0543477e-12	1	1.072688e-11	6.6725327e-12	1.2195552e-05	9.44612e-06	0	0.0011995202	4.4689268e-06
-4.0543477e-12	1	-4.4784978e-12	-8.5328455e-12	1.2194361e-05	9.4450875e-06	0	0.0013994402	4.4675624e-06
-4.0543477e-12	1	3.0295192e-12	-1.0248286e-12	1.2193528e-05	9.4440594e-06	0	0.0015993603	4.466815e-06
-4.0543477e-12	1	-1.2157673e-11	-1.621202e-11	1.2192517e-05	9.4430171e-06	0	0.0017992803	4.4656303e-06
