# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.03.03-13.02.46-00064:1",
#   "date": "2021-03-03",
#   "duration": 5.109999999999999,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Interphase_Rep2/2um_s/Spread6_2um_s-2021.03.03-16.35.31.822.jpk-force",
#   "point count": 25550,
#   "position x": 2.000000095025507e-06,
#   "position y": -1.999999863645143e-06,
#   "rate approach": 2408.6,
#   "rate retract": 2701.4,
#   "segment count": 2,
#   "sensitivity": 2.5441681455215882e-08,
#   "session id": "2021.03.03-13.02.46-00064",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.05302217661965075,
#   "time": "16:35:31.822",
#   "z range": 3.801334589812306e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
1.4107282e-12	1	-1.359259e-12	5.146921e-14	1.7011002e-05	1.1702099e-05	0	0	3.9100214e-06
1.4107282e-12	1	6.9417073e-12	8.3524355e-12	1.7010951e-05	1.1702095e-05	0	0.0002	3.910127e-06
1.4107282e-12	1	5.9193728e-12	7.3301011e-12	1.7011068e-05	1.1702047e-05	0	0.0004	3.9102248e-06
1.4107282e-12	1	4.8139611e-12	6.2246893e-12	1.7011095e-05	1.1701936e-05	0	0.0006	3.9102318e-06
1.4107282e-12	1	1.8805053e-11	2.0215782e-11	1.7010967e-05	1.1701765e-05	0	0.0008	3.9103669e-06
1.4107282e-12	1	1.6037298e-11	1.7448027e-11	1.7010978e-05	1.1701533e-05	0	0.001	3.9103263e-06
1.4107282e-12	1	1.6138074e-11	1.7548803e-11	1.701068e-05	1.1701278e-05	0	0.0012	3.9100302e-06
1.4107282e-12	1	1.28619e-12	2.6969182e-12	1.7010541e-05	1.1700981e-05	0	0.0014	3.9096109e-06
1.4107282e-12	1	2.7602951e-11	2.9013679e-11	1.701028e-05	1.1700659e-05	0	0.0016	3.9098464e-06
1.4107282e-12	1	2.7376789e-11	2.8787517e-11	1.7010155e-05	1.1700301e-05	0	0.0018	3.9097169e-06
1.4107282e-12	1	4.5185741e-12	5.9293024e-12	1.7009613e-05	1.1699939e-05	0	0.002	3.9087442e-06
