# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.03.03-13.02.46-00064:2",
#   "date": "2021-03-03",
#   "duration": 5.8318,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Interphase_Rep2/2um_s/Spread6_2um_s-2021.03.03-16.35.37.455.jpk-force",
#   "point count": 29159,
#   "position x": 1.999999488994869e-06,
#   "position y": 2.0000002611189682e-06,
#   "rate approach": 2906.0,
#   "rate retract": 2925.8,
#   "segment count": 2,
#   "sensitivity": 2.5441681455215882e-08,
#   "session id": "2021.03.03-13.02.46-00064",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.05302217661965075,
#   "time": "16:35:37.455",
#   "z range": 4.4695050119360915e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
1.8709877e-12	1	3.9493776e-11	4.1364764e-11	1.6997149e-05	1.17021e-05	0	0	4.7715258e-06
1.8709877e-12	1	3.1622057e-11	3.3493044e-11	1.6997297e-05	1.1702098e-05	0	0.0002	4.7715258e-06
1.8709877e-12	1	5.525568e-11	5.7126668e-11	1.6997307e-05	1.1702078e-05	0	0.0004	4.7719808e-06
1.8709877e-12	1	3.4737514e-11	3.6608501e-11	1.6997279e-05	1.1702001e-05	0	0.0006	4.771566e-06
1.8709877e-12	1	4.2833855e-11	4.4704843e-11	1.699733e-05	1.1701844e-05	0	0.0008	4.7717697e-06
1.8709877e-12	1	2.5596534e-11	2.7467522e-11	1.6997214e-05	1.1701649e-05	0	0.001	4.7713286e-06
1.8709877e-12	1	5.9118082e-11	6.098907e-11	1.6997042e-05	1.1701411e-05	0	0.0012	4.7717892e-06
1.8709877e-12	1	4.6357014e-11	4.8228002e-11	1.6996843e-05	1.1701136e-05	0	0.0014	4.7713491e-06
1.8709877e-12	1	4.5212373e-11	4.7083361e-11	1.6996625e-05	1.170083e-05	0	0.0016	4.7711095e-06
1.8709877e-12	1	5.0107101e-11	5.1978089e-11	1.6996351e-05	1.1700499e-05	0	0.0018	4.7709282e-06
