# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.03.03-13.02.46-00064:3",
#   "date": "2021-03-03",
#   "duration": 5.486000000000001,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Interphase_Rep2/2um_s/Spread6_2um_s-2021.03.03-16.35.43.064.jpk-force",
#   "point count": 27430,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 2663.4,
#   "rate retract": 2822.6,
#   "segment count": 2,
#   "sensitivity": 2.5441681455215882e-08,
#   "session id": "2021.03.03-13.02.46-00064",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.05302217661965075,
#   "time": "16:35:43.064",
#   "z range": 4.151685805590216e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
2.6353033e-12	1	2.2792317e-11	2.542762e-11	1.6981088e-05	1.1702098e-05	0	0	3.7145758e-06
2.6353033e-12	1	3.3634102e-11	3.6269406e-11	1.6981028e-05	1.1702061e-05	0	0.0002	3.7147199e-06
2.6353033e-12	1	3.6109543e-11	3.8744846e-11	1.6981153e-05	1.1701974e-05	0	0.0004	3.7148919e-06
2.6353033e-12	1	4.5637461e-11	4.8272764e-11	1.6981034e-05	1.1701815e-05	0	0.0006	3.7149521e-06
2.6353033e-12	1	2.5853152e-11	2.8488456e-11	1.6981046e-05	1.1701597e-05	0	0.0008	3.7145917e-06
2.6353033e-12	1	4.5559762e-11	4.8195065e-11	1.698078e-05	1.1701353e-05	0	0.001	3.7146967e-06
2.6353033e-12	1	2.1732286e-11	2.4367589e-11	1.6980795e-05	1.1701049e-05	0	0.0012	3.7142624e-06
2.6353033e-12	1	3.9421158e-11	4.2056461e-11	1.698045e-05	1.1700714e-05	0	0.0014	3.7142516e-06
2.6353033e-12	1	2.7647808e-11	3.0283111e-11	1.6980285e-05	1.1700359e-05	0	0.0016	3.7138637e-06
2.6353033e-12	1	4.0261953e-11	4.2897256e-11	1.6979946e-05	1.1699973e-05	0	0.0018	3.713763e-06
