# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.03.03-13.02.46-00064:0",
#   "date": "2021-03-03",
#   "duration": 4.7034,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Interphase_Rep2/2um_s/Spread6_2um_s-2021.03.03-16.35.26.845.jpk-force",
#   "point count": 23517,
#   "position x": -1.999999678543533e-06,
#   "position y": -1.999999234708669e-06,
#   "rate approach": 2157.6,
#   "rate retract": 2545.8,
#   "segment count": 2,
#   "sensitivity": 2.5441681455215882e-08,
#   "session id": "2021.03.03-13.02.46-00064",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.05302217661965075,
#   "time": "16:35:26.845",
#   "z range": 3.400374852769513e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-3.4325044e-12	1	9.4369502e-12	6.0044458e-12	1.709489e-05	1.17021e-05	0	0	3.5030108e-06
-3.4325044e-12	1	1.8583113e-12	-1.574193e-12	1.7094967e-05	1.17021e-05	0	0.0002	3.5029444e-06
-3.4325044e-12	1	5.1614679e-12	1.7289635e-12	1.70949e-05	1.17021e-05	0	0.0004	3.5029395e-06
-3.4325044e-12	1	-8.1311482e-12	-1.1563653e-11	1.709493e-05	1.1702097e-05	0	0.0006	3.5027189e-06
-3.4325044e-12	1	1.5928642e-11	1.2496138e-11	1.7094814e-05	1.1702069e-05	0	0.0008	3.5030567e-06
-3.4325044e-12	1	8.7938613e-12	5.361357e-12	1.7094911e-05	1.1701988e-05	0	0.001	3.5030196e-06
-3.4325044e-12	1	2.4578069e-11	2.1145565e-11	1.7094605e-05	1.170185e-05	0	0.0012	3.5030111e-06
-3.4325044e-12	1	3.6668193e-12	2.3431495e-13	1.7094438e-05	1.1701698e-05	0	0.0014	3.5024497e-06
-3.4325044e-12	1	1.7352518e-11	1.3920014e-11	1.7094419e-05	1.1701494e-05	0	0.0016	3.5026893e-06
-3.4325044e-12	1	5.7914855e-12	2.3589811e-12	1.7094181e-05	1.1701247e-05	0	0.0018	3.5022324e-06
-3.4325044e-12	1	1.491708e-11	1.1484576e-11	1.7093918e-05	1.1700976e-05	0	0.002	3.5021424e-06
-3.4325044e-12	1	1.6436346e-11	1.3003842e-11	1.7093594e-05	1.1700689e-05	0	0.0022	3.5018464e-06
-3.4325044e-12	1	1.8236388e-11	1.4803884e-11	1.7093202e-05	1.1700403e-05	0	0.0024	3.5014884e-06
-3.4325044e-12	1	5.6276295e-12	2.1951252e-12	1.7093195e-05	1.1700072e-05	0	0.0026	3.5012436e-06
-3.4325044e-12	1	2.4618838e-11	2.1186333e-11	1.7092768e-05	1.1699721e-05	0	0.0028	3.5011751e-06
-3.4325044e-12	1	2.772199e-11	2.4289485e-11	1.7092532e-05	1.1699367e-05	0	0.003	3.500997e-06
-3.4325044e-12	1	1.6050182e-11	1.2617678e-11	1.7092207e-05	1.169898e-05	0	0.0032	3.5004522e-06
-3.4325044e-12	1	1.9705653e-11	1.6273149e-11	1.7091871e-05	1.1698588e-05	0	0.0034	3.5001849e-06
-3.4325044e-12	1	2.2271097e-11	1.8838593e-11	1.709152e-05	1.1698184e-05	0	0.0036	3.499883e-06
-3.4325044e-12	1	1.3698587e-11	1.0266083e-11	1.709124e-05	1.1697768e-05	0	0.0038	3.4994407e-06
-3.4325044e-12	1	3.425137e-11	3.0818866e-11	1.7090829e-05	1.1697347e-05	0	0.004	3.4994179e-06
-3.4325044e-12	1	2.1129529e-11	1.7697025e-11	1.7090403e-05	1.1696928e-05	0	0.0042	3.4987436e-06
-3.4325044e-12	1	1.9980269e-11	1.6547764e-11	1.7089911e-05	1.1696518e-05	0	0.0044	3.4982303e-06
-3.4325044e-12	1	7.2676691e-12	3.8351647e-12	1.7089702e-05	1.16961e-05	0	0.0046	3.4977818e-06
-3.4325044e-12	1	3.1243608e-11	2.7811104e-11	1.7089122e-05	1.1695675e-05	0	0.0048	3.4976542e-06
-3.4325044e-12	1	2.3329392e-12	-1.0995651e-12	1.7088605e-05	1.1695293e-05	0	0.005	3.4965917e-06
-3.4325044e-12	1	3.3217505e-11	2.9785e-11	1.7088543e-05	1.169487e-05	0	0.0052	3.4971116e-06
-3.4325044e-12	1	2.5321168e-11	2.1888663e-11	1.7087951e-05	1.1694443e-05	0	0.0054	3.4963713e-06
-3.4325044e-12	1	3.3930592e-11	3.0498088e-11	1.7087831e-05	1.1694015e-05	0	0.0056	3.4964131e-06
-3.4325044e-12	1	2.4517303e-11	2.1084799e-11	1.7087295e-05	1.1693572e-05	0	0.0058	3.4956998e-06
-3.4325044e-12	1	1.3664738e-11	1.0232233e-11	1.7086891e-05	1.1693142e-05	0	0.006	3.4950916e-06
-3.4325044e-12	1	2.311727e-11	1.9684766e-11	1.7086534e-05	1.1692705e-05	0	0.0062	3.4949127e-06
-3.4325044e-12	1	1.9172558e-11	1.5740053e-11	1.7086112e-05	1.1692263e-05	0	0.0064	3.4944162e-06
-3.4325044e-12	1	1.594556e-11	1.2513055e-11	1.7085643e-05	1.169184e-05	0	0.0066	3.4938868e-06
-3.4325044e-12	1	3.1826697e-11	2.8394193e-11	1.7085252e-05	1.1691409e-05	0	0.0068	3.4937944e-06
-3.4325044e-12	1	7.1069006e-12	3.6743963e-12	1.7084883e-05	1.1690988e-05	0	0.007	3.4929594e-06
-3.4325044e-12	1	2.5674248e-11	2.2241744e-11	1.7084491e-05	1.1690551e-05	0	0.0072	3.4929177e-06
-3.4325044e-12	1	1.9027174e-11	1.559467e-11	1.7084231e-05	1.1690115e-05	0	0.0074	3.4925325e-06
-3.4325044e-12	1	1.8016378e-11	1.4583874e-11	1.7083656e-05	1.1689672e-05	0	0.0076	3.4919383e-06
-3.4325044e-12	1	1.7887146e-11	1.4454642e-11	1.7083294e-05	1.1689241e-05	0	0.0078	3.4915741e-06
-3.4325044e-12	1	2.3398812e-11	1.9966308e-11	1.7082895e-05	1.1688809e-05	0	0.008	3.4912791e-06
-3.4325044e-12	1	1.3482432e-11	1.0049927e-11	1.7082589e-05	1.1688371e-05	0	0.0082	3.490786e-06
-3.4325044e-12	1	1.7337133e-11	1.3904629e-11	1.708209e-05	1.168793e-05	0	0.0084	3.49036e-06
-3.4325044e-12	1	2.9521843e-12	-4.8032001e-13	1.7081698e-05	1.1687502e-05	0	0.0086	3.4896968e-06
-3.4325044e-12	1	1.9558722e-11	1.6126218e-11	1.7081397e-05	1.1687063e-05	0	0.0088	3.4897085e-06
-3.4325044e-12	1	1.8831016e-11	1.5398511e-11	1.708094e-05	1.1686618e-05	0	0.009	3.4892379e-06
-3.4325044e-12	1	1.2142399e-11	8.7098947e-12	1.7080483e-05	1.1686189e-05	0	0.0092	3.4886548e-06
-3.4325044e-12	1	2.2901881e-11	1.9469377e-11	1.7080175e-05	1.1685743e-05	0	0.0094	3.4885493e-06
-3.4325044e-12	1	1.7920996e-11	1.4488492e-11	1.70796e-05	1.1685317e-05	0	0.0096	3.4878802e-06
-3.4325044e-12	1	9.5738749e-12	6.1413705e-12	1.7079273e-05	1.1684893e-05	0	0.0098	3.4873957e-06
-3.4325044e-12	1	2.0797986e-11	1.7365482e-11	1.7078932e-05	1.168445e-05	0	0.01	3.4872665e-06
-3.4325044e-12	1	9.0661708e-12	5.6336665e-12	1.7078621e-05	1.1684015e-05	0	0.0102	3.4867345e-06
-3.4325044e-12	1	2.7436601e-11	2.4004097e-11	1.7078148e-05	1.168356e-05	0	0.0104	3.4866078e-06
-3.4325044e-12	1	2.8621244e-11	2.518874e-11	1.7077695e-05	1.1683125e-05	0	0.0106	3.4861779e-06
-3.4325044e-12	1	1.2984726e-11	9.5522219e-12	1.7077283e-05	1.16827e-05	0	0.0108	3.4854702e-06
-3.4325044e-12	1	1.11093e-11	7.6767953e-12	1.7076817e-05	1.1682275e-05	0	0.011	3.4849686e-06
-3.4325044e-12	1	2.0605674e-11	1.7173169e-11	1.7076557e-05	1.1681849e-05	0	0.0112	3.484888e-06
-3.4325044e-12	1	3.2148249e-11	2.8715745e-11	1.7076172e-05	1.1681395e-05	0	0.0114	3.4847207e-06
-3.4325044e-12	1	9.3084841e-12	5.8759798e-12	1.7075689e-05	1.1680959e-05	0	0.0116	3.4838075e-06
-3.4325044e-12	1	9.5731087e-12	6.1406043e-12	1.7075149e-05	1.1680542e-05	0	0.0118	3.4832722e-06
-3.4325044e-12	1	2.6491958e-11	2.3059454e-11	1.7074919e-05	1.1680114e-05	0	0.012	3.4833616e-06
-3.4325044e-12	1	2.5328087e-11	2.1895582e-11	1.7074442e-05	1.1679691e-05	0	0.0122	3.4828619e-06
-3.4325044e-12	1	1.9621036e-11	1.6188531e-11	1.7074187e-05	1.167925e-05	0	0.0124	3.4824992e-06
-3.4325044e-12	1	1.4931691e-11	1.1499187e-11	1.7073885e-05	1.1678797e-05	0	0.0126	3.4821092e-06
-3.4325044e-12	1	1.5247083e-11	1.1814579e-11	1.7073317e-05	1.1678352e-05	0	0.0128	3.481547e-06
-3.4325044e-12	1	1.724867e-11	1.3816165e-11	1.7072851e-05	1.1677917e-05	0	0.013	3.4811186e-06
-3.4325044e-12	1	4.0322124e-12	5.9970804e-13	1.7072482e-05	1.1677489e-05	0	0.0132	3.4805005e-06
-3.4325044e-12	1	8.5123118e-12	5.0798075e-12	1.7072097e-05	1.167706e-05	0	0.0134	3.4802e-06
-3.4325044e-12	1	2.3852466e-12	-1.0472577e-12	1.7071557e-05	1.1676642e-05	0	0.0136	3.4795441e-06
-3.4325044e-12	1	2.203263e-11	1.8600126e-11	1.7071306e-05	1.1676214e-05	0	0.0138	3.4796642e-06
-3.4325044e-12	1	1.4833995e-11	1.1401491e-11	1.7070787e-05	1.1675794e-05	0	0.014	3.4790089e-06
-3.4325044e-12	1	2.959203e-11	2.6159526e-11	1.7070418e-05	1.167537e-05	0	0.0142	3.4789185e-06
-3.4325044e-12	1	1.1502383e-11	8.0698783e-12	1.7070065e-05	1.167495e-05	0	0.0144	3.4782248e-06
-3.4325044e-12	1	8.9192473e-12	5.486743e-12	1.7069757e-05	1.1674512e-05	0	0.0146	3.4778676e-06
-3.4325044e-12	1	2.5330393e-11	2.1897888e-11	1.7069451e-05	1.1674062e-05	0	0.0148	3.477871e-06
-3.4325044e-12	1	1.7334827e-11	1.3902323e-11	1.7068806e-05	1.1673625e-05	0	0.015	3.4770755e-06
-3.4325044e-12	1	1.0140046e-11	6.707542e-12	1.7068477e-05	1.1673203e-05	0	0.0152	3.4766104e-06
-3.4325044e-12	1	2.0395663e-11	1.6963159e-11	1.7068152e-05	1.1672767e-05	0	0.0154	3.4764792e-06
-3.4325044e-12	1	1.8060993e-11	1.4628489e-11	1.7067665e-05	1.1672333e-05	0	0.0156	3.4759481e-06
-3.4325044e-12	1	4.3376056e-12	9.0510125e-13	1.7067317e-05	1.1671901e-05	0	0.0158	3.4753414e-06
-3.4325044e-12	1	4.7491536e-12	1.3166493e-12	1.7066925e-05	1.1671463e-05	0	0.016	3.4749572e-06
-3.4325044e-12	1	3.7996845e-11	3.4564341e-11	1.7066605e-05	1.1671021e-05	0	0.0162	3.4752642e-06
-3.4325044e-12	1	1.0035424e-11	6.6029197e-12	1.7065963e-05	1.167059e-05	0	0.0164	3.4740944e-06
-3.4325044e-12	1	2.1671849e-11	1.8239345e-11	1.7065763e-05	1.1670164e-05	0	0.0166	3.4741144e-06
-3.4325044e-12	1	1.8380232e-11	1.4947727e-11	1.7065195e-05	1.1669735e-05	0	0.0168	3.4734841e-06
-3.4325044e-12	1	1.1006217e-11	7.573713e-12	1.7064768e-05	1.1669317e-05	0	0.017	3.4729183e-06
-3.4325044e-12	1	1.8921613e-12	-1.5403431e-12	1.7064564e-05	1.1668891e-05	0	0.0172	3.4725423e-06
-3.4325044e-12	1	1.0722362e-11	7.2898572e-12	1.7064126e-05	1.1668455e-05	0	0.0174	3.4722705e-06
-3.4325044e-12	1	2.7351984e-11	2.391948e-11	1.7063713e-05	1.166802e-05	0	0.0176	3.4721714e-06
-3.4325044e-12	1	1.2616253e-11	9.1837488e-12	1.7063358e-05	1.166758e-05	0	0.0178	3.4715386e-06
-3.4325044e-12	1	1.2742413e-11	9.3099086e-12	1.7062994e-05	1.1667135e-05	0	0.018	3.4711769e-06
-3.4325044e-12	1	1.2963189e-11	9.5306844e-12	1.7062546e-05	1.1666684e-05	0	0.0182	3.4707334e-06
