# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.01.27-11.09.51-00412:2",
#   "date": "2021-01-29",
#   "duration": 7.159672262190249,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Interphase_Rep1/2um_s/Spread_20_2um_s-2021.01.29-17.53.36.636.jpk-force",
#   "point count": 35827,
#   "position x": 1.999999488994869e-06,
#   "position y": 2.0000002611189682e-06,
#   "rate approach": 3590.0,
#   "rate retract": 3575.4,
#   "segment count": 2,
#   "sensitivity": 2.6502687587493763e-08,
#   "session id": "2021.01.27-11.09.51-00412",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.04708512347154938,
#   "time": "17:53:36.636",
#   "z range": 5.330789557862256e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-2.6432056e-12	1	2.9553355e-11	2.691015e-11	1.7061976e-05	1.1702099e-05	0	0	5.3229685e-06
-2.6432056e-12	1	3.281534e-11	3.0172135e-11	1.7062092e-05	1.1702073e-05	0	0.00019984013	5.3231537e-06
-2.6432056e-12	1	3.1185772e-11	2.8542567e-11	1.7062224e-05	1.1701967e-05	0	0.00039968026	5.3232513e-06
-2.6432056e-12	1	1.0558572e-11	7.9153664e-12	1.7062085e-05	1.1701802e-05	0	0.00059952038	5.3226741e-06
-2.6432056e-12	1	3.1530184e-11	2.8886978e-11	1.7062057e-05	1.1701583e-05	0	0.00079936051	5.3230917e-06
-2.6432056e-12	1	9.9430365e-12	7.2998309e-12	1.7061839e-05	1.1701326e-05	0	0.00099920064	5.3224152e-06
-2.6432056e-12	1	4.2204925e-11	3.9561719e-11	1.7061674e-05	1.1701039e-05	0	0.0011990408	5.3229357e-06
-2.6432056e-12	1	3.8008386e-11	3.536518e-11	1.7061453e-05	1.1700718e-05	0	0.0013988809	5.3226253e-06
-2.6432056e-12	1	4.3127874e-11	4.0484668e-11	1.7061176e-05	1.1700374e-05	0	0.001598721	5.3224567e-06
-2.6432056e-12	1	3.5785562e-11	3.3142356e-11	1.7060943e-05	1.1700002e-05	0	0.0017985612	5.3220677e-06
-2.6432056e-12	1	2.6475678e-11	2.3832472e-11	1.7060649e-05	1.1699614e-05	0	0.0019984013	5.3215766e-06
-2.6432056e-12	1	4.5215e-11	4.2571795e-11	1.7060333e-05	1.1699206e-05	0	0.0021982414	5.321658e-06
-2.6432056e-12	1	2.7318926e-11	2.467572e-11	1.7060168e-05	1.1698778e-05	0	0.0023980815	5.3211132e-06
-2.6432056e-12	1	3.0387354e-11	2.7744148e-11	1.7059841e-05	1.1698326e-05	0	0.0025979217	5.3208514e-06
-2.6432056e-12	1	5.0194079e-11	4.7550873e-11	1.7059549e-05	1.1697866e-05	0	0.0027977618	5.3209798e-06
-2.6432056e-12	1	3.9084649e-11	3.6441443e-11	1.7059104e-05	1.1697392e-05	0	0.0029976019	5.3202992e-06
-2.6432056e-12	1	3.6381174e-11	3.3737968e-11	1.7058722e-05	1.1696921e-05	0	0.003197442	5.3198596e-06
-2.6432056e-12	1	3.4926664e-11	3.2283458e-11	1.7058295e-05	1.1696454e-05	0	0.0033972822	5.319402e-06
-2.6432056e-12	1	3.3658588e-11	3.1015383e-11	1.7058073e-05	1.1695971e-05	0	0.0035971223	5.3191524e-06
-2.6432056e-12	1	3.13409e-11	2.8697695e-11	1.705765e-05	1.1695476e-05	0	0.0037969624	5.3186811e-06
-2.6432056e-12	1	4.1173811e-11	3.8530606e-11	1.7057163e-05	1.1694995e-05	0	0.0039968026	5.3184029e-06
-2.6432056e-12	1	5.4584655e-11	5.1941449e-11	1.7056825e-05	1.169451e-05	0	0.0041966427	5.3183491e-06
-2.6432056e-12	1	4.0754682e-11	3.8111477e-11	1.7056393e-05	1.1694019e-05	0	0.0043964828	5.317624e-06
-2.6432056e-12	1	4.0188841e-11	3.7545635e-11	1.7056029e-05	1.1693543e-05	0	0.0045963229	5.3172478e-06
-2.6432056e-12	1	3.5991218e-11	3.3348012e-11	1.7055754e-05	1.1693049e-05	0	0.0047961631	5.3168839e-06
