# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.01.27-11.09.51-00412:0",
#   "date": "2021-01-29",
#   "duration": 4.614308553157475,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Interphase_Rep1/2um_s/Spread_20_2um_s-2021.01.29-17.53.24.137.jpk-force",
#   "point count": 23090,
#   "position x": -1.999999678543533e-06,
#   "position y": -1.999999234708669e-06,
#   "rate approach": 2080.0,
#   "rate retract": 2538.0,
#   "segment count": 2,
#   "sensitivity": 2.6502687587493763e-08,
#   "session id": "2021.01.27-11.09.51-00412",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.04708512347154938,
#   "time": "17:53:24.137",
#   "z range": 3.2664391842678755e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-3.6371295e-12	1	-1.4094596e-11	-1.7731726e-11	1.7183255e-05	1.17021e-05	0	0	2.6486524e-06
-3.6371295e-12	1	-8.1420478e-12	-1.1779177e-11	1.7183227e-05	1.17021e-05	0	0.00019984013	2.648751e-06
-3.6371295e-12	1	-9.3603113e-12	-1.2997441e-11	1.7183274e-05	1.17021e-05	0	0.00039968026	2.6487715e-06
-3.6371295e-12	1	-3.2554774e-12	-6.8926068e-12	1.7183257e-05	1.17021e-05	0	0.00059952038	2.648885e-06
-3.6371295e-12	1	-1.9257267e-11	-2.2894396e-11	1.718323e-05	1.1702099e-05	0	0.00079936051	2.6485173e-06
-3.6371295e-12	1	-2.0183773e-11	-2.3820903e-11	1.7183271e-05	1.1702079e-05	0	0.00099920064	2.6485393e-06
-3.6371295e-12	1	-7.5250877e-12	-1.1162217e-11	1.7183383e-05	1.1701998e-05	0	0.0011990408	2.6489195e-06
-3.6371295e-12	1	1.7383433e-11	1.3746303e-11	1.7183116e-05	1.1701859e-05	0	0.0013988809	2.6491817e-06
-3.6371295e-12	1	5.636695e-12	1.9995655e-12	1.7183109e-05	1.1701685e-05	0	0.001598721	2.6489254e-06
-3.6371295e-12	1	-4.1620607e-12	-7.7991902e-12	1.7182804e-05	1.1701473e-05	0	0.0017985612	2.6484123e-06
