# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.01.27-11.09.51-00561:3",
#   "date": "2021-01-29",
#   "duration": 10.0,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Mitotic_Rep1/2um_s/Mitotic_10_2um_s-2021.01.29-18.18.00.716.jpk-force",
#   "point count": 50040,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 5004.0,
#   "rate retract": 5004.0,
#   "segment count": 2,
#   "sensitivity": 2.6502687587493763e-08,
#   "session id": "2021.01.27-11.09.51-00561",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.04708512347154938,
#   "time": "18:18:00.716",
#   "z range": 7.154984601334315e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
1.9174078e-11	1	-5.282706e-11	-3.3652982e-11	1.6864195e-05	1.1323524e-05	0	0	4.6568206e-06
1.9174078e-11	1	-4.6357489e-11	-2.7183411e-11	1.6863651e-05	1.1323149e-05	0	0.00019984013	4.6564143e-06
1.9174078e-11	1	-4.0364065e-11	-2.1189987e-11	1.6863258e-05	1.1322777e-05	0	0.00039968026	4.6561484e-06
1.9174078e-11	1	-3.0185318e-11	-1.101124e-11	1.6862899e-05	1.1322401e-05	0	0.00059952038	4.6560062e-06
1.9174078e-11	1	-4.3925632e-11	-2.4751554e-11	1.6862502e-05	1.132202e-05	0	0.00079936051	4.6553167e-06
1.9174078e-11	1	-2.9984645e-11	-1.0810567e-11	1.6862067e-05	1.1321646e-05	0	0.00099920064	4.6551779e-06
1.9174078e-11	1	-4.116675e-11	-2.1992672e-11	1.6861527e-05	1.1321286e-05	0	0.0011990408	4.6544012e-06
1.9174078e-11	1	-3.908674e-11	-1.9912662e-11	1.6861372e-05	1.1320913e-05	0	0.0013988809	4.65429e-06
1.9174078e-11	1	-4.9990862e-11	-3.0816784e-11	1.6860909e-05	1.1320531e-05	0	0.001598721	4.6535949e-06
1.9174078e-11	1	-5.6659036e-11	-3.7484958e-11	1.6860456e-05	1.1320158e-05	0	0.0017985612	4.6530007e-06
1.9174078e-11	1	-3.7509118e-11	-1.8335039e-11	1.6860171e-05	1.1319776e-05	0	0.0019984013	4.6531221e-06
1.9174078e-11	1	-4.5696095e-11	-2.6522017e-11	1.6859693e-05	1.1319393e-05	0	0.0021982414	4.6524705e-06
1.9174078e-11	1	-4.3931323e-11	-2.4757245e-11	1.685928e-05	1.1319014e-05	0	0.0023980815	4.6520951e-06
1.9174078e-11	1	-2.3790152e-11	-4.6160741e-12	1.6858793e-05	1.1318651e-05	0	0.0025979217	4.6520359e-06
1.9174078e-11	1	-5.600578e-11	-3.6831702e-11	1.6858503e-05	1.1318279e-05	0	0.0027977618	4.6510618e-06
1.9174078e-11	1	-2.3721125e-11	-4.5470473e-12	1.6858174e-05	1.1317895e-05	0	0.0029976019	4.6514181e-06
1.9174078e-11	1	-2.9897738e-11	-1.072366e-11	1.6857747e-05	1.1317511e-05	0	0.003197442	4.6508605e-06
1.9174078e-11	1	-5.7409776e-11	-3.8235697e-11	1.6857296e-05	1.131713e-05	0	0.0033972822	4.6498248e-06
1.9174078e-11	1	-3.9728606e-11	-2.0554528e-11	1.685694e-05	1.1316747e-05	0	0.0035971223	4.6498443e-06
1.9174078e-11	1	-5.5695901e-12	1.3604488e-11	1.685646e-05	1.1316378e-05	0	0.0037969624	4.6500897e-06
1.9174078e-11	1	-2.7604337e-11	-8.4302593e-12	1.6856174e-05	1.1315998e-05	0	0.0039968026	4.6493353e-06
1.9174078e-11	1	-4.1708284e-11	-2.2534205e-11	1.685553e-05	1.1315623e-05	0	0.0041966427	4.6483922e-06
1.9174078e-11	1	-3.6957626e-11	-1.7783548e-11	1.685533e-05	1.1315256e-05	0	0.0043964828	4.6482936e-06
1.9174078e-11	1	-3.7457172e-11	-1.8283094e-11	1.6854966e-05	1.1314872e-05	0	0.0045963229	4.6479189e-06
1.9174078e-11	1	-5.0038124e-11	-3.0864046e-11	1.6854447e-05	1.1314493e-05	0	0.0047961631	4.6471327e-06
1.9174078e-11	1	-2.7391566e-11	-8.2174876e-12	1.6854032e-05	1.1314132e-05	0	0.0049960032	4.647198e-06
1.9174078e-11	1	-4.0920539e-11	-2.1746461e-11	1.6853698e-05	1.1313756e-05	0	0.0051958433	4.6465767e-06
1.9174078e-11	1	-3.3926203e-11	-1.4752125e-11	1.6853225e-05	1.1313386e-05	0	0.0053956835	4.6462521e-06
1.9174078e-11	1	-4.4395289e-11	-2.5221211e-11	1.6852854e-05	1.1313017e-05	0	0.0055955236	4.6456587e-06
1.9174078e-11	1	-2.6813744e-11	-7.6396656e-12	1.6852482e-05	1.1312642e-05	0	0.0057953637	4.645661e-06
1.9174078e-11	1	-4.6067553e-11	-2.6893475e-11	1.6852111e-05	1.1312268e-05	0	0.0059952038	4.644881e-06
1.9174078e-11	1	-2.159557e-11	-2.4214916e-12	1.6851815e-05	1.131188e-05	0	0.006195044	4.6451039e-06
1.9174078e-11	1	-3.7100044e-11	-1.7925966e-11	1.6851278e-05	1.1311503e-05	0	0.0063948841	4.6442382e-06
1.9174078e-11	1	-2.2586121e-11	-3.4120426e-12	1.6850975e-05	1.1311116e-05	0	0.0065947242	4.6442433e-06
1.9174078e-11	1	-5.1194643e-11	-3.2020565e-11	1.6850451e-05	1.1310744e-05	0	0.0067945643	4.6431116e-06
1.9174078e-11	1	-2.7760174e-11	-8.5860959e-12	1.685006e-05	1.1310374e-05	0	0.0069944045	4.6432185e-06
1.9174078e-11	1	-5.2234291e-11	-3.3060213e-11	1.6849807e-05	1.1309988e-05	0	0.0071942446	4.6424459e-06
1.9174078e-11	1	-3.5789182e-11	-1.6615104e-11	1.6849358e-05	1.1309598e-05	0	0.0073940847	4.6423464e-06
1.9174078e-11	1	-2.6006076e-11	-6.8319977e-12	1.684898e-05	1.1309208e-05	0	0.0075939249	4.6421762e-06
1.9174078e-11	1	-2.6373266e-11	-7.1991883e-12	1.6848579e-05	1.1308818e-05	0	0.007793765	4.6417671e-06
1.9174078e-11	1	-2.2138326e-11	-2.9642477e-12	1.6847934e-05	1.1308448e-05	0	0.0079936051	4.6412116e-06
1.9174078e-11	1	-4.3882936e-11	-2.4708858e-11	1.6847698e-05	1.1308094e-05	0	0.0081934452	4.640514e-06
1.9174078e-11	1	-3.1067704e-11	-1.1893626e-11	1.684728e-05	1.1307717e-05	0	0.0083932854	4.6403687e-06
1.9174078e-11	1	-4.4405963e-11	-2.5231885e-11	1.6846865e-05	1.130734e-05	0	0.0085931255	4.6396703e-06
1.9174078e-11	1	-2.5665223e-11	-6.4911446e-12	1.6846476e-05	1.1306973e-05	0	0.0087929656	4.6396786e-06
1.9174078e-11	1	-4.5306139e-11	-2.6132061e-11	1.6846156e-05	1.130659e-05	0	0.0089928058	4.6389414e-06
1.9174078e-11	1	-4.9170845e-11	-2.9996767e-11	1.684578e-05	1.1306208e-05	0	0.0091926459	4.6384836e-06
1.9174078e-11	1	-3.8294458e-11	-1.912038e-11	1.684522e-05	1.1305831e-05	0	0.009392486	4.6381542e-06
1.9174078e-11	1	-4.2752205e-11	-2.3578127e-11	1.6844935e-05	1.1305459e-05	0	0.0095923261	4.6377746e-06
1.9174078e-11	1	-3.7378896e-11	-1.8204818e-11	1.6844517e-05	1.1305083e-05	0	0.0097921663	4.6374713e-06
1.9174078e-11	1	-5.3545062e-11	-3.4370984e-11	1.6844174e-05	1.1304698e-05	0	0.0099920064	4.6367847e-06
1.9174078e-11	1	-2.3925357e-11	-4.7512784e-12	1.684373e-05	1.1304315e-05	0	0.010191847	4.6369696e-06
1.9174078e-11	1	-4.7537719e-11	-2.8363641e-11	1.6843303e-05	1.1303935e-05	0	0.010391687	4.6360414e-06
1.9174078e-11	1	-2.79274e-11	-8.7533223e-12	1.6842832e-05	1.1303563e-05	0	0.010591527	4.6359871e-06
1.9174078e-11	1	-1.9415226e-11	-2.4114809e-13	1.6842439e-05	1.1303195e-05	0	0.010791367	4.6357748e-06
1.9174078e-11	1	-5.2566596e-11	-3.3392518e-11	1.6842097e-05	1.1302829e-05	0	0.010991207	4.6347285e-06
1.9174078e-11	1	-4.0369048e-11	-2.119497e-11	1.6841814e-05	1.1302443e-05	0	0.011191047	4.6347047e-06
1.9174078e-11	1	-3.4158189e-11	-1.4984111e-11	1.6841151e-05	1.1302075e-05	0	0.011390887	4.6341733e-06
1.9174078e-11	1	-3.9253966e-11	-2.0079888e-11	1.6840988e-05	1.1301703e-05	0	0.011590727	4.6339028e-06
1.9174078e-11	1	-3.2802588e-11	-1.362851e-11	1.6840548e-05	1.1301319e-05	0	0.011790568	4.6335991e-06
1.9174078e-11	1	-4.0501403e-11	-2.1327325e-11	1.6840126e-05	1.1300937e-05	0	0.011990408	4.6330135e-06
1.9174078e-11	1	-3.7062233e-11	-1.7888155e-11	1.6839671e-05	1.1300554e-05	0	0.012190248	4.632632e-06
1.9174078e-11	1	-4.1824273e-11	-2.2650195e-11	1.68393e-05	1.1300191e-05	0	0.012390088	4.6321598e-06
1.9174078e-11	1	-3.9786764e-11	-2.0612686e-11	1.6838875e-05	1.1299812e-05	0	0.012589928	4.6317781e-06
1.9174078e-11	1	-5.0684423e-11	-3.1510345e-11	1.6838549e-05	1.1299438e-05	0	0.012789768	4.6312202e-06
1.9174078e-11	1	-1.9188222e-11	-1.4144358e-14	1.6838213e-05	1.1299046e-05	0	0.012989608	4.631554e-06
1.9174078e-11	1	-3.952295e-11	-2.0348872e-11	1.6837685e-05	1.1298667e-05	0	0.013189448	4.6305933e-06
1.9174078e-11	1	-3.20305e-11	-1.2856422e-11	1.6837221e-05	1.1298299e-05	0	0.013389289	4.6302886e-06
1.9174078e-11	1	-4.8681265e-11	-2.9507187e-11	1.6836866e-05	1.1297935e-05	0	0.013589129	4.6295801e-06
1.9174078e-11	1	-4.9143806e-11	-2.9969728e-11	1.6836399e-05	1.129757e-05	0	0.013788969	4.629103e-06
1.9174078e-11	1	-4.4280724e-11	-2.5106646e-11	1.6836067e-05	1.1297203e-05	0	0.013988809	4.6288746e-06
1.9174078e-11	1	-4.5769591e-11	-2.6595512e-11	1.6835617e-05	1.1296849e-05	0	0.014188649	4.628393e-06
1.9174078e-11	1	-3.2437538e-11	-1.326346e-11	1.6835285e-05	1.129647e-05	0	0.014388489	4.6283445e-06
1.9174078e-11	1	-3.4392302e-11	-1.5218224e-11	1.6834847e-05	1.12961e-05	0	0.014588329	4.6278647e-06
1.9174078e-11	1	-4.9320282e-11	-3.0146203e-11	1.6834594e-05	1.1295731e-05	0	0.014788169	4.6272949e-06
1.9174078e-11	1	-3.4740987e-11	-1.5566909e-11	1.6834066e-05	1.1295347e-05	0	0.01498801	4.6270757e-06
1.9174078e-11	1	-3.7679193e-11	-1.8505115e-11	1.6833636e-05	1.1294978e-05	0	0.01518785	4.6265843e-06
1.9174078e-11	1	-3.5349406e-11	-1.6175328e-11	1.6833296e-05	1.1294615e-05	0	0.01538769	4.6262928e-06
1.9174078e-11	1	-3.1372269e-11	-1.219819e-11	1.6832922e-05	1.1294233e-05	0	0.01558753	4.6260039e-06
1.9174078e-11	1	-3.3343503e-11	-1.4169424e-11	1.683254e-05	1.1293864e-05	0	0.01578737	4.6255798e-06
1.9174078e-11	1	-4.1947379e-11	-2.2773301e-11	1.6832161e-05	1.1293471e-05	0	0.01598721	4.6250186e-06
1.9174078e-11	1	-3.3179737e-11	-1.4005659e-11	1.6831606e-05	1.1293097e-05	0	0.01618705	4.6246493e-06
1.9174078e-11	1	-4.740394e-11	-2.8229861e-11	1.6831256e-05	1.1292738e-05	0	0.01638689	4.623997e-06
1.9174078e-11	1	-4.0445899e-11	-2.1271821e-11	1.6830922e-05	1.1292368e-05	0	0.016586731	4.6238108e-06
1.9174078e-11	1	-4.5846956e-11	-2.6672878e-11	1.6830595e-05	1.1291985e-05	0	0.016786571	4.6233691e-06
1.9174078e-11	1	-3.6283029e-11	-1.7108951e-11	1.683004e-05	1.129161e-05	0	0.016986411	4.6230179e-06
1.9174078e-11	1	-3.6601825e-11	-1.7427747e-11	1.6829742e-05	1.1291237e-05	0	0.017186251	4.6227131e-06
1.9174078e-11	1	-5.2040275e-11	-3.2866197e-11	1.6829222e-05	1.1290862e-05	0	0.017386091	4.6218652e-06
1.9174078e-11	1	-5.1713404e-11	-3.2539326e-11	1.6828873e-05	1.1290499e-05	0	0.017585931	4.6215225e-06
1.9174078e-11	1	-5.8659345e-11	-3.9485267e-11	1.6828502e-05	1.1290126e-05	0	0.017785771	4.6210039e-06
1.9174078e-11	1	-2.4106815e-11	-4.9327368e-12	1.6828056e-05	1.1289758e-05	0	0.017985612	4.6212924e-06
1.9174078e-11	1	-5.221935e-11	-3.3045272e-11	1.6827657e-05	1.1289389e-05	0	0.018185452	4.6202965e-06
1.9174078e-11	1	-3.2690865e-11	-1.3516787e-11	1.6827184e-05	1.128903e-05	0	0.018385292	4.6202381e-06
1.9174078e-11	1	-5.0045407e-11	-3.0871328e-11	1.6826952e-05	1.1288662e-05	0	0.018585132	4.6196376e-06
1.9174078e-11	1	-3.9112939e-11	-1.9938861e-11	1.6826452e-05	1.1288285e-05	0	0.018784972	4.6193695e-06
1.9174078e-11	1	-3.9875909e-11	-2.0701831e-11	1.6826138e-05	1.1287908e-05	0	0.018984812	4.6190395e-06
1.9174078e-11	1	-1.9968142e-11	-7.9406401e-13	1.6825831e-05	1.1287527e-05	0	0.019184652	4.619155e-06
1.9174078e-11	1	-2.8597022e-11	-9.4229437e-12	1.6825214e-05	1.1287151e-05	0	0.019384492	4.6183549e-06
1.9174078e-11	1	-3.8873259e-11	-1.9699181e-11	1.6824845e-05	1.1286789e-05	0	0.019584333	4.6177679e-06
1.9174078e-11	1	-3.9690893e-11	-2.0516815e-11	1.6824583e-05	1.128641e-05	0	0.019784173	4.6174884e-06
1.9174078e-11	1	-3.2806855e-11	-1.3632777e-11	1.6824135e-05	1.1286028e-05	0	0.019984013	4.6171859e-06
1.9174078e-11	1	-3.0260036e-11	-1.1085958e-11	1.6823579e-05	1.1285664e-05	0	0.020183853	4.6166845e-06
1.9174078e-11	1	-4.4732709e-11	-2.5558631e-11	1.682324e-05	1.1285301e-05	0	0.020383693	4.6160377e-06
1.9174078e-11	1	-4.2737973e-11	-2.3563895e-11	1.6822831e-05	1.1284944e-05	0	0.020583533	4.6156715e-06
1.9174078e-11	1	-3.9023412e-11	-1.9849334e-11	1.6822506e-05	1.128457e-05	0	0.020783373	4.6154257e-06
1.9174078e-11	1	-3.0447186e-11	-1.1273108e-11	1.6822001e-05	1.1284212e-05	0	0.020983213	4.6151023e-06
1.9174078e-11	1	-2.1093182e-11	-1.9191036e-12	1.6821827e-05	1.1283831e-05	0	0.021183054	4.615127e-06
1.9174078e-11	1	-5.2249238e-11	-3.307516e-11	1.6821363e-05	1.1283444e-05	0	0.021382894	4.6140015e-06
1.9174078e-11	1	-4.4176117e-11	-2.5002039e-11	1.6821029e-05	1.1283056e-05	0	0.021582734	4.613839e-06
1.9174078e-11	1	-4.0242384e-11	-2.1068306e-11	1.6820561e-05	1.1282662e-05	0	0.021782574	4.613454e-06
1.9174078e-11	1	-4.7431604e-11	-2.8257526e-11	1.6820125e-05	1.1282294e-05	0	0.021982414	4.6128659e-06
1.9174078e-11	1	-2.9690755e-11	-1.0516677e-11	1.6819551e-05	1.1281927e-05	0	0.022182254	4.6126681e-06
1.9174078e-11	1	-3.9689468e-11	-2.051539e-11	1.6819342e-05	1.1281569e-05	0	0.022382094	4.612247e-06
1.9174078e-11	1	-4.4699144e-11	-2.5525066e-11	1.6819003e-05	1.1281177e-05	0	0.022581934	4.611802e-06
1.9174078e-11	1	-4.3803951e-11	-2.4629872e-11	1.68184e-05	1.1280808e-05	0	0.022781775	4.611218e-06
1.9174078e-11	1	-3.3638004e-11	-1.4463926e-11	1.6818042e-05	1.1280445e-05	0	0.022981615	4.6110756e-06
1.9174078e-11	1	-4.2217079e-11	-2.3043001e-11	1.6817752e-05	1.1280079e-05	0	0.023181455	4.6106035e-06
1.9174078e-11	1	-3.8054209e-11	-1.8880131e-11	1.6817337e-05	1.1279691e-05	0	0.023381295	4.6102768e-06
1.9174078e-11	1	-3.9977959e-11	-2.0803881e-11	1.6816839e-05	1.1279331e-05	0	0.023581135	4.6097382e-06
1.9174078e-11	1	-2.6638692e-11	-7.4646144e-12	1.6816562e-05	1.1278951e-05	0	0.023780975	4.6097446e-06
1.9174078e-11	1	-5.0867307e-11	-3.1693228e-11	1.6816173e-05	1.1278569e-05	0	0.023980815	4.6088404e-06
1.9174078e-11	1	-4.4476414e-11	-2.5302336e-11	1.6815611e-05	1.1278204e-05	0	0.024180655	4.6084149e-06
1.9174078e-11	1	-4.9024967e-11	-2.9850889e-11	1.6815315e-05	1.127783e-05	0	0.024380496	4.6080214e-06
1.9174078e-11	1	-3.6631714e-11	-1.7457636e-11	1.6814948e-05	1.1277453e-05	0	0.024580336	4.6079182e-06
1.9174078e-11	1	-3.3724821e-11	-1.4550743e-11	1.6814484e-05	1.1277079e-05	0	0.024780176	4.6075161e-06
1.9174078e-11	1	-2.9880747e-11	-1.0706669e-11	1.6814044e-05	1.127671e-05	0	0.024980016	4.6071571e-06
1.9174078e-11	1	-3.9555473e-11	-2.0381395e-11	1.6813809e-05	1.1276336e-05	0	0.025179856	4.6067167e-06
1.9174078e-11	1	-2.8239088e-11	-9.0650094e-12	1.6813264e-05	1.1275961e-05	0	0.025379696	4.6064127e-06
1.9174078e-11	1	-4.5151011e-11	-2.5976933e-11	1.6812937e-05	1.1275593e-05	0	0.025579536	4.6057265e-06
1.9174078e-11	1	-2.2181217e-11	-3.0071384e-12	1.6812632e-05	1.1275208e-05	0	0.025779376	4.6059093e-06
1.9174078e-11	1	-4.9509572e-11	-3.0335494e-11	1.6812216e-05	1.1274811e-05	0	0.025979217	4.6049126e-06
1.9174078e-11	1	-4.7891387e-11	-2.8717309e-11	1.681175e-05	1.1274427e-05	0	0.026179057	4.6044808e-06
1.9174078e-11	1	-4.9819827e-11	-3.0645749e-11	1.6811251e-05	1.1274052e-05	0	0.026378897	4.6039412e-06
1.9174078e-11	1	-1.5406483e-11	3.7675949e-12	1.6810883e-05	1.1273692e-05	0	0.026578737	4.6043041e-06
1.9174078e-11	1	-5.2933085e-11	-3.3759007e-11	1.6810528e-05	1.127332e-05	0	0.026778577	4.6031515e-06
1.9174078e-11	1	-3.045786e-11	-1.1283782e-11	1.6810073e-05	1.1272948e-05	0	0.026978417	4.6031743e-06
1.9174078e-11	1	-4.8580932e-11	-2.9406853e-11	1.6809561e-05	1.127259e-05	0	0.027178257	4.6022768e-06
1.9174078e-11	1	-2.9640227e-11	-1.0466149e-11	1.6809366e-05	1.1272217e-05	0	0.027378098	4.6024843e-06
1.9174078e-11	1	-4.0539832e-11	-2.1365754e-11	1.6808825e-05	1.1271859e-05	0	0.027577938	4.6017124e-06
1.9174078e-11	1	-4.0117138e-11	-2.094306e-11	1.6808392e-05	1.1271498e-05	0	0.027777778	4.6012877e-06
1.9174078e-11	1	-4.3686536e-11	-2.4512458e-11	1.680809e-05	1.1271132e-05	0	0.027977618	4.6009104e-06
1.9174078e-11	1	-3.5988687e-11	-1.6814609e-11	1.6807783e-05	1.1270755e-05	0	0.028177458	4.6007665e-06
