# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.01.27-11.09.51-00576:3",
#   "date": "2021-01-29",
#   "duration": 8.771183053557154,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Mitotic_Rep1/2um_s/Mitotic_11_2um_s-2021.01.29-18.21.03.309.jpk-force",
#   "point count": 43891,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 4439.0,
#   "rate retract": 4339.2,
#   "segment count": 2,
#   "sensitivity": 2.6502687587493763e-08,
#   "session id": "2021.01.27-11.09.51-00576",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.04708512347154938,
#   "time": "18:21:03.309",
#   "z range": 6.30179115330318e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-3.8111748e-13	1	-8.8133948e-13	-1.262457e-12	1.7184169e-05	1.170209e-05	0	0	7.5380161e-06
-3.8111748e-13	1	1.8691266e-11	1.8310148e-11	1.7184113e-05	1.170204e-05	0	0.00019984013	7.5383761e-06
-3.8111748e-13	1	-5.4475326e-13	-9.2587074e-13	1.718415e-05	1.1701929e-05	0	0.00039968026	7.5380047e-06
-3.8111748e-13	1	5.0541277e-12	4.6730102e-12	1.7184057e-05	1.1701762e-05	0	0.00059952038	7.5380308e-06
-3.8111748e-13	1	1.8385986e-11	1.8004868e-11	1.7183845e-05	1.1701552e-05	0	0.00079936051	7.5381018e-06
-3.8111748e-13	1	1.262557e-11	1.2244453e-11	1.7183671e-05	1.1701311e-05	0	0.00099920064	7.5378055e-06
-3.8111748e-13	1	1.5195168e-11	1.4814051e-11	1.7183297e-05	1.1701052e-05	0	0.0011990408	7.5374855e-06
-3.8111748e-13	1	6.9066202e-12	6.5255027e-12	1.7183026e-05	1.1700786e-05	0	0.0013988809	7.5370386e-06
-3.8111748e-13	1	1.120664e-11	1.0825523e-11	1.7182856e-05	1.1700488e-05	0	0.001598721	7.5369601e-06
-3.8111748e-13	1	1.1558883e-11	1.1177766e-11	1.7182522e-05	1.1700165e-05	0	0.0017985612	7.5366336e-06
-3.8111748e-13	1	8.6441584e-12	8.2630409e-12	1.7182235e-05	1.1699831e-05	0	0.0019984013	7.5362841e-06
-3.8111748e-13	1	1.9148824e-11	1.8767707e-11	1.7182021e-05	1.1699469e-05	0	0.0021982414	7.5362939e-06
-3.8111748e-13	1	1.1584498e-11	1.1203381e-11	1.7181627e-05	1.1699097e-05	0	0.0023980815	7.535739e-06
-3.8111748e-13	1	2.6138178e-11	2.575706e-11	1.7181302e-05	1.169872e-05	0	0.0025979217	7.5357234e-06
-3.8111748e-13	1	9.0462134e-12	8.6650959e-12	1.7180959e-05	1.1698326e-05	0	0.0027977618	7.5350171e-06
-3.8111748e-13	1	2.6502551e-12	2.2691376e-12	1.7180496e-05	1.1697939e-05	0	0.0029976019	7.5344184e-06
-3.8111748e-13	1	2.755355e-11	2.7172432e-11	1.7180216e-05	1.1697544e-05	0	0.003197442	7.5346669e-06
-3.8111748e-13	1	1.2840475e-11	1.2459358e-11	1.7179993e-05	1.169713e-05	0	0.0033972822	7.5341317e-06
-3.8111748e-13	1	1.8226584e-11	1.7845467e-11	1.717944e-05	1.1696709e-05	0	0.0035971223	7.533693e-06
-3.8111748e-13	1	1.8835004e-11	1.8453886e-11	1.7179104e-05	1.1696295e-05	0	0.0037969624	7.5333696e-06
-3.8111748e-13	1	8.6299263e-12	8.2488089e-12	1.7178707e-05	1.1695875e-05	0	0.0039968026	7.5327563e-06
-3.8111748e-13	1	1.8561937e-12	1.4750762e-12	1.7178358e-05	1.1695457e-05	0	0.0041966427	7.5322634e-06
-3.8111748e-13	1	3.4921619e-12	3.1110444e-12	1.7177906e-05	1.1695034e-05	0	0.0043964828	7.5318459e-06
-3.8111748e-13	1	2.5411482e-11	2.5030365e-11	1.7177548e-05	1.1694617e-05	0	0.0045963229	7.5319541e-06
-3.8111748e-13	1	8.6313509e-12	8.2502335e-12	1.7177369e-05	1.1694172e-05	0	0.0047961631	7.5314181e-06
-3.8111748e-13	1	2.4276085e-12	2.046491e-12	1.7176666e-05	1.169375e-05	0	0.0049960032	7.5305837e-06
-3.8111748e-13	1	1.0307882e-11	9.9267643e-12	1.7176546e-05	1.1693307e-05	0	0.0051958433	7.5306304e-06
-3.8111748e-13	1	6.5363927e-12	6.1552752e-12	1.7175933e-05	1.1692872e-05	0	0.0053956835	7.5299381e-06
-3.8111748e-13	1	1.2077637e-11	1.1696519e-11	1.717562e-05	1.1692441e-05	0	0.0055955236	7.5297426e-06
-3.8111748e-13	1	1.2295391e-11	1.1914274e-11	1.7175291e-05	1.1692007e-05	0	0.0057953637	7.5294179e-06
-3.8111748e-13	1	-2.6651976e-13	-6.4763725e-13	1.7174808e-05	1.1691568e-05	0	0.0059952038	7.5286687e-06
-3.8111748e-13	1	8.3201572e-12	7.9390397e-12	1.7174478e-05	1.1691129e-05	0	0.006195044	7.528521e-06
-3.8111748e-13	1	7.0800592e-12	6.6989417e-12	1.7174056e-05	1.1690693e-05	0	0.0063948841	7.5280722e-06
-3.8111748e-13	1	-9.6696207e-12	-1.0050738e-11	1.7173721e-05	1.1690243e-05	0	0.0065947242	7.5273813e-06
-3.8111748e-13	1	3.9115653e-11	3.8734535e-11	1.7173295e-05	1.1689797e-05	0	0.0067945643	7.5279919e-06
-3.8111748e-13	1	7.3447764e-12	6.9636589e-12	1.7172848e-05	1.1689349e-05	0	0.0069944045	7.5268695e-06
-3.8111748e-13	1	-2.2760789e-12	-2.6571963e-12	1.7172473e-05	1.1688916e-05	0	0.0071942446	7.5262906e-06
-3.8111748e-13	1	1.5894671e-11	1.5513554e-11	1.7172167e-05	1.1688458e-05	0	0.0073940847	7.5263704e-06
-3.8111748e-13	1	1.8650703e-11	1.8269586e-11	1.7171635e-05	1.1688015e-05	0	0.0075939249	7.5258967e-06
-3.8111748e-13	1	7.0906498e-12	6.7095323e-12	1.7171132e-05	1.1687587e-05	0	0.007793765	7.5251482e-06
-3.8111748e-13	1	3.0134397e-13	-7.9773512e-14	1.7170764e-05	1.1687175e-05	0	0.0079936051	7.5246361e-06
-3.8111748e-13	1	1.0312156e-11	9.9310381e-12	1.7170439e-05	1.1686731e-05	0	0.0081934452	7.524524e-06
-3.8111748e-13	1	1.6697527e-12	1.2886352e-12	1.7169975e-05	1.1686302e-05	0	0.0083932854	7.5238766e-06
-3.8111748e-13	1	1.0055263e-11	9.6741457e-12	1.7169595e-05	1.1685876e-05	0	0.0085931255	7.5236743e-06
-3.8111748e-13	1	8.1723678e-12	7.7912503e-12	1.7169252e-05	1.1685444e-05	0	0.0087929656	7.5232911e-06
-3.8111748e-13	1	3.3857632e-11	3.3476514e-11	1.7168806e-05	1.1685005e-05	0	0.0089928058	7.5233913e-06
-3.8111748e-13	1	4.0079411e-12	3.6268236e-12	1.7168624e-05	1.1684555e-05	0	0.0091926459	7.5225751e-06
