# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.03.03-13.02.46-00037:3",
#   "date": "2021-03-03",
#   "duration": 4.0862,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Mitotic_Rep2/2um_s/Mitotic5_2um_s-2021.03.03-15.34.22.572.jpk-force",
#   "point count": 20431,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 1816.8,
#   "rate retract": 2269.4,
#   "segment count": 2,
#   "sensitivity": 2.5441681455215882e-08,
#   "session id": "2021.03.03-13.02.46-00037",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.05302217661965075,
#   "time": "15:34:22.572",
#   "z range": 2.9975037272934827e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-1.2108747e-12	1	5.2066438e-12	3.9957691e-12	1.6704911e-05	1.17021e-05	0	0	3.0536677e-06
-1.2108747e-12	1	7.1220729e-12	5.9111982e-12	1.6704969e-05	1.1702098e-05	0	0.0002	3.0537619e-06
-1.2108747e-12	1	2.5329414e-11	2.4118539e-11	1.6704976e-05	1.1702083e-05	0	0.0004	3.0541122e-06
-1.2108747e-12	1	-2.7266156e-12	-3.9374903e-12	1.6705107e-05	1.1702001e-05	0	0.0006	3.0537141e-06
-1.2108747e-12	1	2.5850385e-12	1.3741639e-12	1.6704996e-05	1.170186e-05	0	0.0008	3.053703e-06
-1.2108747e-12	1	1.1520635e-11	1.030976e-11	1.6704931e-05	1.1701666e-05	0	0.001	3.0538065e-06
-1.2108747e-12	1	1.3858377e-11	1.2647502e-11	1.6704704e-05	1.1701433e-05	0	0.0012	3.0536233e-06
-1.2108747e-12	1	2.6704296e-12	1.459555e-12	1.6704715e-05	1.1701159e-05	0	0.0014	3.0534239e-06
-1.2108747e-12	1	2.6933297e-11	2.5722422e-11	1.6704415e-05	1.1700832e-05	0	0.0016	3.0535812e-06
-1.2108747e-12	1	1.0952931e-11	9.7420563e-12	1.6704161e-05	1.1700503e-05	0	0.0018	3.0530259e-06
-1.2108747e-12	1	6.5297514e-12	5.3188768e-12	1.670381e-05	1.1700149e-05	0	0.002	3.0525911e-06
-1.2108747e-12	1	2.0527762e-11	1.9316888e-11	1.6703682e-05	1.1699774e-05	0	0.0022	3.0527275e-06
-1.2108747e-12	1	4.6735485e-12	3.4626738e-12	1.6703345e-05	1.1699369e-05	0	0.0024	3.0520911e-06
-1.2108747e-12	1	1.9089268e-11	1.7878393e-11	1.6703199e-05	1.169894e-05	0	0.0026	3.0522168e-06
-1.2108747e-12	1	1.9936981e-11	1.8726106e-11	1.6702681e-05	1.1698508e-05	0	0.0028	3.0517156e-06
-1.2108747e-12	1	1.4789942e-11	1.3579067e-11	1.6702388e-05	1.1698071e-05	0	0.003	3.0513252e-06
-1.2108747e-12	1	1.6617673e-11	1.5406799e-11	1.6702097e-05	1.1697607e-05	0	0.0032	3.0510686e-06
-1.2108747e-12	1	1.2504499e-11	1.1293625e-11	1.6701601e-05	1.1697158e-05	0	0.0034	3.0504947e-06
-1.2108747e-12	1	1.7759241e-11	1.6548367e-11	1.6701344e-05	1.1696696e-05	0	0.0036	3.0503375e-06
-1.2108747e-12	1	2.5190949e-11	2.3980074e-11	1.6700918e-05	1.1696228e-05	0	0.0038	3.0500509e-06
-1.2108747e-12	1	8.8674934e-12	7.6566188e-12	1.6700453e-05	1.1695771e-05	0	0.004	3.0492781e-06
-1.2108747e-12	1	2.0396224e-11	1.9185349e-11	1.6700276e-05	1.1695297e-05	0	0.0042	3.0493193e-06
-1.2108747e-12	1	8.0843999e-12	6.8735252e-12	1.6699672e-05	1.1694827e-05	0	0.0044	3.0484829e-06
-1.2108747e-12	1	4.4558526e-12	3.244978e-12	1.6699266e-05	1.1694364e-05	0	0.0046	3.0480086e-06
-1.2108747e-12	1	7.9636263e-12	6.7527517e-12	1.6699043e-05	1.1693895e-05	0	0.0048	3.0478509e-06
-1.2108747e-12	1	2.5890965e-11	2.4680091e-11	1.6698642e-05	1.1693414e-05	0	0.005	3.047789e-06
-1.2108747e-12	1	1.8512331e-11	1.7301456e-11	1.6698154e-05	1.1692925e-05	0	0.0052	3.0471616e-06
-1.2108747e-12	1	1.906619e-11	1.7855315e-11	1.6697872e-05	1.1692449e-05	0	0.0054	3.0468903e-06
-1.2108747e-12	1	1.6693832e-11	1.5482957e-11	1.6697472e-05	1.1691956e-05	0	0.0056	3.0464455e-06
-1.2108747e-12	1	1.3974538e-11	1.2763663e-11	1.6697114e-05	1.1691461e-05	0	0.0058	3.0460359e-06
-1.2108747e-12	1	1.9497743e-11	1.8286868e-11	1.6696575e-05	1.1690979e-05	0	0.006	3.0456008e-06
-1.2108747e-12	1	1.2552194e-11	1.134132e-11	1.669615e-05	1.1690509e-05	0	0.0062	3.0450454e-06
-1.2108747e-12	1	8.7959548e-12	7.5850802e-12	1.6695915e-05	1.1690024e-05	0	0.0064	3.0447392e-06
-1.2108747e-12	1	1.6632292e-11	1.5421417e-11	1.6695295e-05	1.1689544e-05	0	0.0066	3.0442666e-06
-1.2108747e-12	1	1.6713829e-11	1.5502955e-11	1.6695185e-05	1.1689059e-05	0	0.0068	3.0441579e-06
-1.2108747e-12	1	2.263935e-11	2.1428475e-11	1.6694526e-05	1.1688566e-05	0	0.007	3.043611e-06
-1.2108747e-12	1	2.8036403e-11	2.6825528e-11	1.6694115e-05	1.1688105e-05	0	0.0072	3.0433023e-06
-1.2108747e-12	1	2.7084067e-11	2.5873192e-11	1.669382e-05	1.1687634e-05	0	0.0074	3.0429887e-06
-1.2108747e-12	1	1.7795397e-11	1.6584523e-11	1.6693337e-05	1.1687158e-05	0	0.0076	3.0423311e-06
-1.2108747e-12	1	2.4717861e-11	2.3506986e-11	1.6692967e-05	1.1686682e-05	0	0.0078	3.0420917e-06
-1.2108747e-12	1	4.8789394e-12	3.6680647e-12	1.6692298e-05	1.1686236e-05	0	0.008	3.0410485e-06
-1.2108747e-12	1	1.0688306e-11	9.4774318e-12	1.6692086e-05	1.1685789e-05	0	0.0082	3.0409458e-06
-1.2108747e-12	1	1.0970622e-11	9.7597475e-12	1.6691832e-05	1.1685314e-05	0	0.0084	3.0406972e-06
-1.2108747e-12	1	1.2665275e-11	1.1454401e-11	1.6691409e-05	1.1684831e-05	0	0.0086	3.0403059e-06
-1.2108747e-12	1	1.8598488e-11	1.7387614e-11	1.669102e-05	1.168435e-05	0	0.0088	3.0400293e-06
-1.2108747e-12	1	8.4490267e-12	7.238152e-12	1.6690432e-05	1.1683881e-05	0	0.009	3.03925e-06
-1.2108747e-12	1	1.0186755e-11	8.9758802e-12	1.6689998e-05	1.1683433e-05	0	0.0092	3.0388479e-06
-1.2108747e-12	1	1.1074471e-11	9.8635961e-12	1.668968e-05	1.1682981e-05	0	0.0094	3.0385469e-06
-1.2108747e-12	1	1.7804622e-11	1.6593748e-11	1.6689426e-05	1.1682512e-05	0	0.0096	3.0384199e-06
-1.2108747e-12	1	1.0220605e-11	9.0097301e-12	1.668894e-05	1.1682036e-05	0	0.0098	3.037791e-06
-1.2108747e-12	1	2.6188885e-12	1.4080138e-12	1.6688524e-05	1.1681562e-05	0	0.01	3.0372313e-06
-1.2108747e-12	1	2.2025491e-11	2.0814616e-11	1.6687984e-05	1.1681108e-05	0	0.0102	3.0370581e-06
-1.2108747e-12	1	5.7666553e-12	4.5557806e-12	1.6687724e-05	1.1680652e-05	0	0.0104	3.0364905e-06
-1.2108747e-12	1	1.4218391e-11	1.3007517e-11	1.6687408e-05	1.1680183e-05	0	0.0106	3.0363345e-06
-1.2108747e-12	1	1.3249904e-11	1.203903e-11	1.6686938e-05	1.1679708e-05	0	0.0108	3.0358466e-06
-1.2108747e-12	1	1.3474526e-11	1.2263652e-11	1.6686482e-05	1.167924e-05	0	0.011	3.035394e-06
-1.2108747e-12	1	2.859564e-11	2.7384766e-11	1.6685981e-05	1.1678784e-05	0	0.0112	3.0351782e-06
-1.2108747e-12	1	1.6262279e-11	1.5051404e-11	1.6685648e-05	1.1678336e-05	0	0.0114	3.0346128e-06
-1.2108747e-12	1	1.840233e-11	1.7191455e-11	1.6685182e-05	1.167789e-05	0	0.0116	3.034187e-06
-1.2108747e-12	1	5.2689499e-12	4.0580753e-12	1.6684859e-05	1.1677438e-05	0	0.0118	3.0336169e-06
-1.2108747e-12	1	1.3369138e-11	1.2158263e-11	1.6684375e-05	1.167699e-05	0	0.012	3.033285e-06
-1.2108747e-12	1	6.4489803e-12	5.2381056e-12	1.6684198e-05	1.1676528e-05	0	0.0122	3.0329782e-06
-1.2108747e-12	1	2.8700263e-11	2.7489388e-11	1.6683681e-05	1.167606e-05	0	0.0124	3.0328807e-06
-1.2108747e-12	1	1.5293799e-11	1.4082925e-11	1.6683329e-05	1.1675594e-05	0	0.0126	3.0322753e-06
-1.2108747e-12	1	1.9688734e-12	7.5799872e-13	1.66828e-05	1.1675137e-05	0	0.0128	3.0314952e-06
