# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.07.25-12.40.55-00383:0",
#   "date": "2018-07-26",
#   "duration": 1.0,
#   "duration approach": 0.5,
#   "duration retract": 0.5,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-PAA/Ind/10/10um_sec_4nN_A-2018.07.26-16.55.47.295.jpk-force",
#   "point count": 5002,
#   "position x": -1.6666666684649753e-05,
#   "position y": -1.6666666257884132e-05,
#   "rate approach": 5002.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1094064287088143e-08,
#   "session id": "2018.07.25-12.40.55-00383",
#   "setpoint": 4e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 9.999999999999999e-06,
#   "speed retract": 9.999999999999999e-06,
#   "spring constant": 0.08802872571823475,
#   "time": "16:55:47.295",
#   "z range": 4.112244286716007e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
2.4103126e-12	1	-2.3783703e-11	-2.137339e-11	1.0739651e-05	7.6394788e-06	0	0	3.3259172e-06
2.4103126e-12	1	-1.9711925e-11	-1.7301613e-11	1.0737562e-05	7.6381288e-06	0	0.00019992003	3.3238745e-06
2.4103126e-12	1	-5.1005397e-12	-2.6902271e-12	1.0735615e-05	7.6367824e-06	0	0.00039984006	3.3220936e-06
2.4103126e-12	1	-2.9268802e-11	-2.6858489e-11	1.0733745e-05	7.6354296e-06	0	0.0005997601	3.3199493e-06
2.4103126e-12	1	-9.0760235e-12	-6.6657109e-12	1.0731494e-05	7.6340689e-06	0	0.00079968013	3.3179272e-06
2.4103126e-12	1	-1.8589521e-11	-1.6179208e-11	1.0729628e-05	7.6327277e-06	0	0.00099960016	3.3159534e-06
2.4103126e-12	1	-1.821291e-11	-1.5802597e-11	1.0727762e-05	7.6313665e-06	0	0.0011995202	3.314092e-06
2.4103126e-12	1	-1.7952676e-11	-1.5542363e-11	1.0725887e-05	7.6299857e-06	0	0.0013994402	3.3122202e-06
2.4103126e-12	1	-2.7397411e-11	-2.4987098e-11	1.0723636e-05	7.6286011e-06	0	0.0015993603	3.3098615e-06
2.4103126e-12	1	-3.5190802e-11	-3.278049e-11	1.0721654e-05	7.6272517e-06	0	0.0017992803	3.3077906e-06
2.4103126e-12	1	-4.8412163e-11	-4.600185e-11	1.0719546e-05	7.6259055e-06	0	0.0019992003	3.3055325e-06
2.4103126e-12	1	2.4696641e-12	4.8799766e-12	1.0717483e-05	7.624564e-06	0	0.0021991204	3.3040474e-06
2.4103126e-12	1	-3.2541871e-11	-3.0131558e-11	1.0715581e-05	7.6232252e-06	0	0.0023990404	3.3017481e-06
2.4103126e-12	1	-3.8893376e-11	-3.6483064e-11	1.0713599e-05	7.6218725e-06	0	0.0025989604	3.2996936e-06
2.4103126e-12	1	-4.3536508e-12	-1.9433382e-12	1.0711652e-05	7.6205167e-06	0	0.0027988804	3.2981395e-06
2.4103126e-12	1	-2.2976544e-11	-2.0566231e-11	1.0709715e-05	7.6191602e-06	0	0.0029988005	3.2959904e-06
2.4103126e-12	1	-2.6991192e-11	-2.4580879e-11	1.0707643e-05	7.6177966e-06	0	0.0031987205	3.2938728e-06
2.4103126e-12	1	-3.2589475e-11	-3.0179163e-11	1.0705633e-05	7.6164439e-06	0	0.0033986405	3.2917999e-06
2.4103126e-12	1	-1.9263071e-11	-1.6852758e-11	1.0703638e-05	7.6150964e-06	0	0.0035985606	3.2899558e-06
2.4103126e-12	1	-9.7784484e-12	-7.3681359e-12	1.0701433e-05	7.6137491e-06	0	0.0037984806	3.2878589e-06
2.4103126e-12	1	-3.0456797e-11	-2.8046484e-11	1.0699607e-05	7.6124275e-06	0	0.0039984006	3.2857975e-06
2.4103126e-12	1	-2.3847176e-11	-2.1436863e-11	1.069769e-05	7.6110671e-06	0	0.0041983207	3.2839564e-06
2.4103126e-12	1	-4.2308205e-11	-3.9897893e-11	1.0695821e-05	7.609691e-06	0	0.0043982407	3.2818776e-06
2.4103126e-12	1	-1.7869099e-11	-1.5458787e-11	1.0693699e-05	7.6083286e-06	0	0.0045981607	3.2800327e-06
2.4103126e-12	1	-3.8252296e-11	-3.5841983e-11	1.0691634e-05	7.6069755e-06	0	0.0047980808	3.2777358e-06
2.4103126e-12	1	1.8528256e-11	2.0938569e-11	1.0689656e-05	7.605605e-06	0	0.0049980008	3.276403e-06
2.4103126e-12	1	-1.6344701e-11	-1.3934388e-11	1.0687704e-05	7.6042593e-06	0	0.0051979208	3.2740548e-06
2.4103126e-12	1	-1.8583167e-11	-1.6172855e-11	1.0685564e-05	7.6028939e-06	0	0.0053978409	3.27189e-06
2.4103126e-12	1	-3.6607295e-11	-3.4196982e-11	1.0683644e-05	7.6015481e-06	0	0.0055977609	3.2697646e-06
2.4103126e-12	1	-1.1357859e-11	-8.9475461e-12	1.0681553e-05	7.6002051e-06	0	0.0057976809	3.2679603e-06
2.4103126e-12	1	-3.0633465e-11	-2.8223152e-11	1.0679515e-05	7.5988668e-06	0	0.005997601	3.2657041e-06
2.4103126e-12	1	-4.7146945e-11	-4.4736632e-11	1.0677579e-05	7.597528e-06	0	0.006197521	3.2635801e-06
2.4103126e-12	1	-1.3777228e-11	-1.1366916e-11	1.0675552e-05	7.5961799e-06	0	0.006397441	3.261932e-06
2.4103126e-12	1	-4.5016374e-11	-4.2606061e-11	1.0673801e-05	7.5948244e-06	0	0.0065973611	3.2598268e-06
2.4103126e-12	1	-1.5983245e-11	-1.3572933e-11	1.0671783e-05	7.5934547e-06	0	0.0067972811	3.2581381e-06
2.4103126e-12	1	-3.3325765e-11	-3.0915452e-11	1.0669648e-05	7.5921e-06	0	0.0069972011	3.2558066e-06
2.4103126e-12	1	-3.4378354e-11	-3.1968041e-11	1.0667422e-05	7.5907559e-06	0	0.0071971212	3.2535679e-06
2.4103126e-12	1	-2.3658934e-12	4.4419208e-14	1.0665832e-05	7.5894118e-06	0	0.0073970412	3.2523416e-06
2.4103126e-12	1	-4.2944137e-12	-1.8841011e-12	1.066363e-05	7.5880417e-06	0	0.0075969612	3.2501176e-06
2.4103126e-12	1	-8.226539e-12	-5.8162264e-12	1.0661676e-05	7.5866883e-06	0	0.0077968812	3.2481197e-06
2.4103126e-12	1	-2.7191125e-11	-2.4780812e-11	1.0659824e-05	7.5853239e-06	0	0.0079968013	3.246052e-06
2.4103126e-12	1	-6.488447e-12	-4.0781345e-12	1.0657653e-05	7.583954e-06	0	0.0081967213	3.2441165e-06
2.4103126e-12	1	-1.0797183e-11	-8.3868706e-12	1.0655624e-05	7.5826019e-06	0	0.0083966413	3.2420381e-06
2.4103126e-12	1	-3.2183256e-11	-2.9772944e-11	1.0653707e-05	7.5812406e-06	0	0.0085965614	3.2398778e-06
2.4103126e-12	1	-1.4675371e-11	-1.2265059e-11	1.0651753e-05	7.5798843e-06	0	0.0087964814	3.2381235e-06
2.4103126e-12	1	-2.4630006e-11	-2.2219693e-11	1.0649668e-05	7.5785122e-06	0	0.0089964014	3.2359249e-06
2.4103126e-12	1	-3.3741509e-11	-3.1331196e-11	1.064782e-05	7.577142e-06	0	0.0091963215	3.2339736e-06
2.4103126e-12	1	-2.5636044e-11	-2.3225731e-11	1.0645526e-05	7.5757987e-06	0	0.0093962415	3.2317717e-06
2.4103126e-12	1	-2.523405e-11	-2.2823737e-11	1.0643694e-05	7.5744452e-06	0	0.0095961615	3.2299441e-06
2.4103126e-12	1	-2.899395e-11	-2.6583637e-11	1.0641723e-05	7.5730907e-06	0	0.0097960816	3.2279305e-06
2.4103126e-12	1	-2.9989213e-11	-2.75789e-11	1.0639634e-05	7.5717323e-06	0	0.0099960016	3.2258301e-06
2.4103126e-12	1	-2.0302219e-11	-1.7891907e-11	1.0637811e-05	7.5703754e-06	0	0.010195922	3.224117e-06
2.4103126e-12	1	-1.8265804e-11	-1.5855491e-11	1.0635689e-05	7.5690045e-06	0	0.010395842	3.2220188e-06
2.4103126e-12	1	-3.7895799e-11	-3.5485486e-11	1.0633643e-05	7.5676501e-06	0	0.010595762	3.2197495e-06
2.4103126e-12	1	-2.4642702e-11	-2.223239e-11	1.0631618e-05	7.566298e-06	0	0.010795682	3.2178751e-06
2.4103126e-12	1	-2.5200196e-11	-2.2789883e-11	1.0629719e-05	7.5649515e-06	0	0.010995602	3.2159694e-06
2.4103126e-12	1	-1.9393508e-11	-1.6983196e-11	1.062795e-05	7.5635704e-06	0	0.011195522	3.2142661e-06
2.4103126e-12	1	-1.2172425e-11	-9.7621123e-12	1.0625643e-05	7.5622016e-06	0	0.011395442	3.2120417e-06
2.4103126e-12	1	-1.3594217e-11	-1.1183905e-11	1.0623701e-05	7.560843e-06	0	0.011595362	3.2100836e-06
2.4103126e-12	1	-3.3486664e-12	-9.3835384e-13	1.0621649e-05	7.5594854e-06	0	0.011795282	3.2081481e-06
2.4103126e-12	1	-2.7657796e-12	-3.5546704e-13	1.061975e-05	7.5581238e-06	0	0.011995202	3.2062554e-06
2.4103126e-12	1	-9.4547418e-12	-7.0444293e-12	1.0617742e-05	7.5567574e-06	0	0.012195122	3.2041712e-06
2.4103126e-12	1	-1.8313408e-11	-1.5903096e-11	1.0615634e-05	7.5554038e-06	0	0.012395042	3.2019627e-06
2.4103126e-12	1	-1.409671e-11	-1.1686397e-11	1.0613659e-05	7.5540634e-06	0	0.012594962	3.2000361e-06
2.4103126e-12	1	1.4551547e-12	3.8654672e-12	1.0611633e-05	7.552702e-06	0	0.012794882	3.1981867e-06
2.4103126e-12	1	-2.7398217e-11	-2.4987904e-11	1.0609634e-05	7.5513555e-06	0	0.012994802	3.1958601e-06
2.4103126e-12	1	-3.5113579e-11	-3.2703267e-11	1.0607561e-05	7.5500205e-06	0	0.013194722	3.1936989e-06
2.4103126e-12	1	-2.6866354e-11	-2.4456041e-11	1.0605619e-05	7.5486771e-06	0	0.013394642	3.1918506e-06
2.4103126e-12	1	-5.6959819e-11	-5.4549507e-11	1.0603713e-05	7.5473301e-06	0	0.013594562	3.1896027e-06
2.4103126e-12	1	-5.0147083e-11	-4.7736771e-11	1.0601618e-05	7.5459659e-06	0	0.013794482	3.1875856e-06
2.4103126e-12	1	1.0711469e-12	3.4814595e-12	1.0599806e-05	7.5446151e-06	0	0.013994402	3.1863555e-06
2.4103126e-12	1	-2.0618529e-11	-1.8208217e-11	1.0597793e-05	7.5432425e-06	0	0.014194322	3.1840954e-06
2.4103126e-12	1	-1.9070855e-11	-1.6660543e-11	1.0595595e-05	7.5418897e-06	0	0.014394242	3.1819153e-06
2.4103126e-12	1	-2.9023372e-11	-2.6613059e-11	1.0593599e-05	7.5405524e-06	0	0.014594162	3.1798065e-06
2.4103126e-12	1	-1.6881047e-11	-1.4470735e-11	1.0591653e-05	7.5391995e-06	0	0.014794082	3.1779979e-06
2.4103126e-12	1	-3.0528731e-11	-2.8118418e-11	1.0589608e-05	7.5378533e-06	0	0.014994002	3.1757978e-06
2.4103126e-12	1	-2.8056467e-11	-2.5646155e-11	1.0587724e-05	7.5365003e-06	0	0.015193922	3.1739422e-06
2.4103126e-12	1	-3.2075351e-11	-2.9665038e-11	1.0585459e-05	7.5351604e-06	0	0.015393842	3.1716316e-06
2.4103126e-12	1	-1.1260542e-11	-8.8502295e-12	1.0583741e-05	7.5338216e-06	0	0.015593762	3.1701503e-06
2.4103126e-12	1	-1.018256e-11	-7.7722474e-12	1.0581764e-05	7.5324481e-06	0	0.015793683	3.1681847e-06
2.4103126e-12	1	-1.840122e-11	-1.5990908e-11	1.057966e-05	7.5310986e-06	0	0.015993603	3.1659879e-06
2.4103126e-12	1	-1.0572229e-11	-8.1619165e-12	1.0577702e-05	7.5297364e-06	0	0.016193523	3.1641184e-06
2.4103126e-12	1	-1.8280618e-11	-1.5870306e-11	1.0575582e-05	7.528406e-06	0	0.016393443	3.1619113e-06
2.4103126e-12	1	-2.1093521e-11	-1.8683208e-11	1.05737e-05	7.5270554e-06	0	0.016593363	3.1599968e-06
2.4103126e-12	1	-1.2916122e-11	-1.0505809e-11	1.0571649e-05	7.5257032e-06	0	0.016793283	3.158039e-06
2.4103126e-12	1	-2.6355401e-11	-2.3945088e-11	1.0569715e-05	7.5243516e-06	0	0.016993203	3.1559522e-06
2.4103126e-12	1	-1.9126921e-11	-1.6716608e-11	1.0567755e-05	7.5229829e-06	0	0.017193123	3.1540744e-06
2.4103126e-12	1	-3.5494415e-11	-3.3084103e-11	1.0565583e-05	7.5216419e-06	0	0.017393043	3.1517166e-06
2.4103126e-12	1	-4.0068675e-11	-3.7658362e-11	1.0563591e-05	7.5203042e-06	0	0.017592963	3.1496722e-06
2.4103126e-12	1	-1.4538901e-11	-1.2128588e-11	1.0561504e-05	7.5189659e-06	0	0.017792883	3.1478756e-06
2.4103126e-12	1	-5.1124567e-11	-4.8714254e-11	1.0559809e-05	7.5176172e-06	0	0.017992803	3.1457647e-06
2.4103126e-12	1	-3.8675447e-11	-3.6265135e-11	1.0557923e-05	7.5162444e-06	0	0.018192723	3.1440202e-06
2.4103126e-12	1	-2.0366756e-11	-1.7956444e-11	1.0555765e-05	7.5148625e-06	0	0.018392643	3.1420709e-06
