# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.07.25-12.40.55-00383:1",
#   "date": "2018-07-26",
#   "duration": 0.9498200719712115,
#   "duration approach": 0.5,
#   "duration retract": 0.5,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-PAA/Ind/10/10um_sec_4nN_A-2018.07.26-16.55.48.263.jpk-force",
#   "point count": 4751,
#   "position x": -3.697010854479657e-12,
#   "position y": -1.666666872848311e-05,
#   "rate approach": 4500.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1094064287088143e-08,
#   "session id": "2018.07.25-12.40.55-00383",
#   "setpoint": 4e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 9.999999999999999e-06,
#   "speed retract": 9.999999999999999e-06,
#   "spring constant": 0.08802872571823475,
#   "time": "16:55:48.263",
#   "z range": 4.081332985711756e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-5.784875e-12	1	-4.9862157e-11	-5.5647032e-11	1.0740338e-05	8.4895028e-06	0	0	3.7010196e-06
-5.784875e-12	1	-4.68271e-11	-5.2611975e-11	1.074038e-05	8.489042e-06	0	0.00019992003	3.7010967e-06
-5.784875e-12	1	-7.8240795e-11	-8.402567e-11	1.0739887e-05	8.488322e-06	0	0.00039984006	3.7002465e-06
-5.784875e-12	1	-3.4360015e-11	-4.014489e-11	1.0739301e-05	8.4873875e-06	0	0.0005997601	3.7001586e-06
-5.784875e-12	1	-6.7858784e-11	-7.3643659e-11	1.0738629e-05	8.486265e-06	0	0.00079968013	3.6991064e-06
-5.784875e-12	1	-4.5972337e-11	-5.1757211e-11	1.0737506e-05	8.4849661e-06	0	0.00099960016	3.6982315e-06
-5.784875e-12	1	-4.0078901e-11	-4.5863776e-11	1.073652e-05	8.4835374e-06	0	0.0011995202	3.6973129e-06
-5.784875e-12	1	-1.8130045e-11	-2.391492e-11	1.0735375e-05	8.481959e-06	0	0.0013994402	3.6964175e-06
-5.784875e-12	1	-2.7386479e-11	-3.3171354e-11	1.0733712e-05	8.4803074e-06	0	0.0015993603	3.6946495e-06
-5.784875e-12	1	-2.2992049e-11	-2.8776924e-11	1.0732479e-05	8.4785663e-06	0	0.0017992803	3.6934661e-06
-5.784875e-12	1	-1.3086083e-11	-1.8870958e-11	1.0731008e-05	8.4767339e-06	0	0.0019992003	3.6921076e-06
-5.784875e-12	1	-6.4859764e-12	-1.2270851e-11	1.0729114e-05	8.4748545e-06	0	0.0021991204	3.6902888e-06
-5.784875e-12	1	-1.7669868e-11	-2.3454743e-11	1.0727643e-05	8.4729277e-06	0	0.0023990404	3.6886907e-06
-5.784875e-12	1	-1.1643133e-11	-1.7428008e-11	1.0725868e-05	8.470944e-06	0	0.0025989604	3.6869842e-06
-5.784875e-12	1	-1.12496e-11	-1.7034475e-11	1.0724173e-05	8.4689246e-06	0	0.0027988804	3.6852934e-06
-5.784875e-12	1	-2.577649e-11	-3.1561365e-11	1.0722266e-05	8.4668796e-06	0	0.0029988005	3.6832213e-06
-5.784875e-12	1	-2.5224172e-11	-3.1009047e-11	1.0720721e-05	8.4648046e-06	0	0.0031987205	3.6816823e-06
-5.784875e-12	1	-3.5990328e-12	-9.3839078e-12	1.0718586e-05	8.4626966e-06	0	0.0033986405	3.6797932e-06
-5.784875e-12	1	-3.6100225e-11	-4.18851e-11	1.071681e-05	8.4605707e-06	0	0.0035985606	3.6776479e-06
