# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.07.25-12.40.55-00383:7",
#   "date": "2018-07-26",
#   "duration": 0.9518192722910835,
#   "duration approach": 0.5,
#   "duration retract": 0.5,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-PAA/Ind/10/10um_sec_4nN_A-2018.07.26-16.55.54.330.jpk-force",
#   "point count": 4761,
#   "position x": -1.2400501105203288e-12,
#   "position y": 1.6666666272731735e-05,
#   "rate approach": 4520.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1094064287088143e-08,
#   "session id": "2018.07.25-12.40.55-00383",
#   "setpoint": 4e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 9.999999999999999e-06,
#   "speed retract": 9.999999999999999e-06,
#   "spring constant": 0.08802872571823475,
#   "time": "16:55:54.33",
#   "z range": 4.051266068183661e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
3.4589389e-12	1	-6.9060329e-11	-6.560139e-11	1.1323512e-05	8.9064536e-06	0	0	2.7814821e-06
3.4589389e-12	1	-4.819897e-11	-4.4740031e-11	1.1323152e-05	8.9060019e-06	0	0.00019992003	2.7813591e-06
3.4589389e-12	1	-5.5062482e-11	-5.1603543e-11	1.1322918e-05	8.905313e-06	0	0.00039984006	2.7810468e-06
3.4589389e-12	1	-4.4740761e-11	-4.1281822e-11	1.1322461e-05	8.9043764e-06	0	0.0005997601	2.7807077e-06
3.4589389e-12	1	-5.6263174e-11	-5.2804235e-11	1.1321478e-05	8.9032555e-06	0	0.00079968013	2.7795935e-06
3.4589389e-12	1	-5.3658675e-11	-5.0199736e-11	1.1320587e-05	8.9019821e-06	0	0.00099960016	2.7787317e-06
3.4589389e-12	1	-2.2499935e-11	-1.9040996e-11	1.1319689e-05	8.9005323e-06	0	0.0011995202	2.7781876e-06
3.4589389e-12	1	-4.3771749e-11	-4.031281e-11	1.1318276e-05	8.8989776e-06	0	0.0013994402	2.7765332e-06
3.4589389e-12	1	-4.4057376e-11	-4.0598437e-11	1.1316923e-05	8.8973214e-06	0	0.0015993603	2.7751766e-06
3.4589389e-12	1	-4.6004926e-11	-4.2545987e-11	1.1315527e-05	8.8955772e-06	0	0.0017992803	2.7737585e-06
3.4589389e-12	1	-4.0137937e-11	-3.6678998e-11	1.131393e-05	8.8937551e-06	0	0.0019992003	2.7722285e-06
3.4589389e-12	1	-2.7579868e-11	-2.4120929e-11	1.1312438e-05	8.8918662e-06	0	0.0021991204	2.7708788e-06
3.4589389e-12	1	-1.3037214e-11	-9.5782748e-12	1.1310692e-05	8.8899234e-06	0	0.0023990404	2.7692983e-06
3.4589389e-12	1	-3.9823745e-11	-3.6364806e-11	1.1309105e-05	8.8879263e-06	0	0.0025989604	2.7674074e-06
3.4589389e-12	1	-1.1823825e-11	-8.3648864e-12	1.1307179e-05	8.8859038e-06	0	0.0027988804	2.7657992e-06
3.4589389e-12	1	-1.6609361e-11	-1.3150422e-11	1.1305432e-05	8.8838568e-06	0	0.0029988005	2.7639978e-06
3.4589389e-12	1	-2.55699e-11	-2.2110961e-11	1.1303665e-05	8.8817809e-06	0	0.0031987205	2.7621291e-06
3.4589389e-12	1	-2.3671008e-11	-2.0212069e-11	1.1301858e-05	8.8796687e-06	0	0.0033986405	2.7603432e-06
3.4589389e-12	1	-1.0329045e-11	-6.8701065e-12	1.1299777e-05	8.8775439e-06	0	0.0035985606	2.7584138e-06
3.4589389e-12	1	-3.109096e-11	-2.7632021e-11	1.1298005e-05	8.8754078e-06	0	0.0037984806	2.7564064e-06
3.4589389e-12	1	-4.48931e-11	-4.1434161e-11	1.1296108e-05	8.8732482e-06	0	0.0039984006	2.7543525e-06
3.4589389e-12	1	-3.9200661e-11	-3.5741722e-11	1.1294184e-05	8.8710758e-06	0	0.0041983207	2.7524931e-06
