# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.07.25-12.40.55-00311:6",
#   "date": "2018-07-26",
#   "duration": 0.655868826234753,
#   "duration approach": 0.3333333333333333,
#   "duration retract": 0.3333333333333333,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-PAA/Ind/15/15um_sec_4nN_C-2018.07.26-15.53.08.187.jpk-force",
#   "point count": 3280,
#   "position x": -1.6666669141610495e-05,
#   "position y": 1.6666665037432248e-05,
#   "rate approach": 4839.0,
#   "rate retract": 5001.0,
#   "segment count": 2,
#   "sensitivity": 2.1094064287088143e-08,
#   "session id": "2018.07.25-12.40.55-00311",
#   "setpoint": 4e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 1.4999999999999999e-05,
#   "speed retract": 1.4999999999999999e-05,
#   "spring constant": 0.08802872571823475,
#   "time": "15:53:08.187",
#   "z range": 4.073122025214744e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
1.6513579e-11	1	-4.5754876e-11	-2.9241296e-11	1.1449758e-05	8.9732368e-06	0	0	2.1717523e-06
1.6513579e-11	1	-4.3591515e-11	-2.7077935e-11	1.1449553e-05	8.9726386e-06	0	0.00019996001	2.1715717e-06
1.6513579e-11	1	-4.3100655e-11	-2.6587076e-11	1.1448869e-05	8.9716704e-06	0	0.00039992002	2.1708933e-06
1.6513579e-11	1	-1.3353118e-11	3.1604612e-12	1.1448076e-05	8.9703669e-06	0	0.00059988002	2.1704385e-06
1.6513579e-11	1	-1.9468719e-11	-2.9551393e-12	1.1447005e-05	8.9687619e-06	0	0.00079984003	2.1692983e-06
1.6513579e-11	1	-3.1580361e-11	-1.5066781e-11	1.1445359e-05	8.9669204e-06	0	0.00099980004	2.1675147e-06
1.6513579e-11	1	-2.5253195e-11	-8.7396156e-12	1.1443951e-05	8.9648554e-06	0	0.00119976	2.1661783e-06
1.6513579e-11	1	-1.7476736e-11	-9.631566e-13	1.1442192e-05	8.9625756e-06	0	0.0013997201	2.1645075e-06
1.6513579e-11	1	-1.7327569e-11	-8.1398957e-13	1.1440006e-05	8.9601612e-06	0	0.0015996801	2.1623239e-06
1.6513579e-11	1	-1.6237954e-11	2.7562505e-13	1.143782e-05	8.9576257e-06	0	0.0017996401	2.1601498e-06
