# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.07.25-12.40.55-00311:7",
#   "date": "2018-07-26",
#   "duration": 0.6396720655868826,
#   "duration approach": 0.3333333333333333,
#   "duration retract": 0.3333333333333333,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-PAA/Ind/15/15um_sec_4nN_C-2018.07.26-15.53.08.846.jpk-force",
#   "point count": 3199,
#   "position x": -1.2400501105203288e-12,
#   "position y": 1.6666666272731735e-05,
#   "rate approach": 4596.0,
#   "rate retract": 5001.0,
#   "segment count": 2,
#   "sensitivity": 2.1094064287088143e-08,
#   "session id": "2018.07.25-12.40.55-00311",
#   "setpoint": 4e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 1.4999999999999999e-05,
#   "speed retract": 1.4999999999999999e-05,
#   "spring constant": 0.08802872571823475,
#   "time": "15:53:08.846",
#   "z range": 4.044801689011796e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-7.4829663e-12	1	-1.1904217e-10	-1.2652514e-10	1.1625671e-05	9.0865947e-06	0	0	3.7401545e-06
-7.4829663e-12	1	-1.0367332e-10	-1.1115629e-10	1.1625657e-05	9.0859999e-06	0	0.00019996001	3.7403156e-06
-7.4829663e-12	1	-8.7387284e-11	-9.4870251e-11	1.1625119e-05	9.085004e-06	0	0.00039992002	3.7399624e-06
-7.4829663e-12	1	-1.02845e-10	-1.1032797e-10	1.1624209e-05	9.0836715e-06	0	0.00059988002	3.7388764e-06
-7.4829663e-12	1	-9.0686811e-11	-9.8169777e-11	1.1622948e-05	9.0820599e-06	0	0.00079984003	3.7377542e-06
-7.4829663e-12	1	-6.7363766e-11	-7.4846733e-11	1.1621679e-05	9.0801984e-06	0	0.00099980004	3.7367499e-06
-7.4829663e-12	1	-6.5134825e-11	-7.2617792e-11	1.1620033e-05	9.0781008e-06	0	0.00119976	3.7351293e-06
-7.4829663e-12	1	-8.1330931e-11	-8.8813897e-11	1.1618141e-05	9.075824e-06	0	0.0013997201	3.7330526e-06
-7.4829663e-12	1	-5.3828214e-11	-6.131118e-11	1.1615938e-05	9.0734199e-06	0	0.0015996801	3.7311629e-06
-7.4829663e-12	1	-6.112652e-11	-6.8609487e-11	1.1613916e-05	9.0708805e-06	0	0.0017996401	3.7290573e-06
-7.4829663e-12	1	-6.1784523e-11	-6.9267489e-11	1.1611539e-05	9.0682146e-06	0	0.0019996001	3.7266728e-06
-7.4829663e-12	1	-5.4519017e-11	-6.2001983e-11	1.1608982e-05	9.0654815e-06	0	0.0021995601	3.7241989e-06
-7.4829663e-12	1	-5.2052043e-11	-5.9535009e-11	1.1606771e-05	9.0626552e-06	0	0.0023995201	3.7220159e-06
-7.4829663e-12	1	-4.6490775e-11	-5.3973741e-11	1.1603968e-05	9.0597597e-06	0	0.0025994801	3.719276e-06
