# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.07.25-12.40.55-00311:8",
#   "date": "2018-07-26",
#   "duration": 0.6620675864827035,
#   "duration approach": 0.3333333333333333,
#   "duration retract": 0.3333333333333333,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-PAA/Ind/15/15um_sec_4nN_C-2018.07.26-15.53.09.527.jpk-force",
#   "point count": 3311,
#   "position x": 1.6666669118471018e-05,
#   "position y": 1.6666667508031223e-05,
#   "rate approach": 4932.0,
#   "rate retract": 5001.0,
#   "segment count": 2,
#   "sensitivity": 2.1094064287088143e-08,
#   "session id": "2018.07.25-12.40.55-00311",
#   "setpoint": 4e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 1.4999999999999999e-05,
#   "speed retract": 1.4999999999999999e-05,
#   "spring constant": 0.08802872571823475,
#   "time": "15:53:09.527",
#   "z range": 4.045828888278691e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-8.9252947e-12	1	-1.3730023e-10	-1.4622553e-10	1.2045027e-05	9.3568059e-06	0	0	4.2288925e-06
-8.9252947e-12	1	-1.1983995e-10	-1.2876525e-10	1.2044888e-05	9.3561972e-06	0	0.00019996001	4.2289518e-06
-8.9252947e-12	1	-1.4246797e-10	-1.5139326e-10	1.2044408e-05	9.3551988e-06	0	0.00039992002	4.2282149e-06
-8.9252947e-12	1	-1.1019845e-10	-1.1912374e-10	1.2043565e-05	9.3538636e-06	0	0.00059988002	4.2277383e-06
-8.9252947e-12	1	-1.1178421e-10	-1.207095e-10	1.2042269e-05	9.3522402e-06	0	0.00079984003	4.2264241e-06
-8.9252947e-12	1	-9.6349766e-11	-1.0527506e-10	1.2040869e-05	9.3503698e-06	0	0.00099980004	4.2252001e-06
-8.9252947e-12	1	-9.8889727e-11	-1.0781502e-10	1.203921e-05	9.3482926e-06	0	0.00119976	4.2235119e-06
-8.9252947e-12	1	-8.5813298e-11	-9.4738593e-11	1.203747e-05	9.3460144e-06	0	0.0013997201	4.2219203e-06
-8.9252947e-12	1	-6.6970369e-11	-7.5895663e-11	1.2035537e-05	9.3435716e-06	0	0.0015996801	4.2202013e-06
-8.9252947e-12	1	-7.7836896e-11	-8.6762191e-11	1.2033213e-05	9.3410029e-06	0	0.0017996401	4.2177547e-06
-8.9252947e-12	1	-7.2064052e-11	-8.0989347e-11	1.2030823e-05	9.3383444e-06	0	0.0019996001	4.2154298e-06
-8.9252947e-12	1	-6.1995169e-11	-7.0920464e-11	1.2028383e-05	9.3355899e-06	0	0.0021995601	4.2131043e-06
-8.9252947e-12	1	-6.3221254e-11	-7.2146549e-11	1.2025934e-05	9.3327569e-06	0	0.0023995201	4.2106416e-06
