# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.08.02-15.52.10-00125:5",
#   "date": "2018-08-02",
#   "duration": 1.0,
#   "duration approach": 0.5,
#   "duration retract": 0.5,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-LGAgarose/10Speed/10um_sec_2nN-2018.08.02-16.49.03.820.jpk-force",
#   "point count": 5002,
#   "position x": -1.6666666684649753e-05,
#   "position y": 7.423801631485476e-15,
#   "rate approach": 5002.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1438203619871064e-08,
#   "session id": "2018.08.02-15.52.10-00125",
#   "setpoint": 2.0000000000000005e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 9.999999999999999e-06,
#   "speed retract": 9.999999999999999e-06,
#   "spring constant": 0.08758121319465338,
#   "time": "16:49:03.82",
#   "z range": 4.084715705589183e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-2.0347193e-11	1	3.4231087e-10	3.2196368e-10	1.1591563e-05	9.1239585e-06	0	0	4.6181839e-06
-2.0347193e-11	1	2.9737398e-10	2.7702679e-10	1.1589491e-05	9.1218852e-06	0	0.00019992003	4.6155988e-06
-2.0347193e-11	1	2.803769e-10	2.6002971e-10	1.1587661e-05	9.1197881e-06	0	0.00039984006	4.6135748e-06
-2.0347193e-11	1	2.2693826e-10	2.0659107e-10	1.1585634e-05	9.1176911e-06	0	0.0005997601	4.6109375e-06
-2.0347193e-11	1	2.0368897e-10	1.8334177e-10	1.158358e-05	9.1155902e-06	0	0.00079968013	4.6086179e-06
-2.0347193e-11	1	1.9946269e-10	1.7911549e-10	1.1581463e-05	9.1135181e-06	0	0.00099960016	4.6064527e-06
-2.0347193e-11	1	1.5155853e-10	1.3121134e-10	1.1579516e-05	9.111437e-06	0	0.0011995202	4.6039593e-06
-2.0347193e-11	1	1.183215e-10	9.7974311e-11	1.1577541e-05	9.1093656e-06	0	0.0013994402	4.6016046e-06
-2.0347193e-11	1	9.785141e-11	7.7504217e-11	1.1575333e-05	9.1073043e-06	0	0.0015993603	4.5991628e-06
-2.0347193e-11	1	3.2728752e-11	1.238156e-11	1.1573571e-05	9.1052434e-06	0	0.0017992803	4.5966577e-06
-2.0347193e-11	1	2.8025549e-12	-1.7544638e-11	1.1571606e-05	9.103147e-06	0	0.0019992003	4.5943505e-06
-2.0347193e-11	1	-1.4592443e-11	-3.4939635e-11	1.1569573e-05	9.1010575e-06	0	0.0021991204	4.5921191e-06
-2.0347193e-11	1	-8.1108879e-11	-1.0145607e-10	1.1567473e-05	9.0989773e-06	0	0.0023990404	4.5892595e-06
-2.0347193e-11	1	-9.8941366e-11	-1.1928856e-10	1.1565321e-05	9.0969159e-06	0	0.0025989604	4.5869042e-06
-2.0347193e-11	1	-1.3411537e-10	-1.5446256e-10	1.1563284e-05	9.0948703e-06	0	0.0027988804	4.5844654e-06
