# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.08.02-15.52.10-00125:0",
#   "date": "2018-08-02",
#   "duration": 1.0,
#   "duration approach": 0.5,
#   "duration retract": 0.5,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-LGAgarose/10Speed/10um_sec_2nN-2018.08.02-16.48.58.706.jpk-force",
#   "point count": 5002,
#   "position x": -1.6666666684649753e-05,
#   "position y": -1.6666666257884132e-05,
#   "rate approach": 5002.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1438203619871064e-08,
#   "session id": "2018.08.02-15.52.10-00125",
#   "setpoint": 2.0000000000000005e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 9.999999999999999e-06,
#   "speed retract": 9.999999999999999e-06,
#   "spring constant": 0.08758121319465338,
#   "time": "16:48:58.706",
#   "z range": 4.065273747161514e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
1.3748834e-12	1	3.5232612e-11	3.6607495e-11	1.1688164e-05	8.4661872e-06	0	0	4.4642663e-06
1.3748834e-12	1	3.5205431e-11	3.6580315e-11	1.1686218e-05	8.464773e-06	0	0.00019992003	4.4623197e-06
1.3748834e-12	1	1.2881839e-11	1.4256723e-11	1.1684312e-05	8.4633449e-06	0	0.00039984006	4.4601586e-06
1.3748834e-12	1	3.0024388e-11	3.1399272e-11	1.1682383e-05	8.4619009e-06	0	0.0005997601	4.4584258e-06
1.3748834e-12	1	2.8390998e-11	2.9765881e-11	1.1680445e-05	8.4604528e-06	0	0.00079968013	4.4564696e-06
1.3748834e-12	1	1.8716897e-11	2.009178e-11	1.1678382e-05	8.4590064e-06	0	0.00099960016	4.4542961e-06
1.3748834e-12	1	1.7285668e-11	1.8660551e-11	1.1676185e-05	8.4575732e-06	0	0.0011995202	4.4520821e-06
1.3748834e-12	1	2.6643151e-11	2.8018034e-11	1.1674095e-05	8.4561549e-06	0	0.0013994402	4.450099e-06
1.3748834e-12	1	2.1453114e-11	2.2827997e-11	1.1672256e-05	8.454745e-06	0	0.0015993603	4.4482009e-06
1.3748834e-12	1	4.1265794e-12	5.5014628e-12	1.1670211e-05	8.4533182e-06	0	0.0017992803	4.4459579e-06
1.3748834e-12	1	2.0953575e-11	2.2328459e-11	1.1668282e-05	8.4518893e-06	0	0.0019992003	4.4442215e-06
1.3748834e-12	1	2.1524784e-11	2.2899667e-11	1.1666255e-05	8.4504577e-06	0	0.0021991204	4.4422008e-06
1.3748834e-12	1	3.0718599e-11	3.2093482e-11	1.1664255e-05	8.4490312e-06	0	0.0023990404	4.4403055e-06
1.3748834e-12	1	2.5192681e-11	2.6567564e-11	1.1662299e-05	8.4475983e-06	0	0.0025989604	4.438287e-06
1.3748834e-12	1	1.75916e-11	1.8966484e-11	1.1660182e-05	8.4461772e-06	0	0.0027988804	4.4360833e-06
1.3748834e-12	1	2.4876062e-11	2.6250946e-11	1.1658317e-05	8.4447453e-06	0	0.0029988005	4.4343008e-06
1.3748834e-12	1	1.1078367e-11	1.2453251e-11	1.1656299e-05	8.4433133e-06	0	0.0031987205	4.432125e-06
1.3748834e-12	1	3.014528e-11	3.1520163e-11	1.1654313e-05	8.4418761e-06	0	0.0033986405	4.4303573e-06
1.3748834e-12	1	1.9706343e-11	2.1081226e-11	1.1652158e-05	8.4404633e-06	0	0.0035985606	4.4280828e-06
1.3748834e-12	1	1.5749624e-11	1.7124508e-11	1.1650473e-05	8.4390243e-06	0	0.0037984806	4.4263524e-06
1.3748834e-12	1	3.2287809e-11	3.3662692e-11	1.1648078e-05	8.4375951e-06	0	0.0039984006	4.4241462e-06
1.3748834e-12	1	4.3279758e-11	4.4654641e-11	1.1646218e-05	8.436191e-06	0	0.0041983207	4.4224116e-06
1.3748834e-12	1	2.9648927e-11	3.1023811e-11	1.164423e-05	8.4347621e-06	0	0.0043982407	4.420268e-06
1.3748834e-12	1	3.1003138e-11	3.2378021e-11	1.1642309e-05	8.4333365e-06	0	0.0045981607	4.4183628e-06
1.3748834e-12	1	1.5675813e-11	1.7050696e-11	1.1640256e-05	8.4319052e-06	0	0.0047980808	4.4161348e-06
1.3748834e-12	1	6.5943029e-12	7.9691863e-12	1.1638075e-05	8.4304941e-06	0	0.0049980008	4.4138503e-06
1.3748834e-12	1	3.3871998e-11	3.5246882e-11	1.1636129e-05	8.42909e-06	0	0.0051979208	4.4122153e-06
1.3748834e-12	1	8.6491478e-12	1.0024031e-11	1.1634408e-05	8.4276557e-06	0	0.0053978409	4.4102062e-06
