# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.08.02-15.52.10-00125:0",
#   "date": "2018-08-02",
#   "duration": 0.6666666666666666,
#   "duration approach": 0.3333333333333333,
#   "duration retract": 0.3333333333333333,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-LGAgarose/15Speed/15um_sec_2nN-2018.08.02-16.48.43.894.jpk-force",
#   "point count": 3334,
#   "position x": -1.6666666684649753e-05,
#   "position y": -1.6666666257884132e-05,
#   "rate approach": 5001.0,
#   "rate retract": 5001.0,
#   "segment count": 2,
#   "sensitivity": 2.1438203619871064e-08,
#   "session id": "2018.08.02-15.52.10-00125",
#   "setpoint": 2.0000000000000005e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 1.4999999999999999e-05,
#   "speed retract": 1.4999999999999999e-05,
#   "spring constant": 0.08758121319465338,
#   "time": "16:48:43.894",
#   "z range": 4.075076478471038e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-3.0912256e-13	1	-4.9086922e-12	-5.2178148e-12	1.1552799e-05	8.3988099e-06	0	0	4.4431872e-06
-3.0912256e-13	1	5.1697533e-12	4.8606308e-12	1.1549853e-05	8.3966585e-06	0	0.00019996001	4.4403556e-06
-3.0912256e-13	1	1.172149e-11	1.1412368e-11	1.1546718e-05	8.3945063e-06	0	0.00039992002	4.4372955e-06
-3.0912256e-13	1	6.863041e-12	6.5539184e-12	1.154378e-05	8.3923537e-06	0	0.00059988002	4.4343024e-06
-3.0912256e-13	1	2.3204412e-11	2.289529e-11	1.1540733e-05	8.3902118e-06	0	0.00079984003	4.4314414e-06
-3.0912256e-13	1	-4.9857002e-12	-5.2948228e-12	1.1537923e-05	8.3880516e-06	0	0.00099980004	4.4283097e-06
-3.0912256e-13	1	8.0503762e-12	7.7412536e-12	1.1534765e-05	8.3858937e-06	0	0.00119976	4.4253012e-06
-3.0912256e-13	1	-1.3631862e-11	-1.3940985e-11	1.1531756e-05	8.3837469e-06	0	0.0013997201	4.4220442e-06
-3.0912256e-13	1	1.8426825e-11	1.8117703e-11	1.1528905e-05	8.3815999e-06	0	0.0015996801	4.4195592e-06
-3.0912256e-13	1	-7.0576557e-12	-7.3667783e-12	1.1525766e-05	8.3794436e-06	0	0.0017996401	4.4161296e-06
-3.0912256e-13	1	2.6725772e-11	2.641665e-11	1.1522881e-05	8.3772913e-06	0	0.0019996001	4.4136304e-06
-3.0912256e-13	1	9.9482813e-13	6.8570557e-13	1.1519863e-05	8.3751356e-06	0	0.0021995601	4.4103182e-06
-3.0912256e-13	1	7.6139523e-12	7.3048298e-12	1.1516996e-05	8.3729641e-06	0	0.0023995201	4.4075268e-06
-3.0912256e-13	1	-3.0228533e-12	-3.3319758e-12	1.1513944e-05	8.3707917e-06	0	0.0025994801	4.4043534e-06
-3.0912256e-13	1	1.1371706e-11	1.1062583e-11	1.151064e-05	8.3686383e-06	0	0.0027994401	4.4012134e-06
-3.0912256e-13	1	1.6739314e-11	1.6430192e-11	1.1507772e-05	8.3665058e-06	0	0.0029994001	4.3984066e-06
-3.0912256e-13	1	3.1322152e-11	3.101303e-11	1.1504828e-05	8.3643473e-06	0	0.0031993601	4.3956299e-06
-3.0912256e-13	1	-2.5340218e-12	-2.8431444e-12	1.1501869e-05	8.3622009e-06	0	0.0033993201	4.3922844e-06
-3.0912256e-13	1	1.7949402e-12	1.4858176e-12	1.1498647e-05	8.360051e-06	0	0.0035992801	4.3891114e-06
-3.0912256e-13	1	6.3260639e-12	6.0169413e-12	1.1495779e-05	8.3579155e-06	0	0.0037992402	4.386295e-06
-3.0912256e-13	1	1.4013032e-12	1.0921807e-12	1.1492766e-05	8.3557658e-06	0	0.0039992002	4.383226e-06
-3.0912256e-13	1	1.4633421e-12	1.1542195e-12	1.1489755e-05	8.3536231e-06	0	0.0041991602	4.380215e-06
-3.0912256e-13	1	2.2283429e-11	2.1974307e-11	1.1486864e-05	8.3514687e-06	0	0.0043991202	4.3775622e-06
-3.0912256e-13	1	-3.1608451e-12	-3.4699676e-12	1.1483723e-05	8.3493206e-06	0	0.0045990802	4.3741311e-06
-3.0912256e-13	1	2.5993351e-12	2.2902126e-12	1.1480689e-05	8.3471807e-06	0	0.0047990402	4.3711628e-06
-3.0912256e-13	1	1.0802638e-11	1.0493516e-11	1.1477754e-05	8.3450424e-06	0	0.0049990002	4.3683211e-06
-3.0912256e-13	1	-1.0820757e-11	-1.112988e-11	1.1474765e-05	8.3429041e-06	0	0.0051989602	4.365085e-06
-3.0912256e-13	1	1.2682053e-11	1.2372931e-11	1.1471927e-05	8.3407384e-06	0	0.0053989202	4.3625155e-06
-3.0912256e-13	1	2.1187016e-11	2.0877894e-11	1.1468702e-05	8.3385864e-06	0	0.0055988802	4.3593879e-06
-3.0912256e-13	1	1.5758434e-11	1.5449312e-11	1.1465634e-05	8.3364589e-06	0	0.0057988402	4.3562582e-06
-3.0912256e-13	1	9.4270453e-12	9.1179227e-12	1.1462746e-05	8.3343298e-06	0	0.0059988002	4.3532976e-06
-3.0912256e-13	1	9.3831929e-12	9.0740704e-12	1.1459861e-05	8.3321801e-06	0	0.0061987602	4.3504122e-06
-3.0912256e-13	1	6.5357257e-12	6.2266032e-12	1.1456815e-05	8.3300206e-06	0	0.0063987203	4.3473333e-06
-3.0912256e-13	1	-1.0659241e-11	-1.0968364e-11	1.1453839e-05	8.3278591e-06	0	0.0065986803	4.3441612e-06
-3.0912256e-13	1	2.0487447e-11	2.0178324e-11	1.145084e-05	8.3257126e-06	0	0.0067986403	4.3415175e-06
-3.0912256e-13	1	1.7450646e-11	1.7141523e-11	1.1447681e-05	8.3235613e-06	0	0.0069986003	4.3383243e-06
-3.0912256e-13	1	1.3438313e-11	1.312919e-11	1.1444666e-05	8.3214312e-06	0	0.0071985603	4.3352635e-06
-3.0912256e-13	1	-8.6782078e-12	-8.9873304e-12	1.1441664e-05	8.3193067e-06	0	0.0073985203	4.3320083e-06
-3.0912256e-13	1	-2.9661628e-12	-3.2752853e-12	1.1438721e-05	8.3171752e-06	0	0.0075984803	4.3291314e-06
-3.0912256e-13	1	4.3514547e-12	4.0423322e-12	1.143573e-05	8.3150316e-06	0	0.0077984403	4.3262235e-06
-3.0912256e-13	1	9.8206822e-12	9.5115597e-12	1.1432691e-05	8.3128936e-06	0	0.0079984003	4.3232474e-06
-3.0912256e-13	1	-5.8243267e-12	-6.1334493e-12	1.1429606e-05	8.3107649e-06	0	0.0081983603	4.3199831e-06
-3.0912256e-13	1	2.1732549e-11	2.1423426e-11	1.1426759e-05	8.3086326e-06	0	0.0083983203	4.3174509e-06
-3.0912256e-13	1	2.4315409e-12	2.1224183e-12	1.1423808e-05	8.3064916e-06	0	0.0085982803	4.3142799e-06
-3.0912256e-13	1	-1.5126185e-11	-1.5435307e-11	1.1420579e-05	8.3043636e-06	0	0.0087982404	4.3108498e-06
-3.0912256e-13	1	-6.2917752e-12	-6.6008978e-12	1.1417655e-05	8.3022447e-06	0	0.0089982004	4.3080265e-06
-3.0912256e-13	1	-8.9819986e-12	-9.2911212e-12	1.1414721e-05	8.3001107e-06	0	0.0091981604	4.3050626e-06
-3.0912256e-13	1	-1.1391662e-12	-1.4482888e-12	1.1411631e-05	8.2979878e-06	0	0.0093981204	4.302062e-06
-3.0912256e-13	1	8.4258371e-12	8.1167145e-12	1.1408792e-05	8.2958509e-06	0	0.0095980804	4.2993323e-06
-3.0912256e-13	1	1.3821253e-11	1.3512131e-11	1.1405684e-05	8.2937085e-06	0	0.0097980404	4.2962858e-06
-3.0912256e-13	1	-8.8247549e-12	-9.1338774e-12	1.1402702e-05	8.2915881e-06	0	0.0099980004	4.2930447e-06
-3.0912256e-13	1	8.2375687e-12	7.9284461e-12	1.1399728e-05	8.2894461e-06	0	0.01019796	4.290266e-06
-3.0912256e-13	1	5.2210954e-12	4.9119729e-12	1.1396853e-05	8.2873006e-06	0	0.01039792	4.2873568e-06
-3.0912256e-13	1	8.9106792e-13	5.8194536e-13	1.1393727e-05	8.2851502e-06	0	0.01059788	4.2841813e-06
-3.0912256e-13	1	1.4858834e-11	1.4549712e-11	1.1390799e-05	8.2830115e-06	0	0.01079784	4.2814121e-06
-3.0912256e-13	1	1.4307954e-11	1.3998831e-11	1.1387646e-05	8.2808807e-06	0	0.0109978	4.2782529e-06
-3.0912256e-13	1	-1.6643707e-12	-1.9734932e-12	1.1384892e-05	8.2787387e-06	0	0.01119776	4.2753168e-06
-3.0912256e-13	1	1.6116774e-11	1.5807652e-11	1.1381905e-05	8.2765684e-06	0	0.01139772	4.2725328e-06
-3.0912256e-13	1	2.3016154e-11	2.2707032e-11	1.1378725e-05	8.2744258e-06	0	0.01159768	4.2694318e-06
-3.0912256e-13	1	2.6364226e-11	2.6055103e-11	1.1375819e-05	8.2722762e-06	0	0.01179764	4.2665638e-06
-3.0912256e-13	1	-6.7977276e-12	-7.1068502e-12	1.1372549e-05	8.2701506e-06	0	0.0119976	4.2629156e-06
-3.0912256e-13	1	1.6486876e-11	1.6177754e-11	1.1369634e-05	8.2680319e-06	0	0.01219756	4.2602662e-06
-3.0912256e-13	1	5.8810848e-12	5.5719622e-12	1.1366701e-05	8.2659099e-06	0	0.01239752	4.257212e-06
-3.0912256e-13	1	2.3158722e-12	2.0067497e-12	1.1363723e-05	8.2637667e-06	0	0.012597481	4.2541933e-06
-3.0912256e-13	1	1.7992971e-11	1.7683849e-11	1.1360642e-05	8.2616419e-06	0	0.012797441	4.2512911e-06
-3.0912256e-13	1	-6.8052174e-12	-7.11434e-12	1.1357893e-05	8.2595002e-06	0	0.012997401	4.2482587e-06
-3.0912256e-13	1	-2.2751593e-12	-2.5842818e-12	1.1354695e-05	8.2573503e-06	0	0.013197361	4.2451127e-06
-3.0912256e-13	1	-1.6401235e-11	-1.6710357e-11	1.1351833e-05	8.2552088e-06	0	0.013397321	4.24209e-06
-3.0912256e-13	1	1.0355518e-11	1.0046395e-11	1.1348779e-05	8.2530658e-06	0	0.013597281	4.2393412e-06
-3.0912256e-13	1	2.6752776e-12	2.3661551e-12	1.1345842e-05	8.2509044e-06	0	0.013797241	4.2363159e-06
-3.0912256e-13	1	7.8225383e-12	7.5134157e-12	1.1342899e-05	8.2487588e-06	0	0.013997201	4.2334325e-06
