# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.08.02-15.52.10-00167:0",
#   "date": "2018-08-02",
#   "duration": 0.6666666666666666,
#   "duration approach": 0.3333333333333333,
#   "duration retract": 0.3333333333333333,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-LGAgarose/15Speed/15um_sec_2nN_B-2018.08.02-17.14.41.069.jpk-force",
#   "point count": 3334,
#   "position x": -1.6666666684649753e-05,
#   "position y": -1.6666666257884132e-05,
#   "rate approach": 5001.0,
#   "rate retract": 5001.0,
#   "segment count": 2,
#   "sensitivity": 2.1438203619871064e-08,
#   "session id": "2018.08.02-15.52.10-00167",
#   "setpoint": 2.0000000000000005e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 1.4999999999999999e-05,
#   "speed retract": 1.4999999999999999e-05,
#   "spring constant": 0.08758121319465338,
#   "time": "17:14:41.069",
#   "z range": 4.2288300314293985e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-2.8075903e-12	1	-1.5419584e-11	-1.8227174e-11	8.4813778e-06	6.1151792e-06	0	0	4.3815385e-06
-2.8075903e-12	1	-3.3740192e-12	-6.1816095e-12	8.4784222e-06	6.1132494e-06	0	0.00019996001	4.3787205e-06
-2.8075903e-12	1	-1.5695557e-11	-1.8503147e-11	8.4754756e-06	6.1113153e-06	0	0.00039992002	4.3756332e-06
-2.8075903e-12	1	-3.5440906e-12	-6.3516809e-12	8.4724796e-06	6.109388e-06	0	0.00059988002	4.372776e-06
-2.8075903e-12	1	-7.3459366e-12	-1.0153527e-11	8.469378e-06	6.1074651e-06	0	0.00079984003	4.369631e-06
-2.8075903e-12	1	-3.0876335e-11	-3.3683925e-11	8.4665191e-06	6.1055368e-06	0	0.00099980004	4.3665034e-06
-2.8075903e-12	1	-1.427397e-11	-1.7081561e-11	8.463521e-06	6.1036012e-06	0	0.00119976	4.3636948e-06
-2.8075903e-12	1	-7.751106e-12	-1.0558696e-11	8.4603714e-06	6.1016633e-06	0	0.0013997201	4.3606197e-06
-2.8075903e-12	1	-3.6339472e-12	-6.4415375e-12	8.4576199e-06	6.0997345e-06	0	0.0015996801	4.3579152e-06
-2.8075903e-12	1	1.1771462e-11	8.9638713e-12	8.4543425e-06	6.0977961e-06	0	0.0017996401	4.3548137e-06
-2.8075903e-12	1	8.2394048e-12	5.4318145e-12	8.4514127e-06	6.0958775e-06	0	0.0019996001	4.3518436e-06
-2.8075903e-12	1	-6.0054107e-12	-8.813001e-12	8.4483248e-06	6.093957e-06	0	0.0021995601	4.3485931e-06
