# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.08.02-15.52.10-00125:3",
#   "date": "2018-08-02",
#   "duration": 2.0,
#   "duration approach": 1.0,
#   "duration retract": 1.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-LGAgarose/5Speed/5um_sec_2nN-2018.08.02-16.50.05.185.jpk-force",
#   "point count": 10004,
#   "position x": 1.6666666661510276e-05,
#   "position y": -6.102259429574953e-13,
#   "rate approach": 5002.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1438203619871064e-08,
#   "session id": "2018.08.02-15.52.10-00125",
#   "setpoint": 2.0000000000000005e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 4.9999999999999996e-06,
#   "speed retract": 4.9999999999999996e-06,
#   "spring constant": 0.08758121319465338,
#   "time": "16:50:05.185",
#   "z range": 4.025820820961685e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-1.0005524e-12	1	-3.6912822e-11	-3.7913375e-11	1.2378933e-05	9.5572584e-06	0	0	4.464117e-06
-1.0005524e-12	1	-8.0372504e-11	-8.1373056e-11	1.2377983e-05	9.5562256e-06	0	0.00019992003	4.46267e-06
-1.0005524e-12	1	-5.2963241e-11	-5.3963793e-11	1.2376971e-05	9.5551793e-06	0	0.00039984006	4.4619716e-06
-1.0005524e-12	1	-7.9958539e-11	-8.0959091e-11	1.2375915e-05	9.5541425e-06	0	0.0005997601	4.4606072e-06
-1.0005524e-12	1	-1.0917126e-10	-1.1017182e-10	1.237489e-05	9.5531213e-06	0	0.00079968013	4.4592488e-06
-1.0005524e-12	1	-8.8190725e-11	-8.9191278e-11	1.2374081e-05	9.5520672e-06	0	0.00099960016	4.4586788e-06
-1.0005524e-12	1	-9.5450587e-11	-9.6451139e-11	1.2373087e-05	9.5510149e-06	0	0.0011995202	4.4576025e-06
-1.0005524e-12	1	-6.9497153e-11	-7.0497705e-11	1.2372036e-05	9.5499643e-06	0	0.0013994402	4.4568471e-06
-1.0005524e-12	1	-1.048316e-10	-1.0583216e-10	1.2370892e-05	9.5489242e-06	0	0.0015993603	4.4553e-06
-1.0005524e-12	1	-8.9511769e-11	-9.0512322e-11	1.2369975e-05	9.547899e-06	0	0.0017992803	4.4545578e-06
-1.0005524e-12	1	-7.3265603e-11	-7.4266155e-11	1.2369015e-05	9.5468477e-06	0	0.0019992003	4.4537835e-06
-1.0005524e-12	1	-6.5771667e-11	-6.677222e-11	1.2367912e-05	9.5458175e-06	0	0.0021991204	4.4527658e-06
-1.0005524e-12	1	-7.1591567e-11	-7.259212e-11	1.2366781e-05	9.5448056e-06	0	0.0023990404	4.4515691e-06
-1.0005524e-12	1	-6.2108931e-11	-6.3109483e-11	1.2365763e-05	9.5437873e-06	0	0.0025989604	4.4506593e-06
-1.0005524e-12	1	-5.0304042e-11	-5.1304594e-11	1.2364862e-05	9.5427794e-06	0	0.0027988804	4.4498926e-06
-1.0005524e-12	1	-3.4450447e-11	-3.5450999e-11	1.2363879e-05	9.5417619e-06	0	0.0029988005	4.4490903e-06
-1.0005524e-12	1	-3.7695824e-11	-3.8696376e-11	1.2363048e-05	9.5407117e-06	0	0.0031987205	4.4482224e-06
-1.0005524e-12	1	-1.0710157e-11	-1.1710709e-11	1.2361878e-05	9.5396798e-06	0	0.0033986405	4.4473611e-06
-1.0005524e-12	1	-6.602619e-12	-7.6031713e-12	1.2360884e-05	9.5386513e-06	0	0.0035985606	4.4464134e-06
-1.0005524e-12	1	-2.4348467e-11	-2.5349019e-11	1.2359993e-05	9.5376285e-06	0	0.0037984806	4.4453206e-06
-1.0005524e-12	1	7.545926e-12	6.5453737e-12	1.2358901e-05	9.5365845e-06	0	0.0039984006	4.4445927e-06
-1.0005524e-12	1	-6.9149651e-12	-7.9155175e-12	1.2357944e-05	9.5355609e-06	0	0.0041983207	4.44347e-06
-1.0005524e-12	1	1.8838438e-11	1.7837886e-11	1.2356867e-05	9.5345231e-06	0	0.0043982407	4.4426877e-06
