# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.08.02-15.52.10-00125:0",
#   "date": "2018-08-02",
#   "duration": 2.0,
#   "duration approach": 1.0,
#   "duration retract": 1.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-LGAgarose/5Speed/5um_sec_2nN-2018.08.02-16.49.59.147.jpk-force",
#   "point count": 10004,
#   "position x": -1.6666666684649753e-05,
#   "position y": -1.6666666257884132e-05,
#   "rate approach": 5002.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1438203619871064e-08,
#   "session id": "2018.08.02-15.52.10-00125",
#   "setpoint": 2.0000000000000005e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 4.9999999999999996e-06,
#   "speed retract": 4.9999999999999996e-06,
#   "spring constant": 0.08758121319465338,
#   "time": "16:49:59.147",
#   "z range": 4.020105607320414e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
2.5565178e-12	1	6.5694195e-12	9.1259373e-12	1.2260883e-05	8.832171e-06	0	0	4.4553859e-06
2.5565178e-12	1	2.6585112e-11	2.914163e-11	1.2259843e-05	8.8314313e-06	0	0.00019992003	4.4545751e-06
2.5565178e-12	1	1.7053275e-11	1.9609792e-11	1.2258844e-05	8.8307023e-06	0	0.00039984006	4.4534672e-06
2.5565178e-12	1	2.9603727e-11	3.2160244e-11	1.2257792e-05	8.8299797e-06	0	0.0005997601	4.4525577e-06
2.5565178e-12	1	2.6680317e-11	2.9236835e-11	1.2256868e-05	8.8292543e-06	0	0.00079968013	4.4516004e-06
2.5565178e-12	1	5.2565288e-11	5.5121805e-11	1.2255574e-05	8.8285444e-06	0	0.00099960016	4.450602e-06
2.5565178e-12	1	4.8910218e-11	5.1466736e-11	1.2254846e-05	8.8278275e-06	0	0.0011995202	4.4498326e-06
2.5565178e-12	1	4.1267417e-11	4.3823934e-11	1.2253852e-05	8.8270982e-06	0	0.0013994402	4.4487508e-06
2.5565178e-12	1	3.6949162e-11	3.950568e-11	1.2252774e-05	8.8263804e-06	0	0.0015993603	4.447624e-06
2.5565178e-12	1	-7.4499107e-13	1.8115267e-12	1.2251898e-05	8.8256568e-06	0	0.0017992803	4.4463179e-06
2.5565178e-12	1	1.5284034e-11	1.7840552e-11	1.2250859e-05	8.8249196e-06	0	0.0019992003	4.4454616e-06
2.5565178e-12	1	1.8241675e-11	2.0798193e-11	1.2249811e-05	8.8241971e-06	0	0.0021991204	4.444447e-06
2.5565178e-12	1	1.5461606e-11	1.8018124e-11	1.2248897e-05	8.8234643e-06	0	0.0023990404	4.4435014e-06
2.5565178e-12	1	4.7526968e-11	5.0083486e-11	1.2247878e-05	8.8227313e-06	0	0.0025989604	4.4428483e-06
2.5565178e-12	1	2.7333882e-11	2.98904e-11	1.224693e-05	8.8219992e-06	0	0.0027988804	4.4416703e-06
2.5565178e-12	1	4.6452116e-11	4.9008634e-11	1.224593e-05	8.8212574e-06	0	0.0029988005	4.4408885e-06
2.5565178e-12	1	2.6868575e-11	2.9425093e-11	1.2244818e-05	8.8205246e-06	0	0.0031987205	4.4395526e-06
2.5565178e-12	1	4.9699644e-11	5.2256162e-11	1.2243934e-05	8.8197894e-06	0	0.0033986405	4.4389298e-06
2.5565178e-12	1	7.1099485e-11	7.3656003e-11	1.2242934e-05	8.819055e-06	0	0.0035985606	4.438174e-06
2.5565178e-12	1	2.7249374e-11	2.9805891e-11	1.2241831e-05	8.8183193e-06	0	0.0037984806	4.43657e-06
2.5565178e-12	1	3.6034593e-11	3.8591111e-11	1.2240831e-05	8.8175946e-06	0	0.0039984006	4.4356702e-06
2.5565178e-12	1	2.0430219e-11	2.2986737e-11	1.2239826e-05	8.8168619e-06	0	0.0041983207	4.4344874e-06
2.5565178e-12	1	4.6034944e-11	4.8591462e-11	1.2238794e-05	8.8161444e-06	0	0.0043982407	4.4337482e-06
2.5565178e-12	1	2.8297652e-11	3.0854169e-11	1.2237951e-05	8.815414e-06	0	0.0045981607	4.4327025e-06
2.5565178e-12	1	3.9181558e-11	4.1738075e-11	1.2236803e-05	8.8146817e-06	0	0.0047980808	4.4316786e-06
2.5565178e-12	1	4.5126799e-11	4.7683317e-11	1.2235619e-05	8.8139683e-06	0	0.0049980008	4.4305625e-06
2.5565178e-12	1	3.4395854e-11	3.6952372e-11	1.2234951e-05	8.8132527e-06	0	0.0051979208	4.4297717e-06
2.5565178e-12	1	3.7647655e-11	4.0204173e-11	1.2233767e-05	8.8125214e-06	0	0.0053978409	4.4286248e-06
2.5565178e-12	1	3.0742927e-11	3.3299444e-11	1.2232919e-05	8.8117983e-06	0	0.0055977609	4.4276983e-06
2.5565178e-12	1	2.5033462e-11	2.7589979e-11	1.223163e-05	8.8110812e-06	0	0.0057976809	4.4263441e-06
2.5565178e-12	1	3.4709266e-11	3.7265784e-11	1.2230785e-05	8.8103792e-06	0	0.005997601	4.4256099e-06
2.5565178e-12	1	1.9131422e-12	4.4696601e-12	1.2229921e-05	8.809646e-06	0	0.006197521	4.4243709e-06
2.5565178e-12	1	3.4892175e-11	3.7448693e-11	1.2228821e-05	8.8089141e-06	0	0.006397441	4.4236476e-06
2.5565178e-12	1	3.7343864e-11	3.9900382e-11	1.2227711e-05	8.808204e-06	0	0.0065973611	4.4225655e-06
2.5565178e-12	1	3.2751767e-11	3.5308285e-11	1.2226872e-05	8.8074851e-06	0	0.0067972811	4.4216744e-06
2.5565178e-12	1	3.9606219e-11	4.2162737e-11	1.222586e-05	8.8067504e-06	0	0.0069972011	4.4207402e-06
2.5565178e-12	1	3.0422025e-11	3.2978543e-11	1.2224892e-05	8.8060176e-06	0	0.0071971212	4.4196677e-06
2.5565178e-12	1	4.3938388e-11	4.6494906e-11	1.2223861e-05	8.8052944e-06	0	0.0073970412	4.4187905e-06
2.5565178e-12	1	3.0720457e-11	3.3276975e-11	1.2222904e-05	8.8045599e-06	0	0.0075969612	4.4176832e-06
2.5565178e-12	1	4.161506e-11	4.4171578e-11	1.2222036e-05	8.8038159e-06	0	0.0077968812	4.4169397e-06
2.5565178e-12	1	2.5415963e-11	2.7972481e-11	1.2220783e-05	8.8030748e-06	0	0.0079968013	4.4155012e-06
2.5565178e-12	1	4.0277971e-11	4.2834488e-11	1.2219881e-05	8.802355e-06	0	0.0081967213	4.4147694e-06
2.5565178e-12	1	3.549654e-11	3.8053058e-11	1.2218867e-05	8.8016181e-06	0	0.0083966413	4.4137001e-06
2.5565178e-12	1	2.2043292e-11	2.4599809e-11	1.2217809e-05	8.8009026e-06	0	0.0085965614	4.4124892e-06
2.5565178e-12	1	2.4358566e-11	2.6915084e-11	1.2216849e-05	8.8001761e-06	0	0.0087964814	4.4115547e-06
2.5565178e-12	1	2.0117883e-11	2.2674401e-11	1.221587e-05	8.7994492e-06	0	0.0089964014	4.4105274e-06
2.5565178e-12	1	2.6035297e-11	2.8591814e-11	1.2214849e-05	8.7987176e-06	0	0.0091963215	4.4095747e-06
2.5565178e-12	1	3.1119453e-11	3.3675971e-11	1.2213833e-05	8.7979973e-06	0	0.0093962415	4.4086169e-06
2.5565178e-12	1	4.1442847e-11	4.3999365e-11	1.2212797e-05	8.7972705e-06	0	0.0095961615	4.4076987e-06
2.5565178e-12	1	4.3935181e-11	4.6491699e-11	1.221188e-05	8.7965457e-06	0	0.0097960816	4.40681e-06
2.5565178e-12	1	3.0648798e-11	3.3205315e-11	1.2210889e-05	8.7958171e-06	0	0.0099960016	4.4056672e-06
2.5565178e-12	1	3.1297014e-11	3.3853532e-11	1.2209965e-05	8.7950812e-06	0	0.010195922	4.4047507e-06
2.5565178e-12	1	2.9583399e-11	3.2139916e-11	1.2208934e-05	8.794331e-06	0	0.010395842	4.4036996e-06
2.5565178e-12	1	4.0777509e-11	4.3334027e-11	1.2207745e-05	8.793612e-06	0	0.010595762	4.4026389e-06
2.5565178e-12	1	1.4279619e-11	1.6836137e-11	1.2206862e-05	8.7928924e-06	0	0.010795682	4.4014528e-06
