# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.01.27-11.09.51-00412:1",
#   "date": "2021-01-29",
#   "duration": 6.329536370903277,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Interphase_Rep1/2um_s/Spread_20_2um_s-2021.01.29-17.53.29.872.jpk-force",
#   "point count": 31673,
#   "position x": 2.000000095025507e-06,
#   "position y": -1.999999863645143e-06,
#   "rate approach": 3178.6,
#   "rate retract": 3156.0,
#   "segment count": 2,
#   "sensitivity": 2.6502687587493763e-08,
#   "session id": "2021.01.27-11.09.51-00412",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.04708512347154938,
#   "time": "17:53:29.872",
#   "z range": 4.780205263058888e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
7.177501e-11	1	-7.1067686e-11	7.0732424e-13	1.7098218e-05	1.1702099e-05	0	0	3.688571e-06
7.177501e-11	1	-6.6546881e-11	5.2281286e-12	1.7098302e-05	1.1702082e-05	0	0.00019984013	3.6887505e-06
7.177501e-11	1	-6.1274621e-11	1.0500389e-11	1.7098327e-05	1.1702011e-05	0	0.00039968026	3.688888e-06
7.177501e-11	1	-6.2095097e-11	9.6799131e-12	1.7098221e-05	1.1701888e-05	0	0.00059952038	3.6887639e-06
7.177501e-11	1	-7.5653243e-11	-3.8782331e-12	1.7098218e-05	1.1701704e-05	0	0.00079936051	3.6884736e-06
7.177501e-11	1	-4.556388e-11	2.621113e-11	1.7098035e-05	1.1701473e-05	0	0.00099920064	3.6889294e-06
7.177501e-11	1	-5.03679e-11	2.1407109e-11	1.7097808e-05	1.1701219e-05	0	0.0011990408	3.6886001e-06
7.177501e-11	1	-7.4307079e-11	-2.5320689e-12	1.7097589e-05	1.1700931e-05	0	0.0013988809	3.6878725e-06
7.177501e-11	1	-5.2095668e-11	1.9679342e-11	1.7097637e-05	1.170059e-05	0	0.001598721	3.688393e-06
7.177501e-11	1	-8.3246033e-11	-1.1471023e-11	1.7097116e-05	1.1700225e-05	0	0.0017985612	3.6872096e-06
7.177501e-11	1	-5.6375243e-11	1.5399766e-11	1.7096906e-05	1.169986e-05	0	0.0019984013	3.6875704e-06
7.177501e-11	1	-5.1064561e-11	2.0710449e-11	1.7096681e-05	1.1699473e-05	0	0.0021982414	3.6874582e-06
7.177501e-11	1	-4.8942563e-11	2.2832446e-11	1.7096299e-05	1.1699058e-05	0	0.0023980815	3.6871217e-06
7.177501e-11	1	-5.4331522e-11	1.7443488e-11	1.7096008e-05	1.1698638e-05	0	0.0025979217	3.6867162e-06
7.177501e-11	1	-4.6804909e-11	2.4970101e-11	1.7095748e-05	1.1698201e-05	0	0.0027977618	3.6866163e-06
7.177501e-11	1	-5.748571e-11	1.4289299e-11	1.7095422e-05	1.169774e-05	0	0.0029976019	3.6860628e-06
7.177501e-11	1	-6.9356992e-11	2.4180176e-12	1.7095087e-05	1.1697275e-05	0	0.003197442	3.6854764e-06
7.177501e-11	1	-7.5827585e-11	-4.0525755e-12	1.7094415e-05	1.1696826e-05	0	0.0033972822	3.6846664e-06
7.177501e-11	1	-5.3972879e-11	1.7802131e-11	1.7094155e-05	1.1696389e-05	0	0.0035971223	3.6848708e-06
7.177501e-11	1	-4.7339326e-11	2.4435684e-11	1.7093742e-05	1.1695934e-05	0	0.0037969624	3.6845988e-06
7.177501e-11	1	-6.1092454e-11	1.0682556e-11	1.7093482e-05	1.1695475e-05	0	0.0039968026	3.684047e-06
7.177501e-11	1	-6.6546881e-11	5.2281286e-12	1.709307e-05	1.1695003e-05	0	0.0041966427	3.6835183e-06
7.177501e-11	1	-5.9228057e-11	1.2546952e-11	1.709281e-05	1.1694526e-05	0	0.0043964828	3.683414e-06
7.177501e-11	1	-5.4503244e-11	1.7271765e-11	1.7092342e-05	1.169404e-05	0	0.0045963229	3.6830467e-06
7.177501e-11	1	-6.2986023e-11	8.7889864e-12	1.7091949e-05	1.1693562e-05	0	0.0047961631	3.6824738e-06
7.177501e-11	1	-3.9457628e-11	3.2317382e-11	1.7091519e-05	1.1693084e-05	0	0.0049960032	3.6825433e-06
7.177501e-11	1	-6.7926673e-11	3.848337e-12	1.7091087e-05	1.1692609e-05	0	0.0051958433	3.6815061e-06
7.177501e-11	1	-5.5645143e-11	1.6129867e-11	1.7090716e-05	1.169213e-05	0	0.0053956835	3.6813959e-06
7.177501e-11	1	-6.1172148e-11	1.0602862e-11	1.7090348e-05	1.1691658e-05	0	0.0055955236	3.6809109e-06
7.177501e-11	1	-3.4266494e-11	3.7508516e-11	1.7089979e-05	1.1691173e-05	0	0.0057953637	3.6811135e-06
7.177501e-11	1	-5.4979795e-11	1.6795215e-11	1.7089562e-05	1.1690686e-05	0	0.0059952038	3.6802562e-06
7.177501e-11	1	-5.2173847e-11	1.9601163e-11	1.7089096e-05	1.1690213e-05	0	0.006195044	3.6798498e-06
7.177501e-11	1	-5.9185361e-11	1.2589648e-11	1.7088767e-05	1.1689733e-05	0	0.0063948841	3.6793725e-06
7.177501e-11	1	-7.4377342e-11	-2.6023326e-12	1.708826e-05	1.1689261e-05	0	0.0065947242	3.678542e-06
7.177501e-11	1	-6.5540674e-11	6.2343362e-12	1.7087926e-05	1.1688786e-05	0	0.0067945643	3.6783957e-06
7.177501e-11	1	-3.3003401e-11	3.8771609e-11	1.7087531e-05	1.1688308e-05	0	0.0069944045	3.6786924e-06
7.177501e-11	1	-5.0872429e-11	2.0902581e-11	1.7087088e-05	1.1687835e-05	0	0.0071942446	3.67787e-06
7.177501e-11	1	-7.3908394e-11	-2.1333843e-12	1.7086724e-05	1.1687361e-05	0	0.0073940847	3.6770166e-06
7.177501e-11	1	-6.6613768e-11	5.1612422e-12	1.7086342e-05	1.1686882e-05	0	0.0075939249	3.6767888e-06
7.177501e-11	1	-8.3641862e-11	-1.1866852e-11	1.7085797e-05	1.1686415e-05	0	0.007793765	3.6758826e-06
7.177501e-11	1	-4.8547624e-11	2.3227385e-11	1.7085287e-05	1.1685969e-05	0	0.0079936051	3.6761184e-06
7.177501e-11	1	-8.9598503e-11	-1.7823493e-11	1.7085197e-05	1.1685504e-05	0	0.0081934452	3.6751561e-06
7.177501e-11	1	-7.4536028e-11	-2.7610184e-12	1.7084747e-05	1.1685024e-05	0	0.0083932854	3.6750261e-06
7.177501e-11	1	-3.7396825e-11	3.4378184e-11	1.708427e-05	1.1684545e-05	0	0.0085931255	3.6753383e-06
7.177501e-11	1	-6.7038595e-11	4.7364146e-12	1.7083903e-05	1.1684075e-05	0	0.0087929656	3.6743412e-06
7.177501e-11	1	-7.2623244e-11	-8.4823434e-13	1.7083606e-05	1.1683592e-05	0	0.0089928058	3.6739257e-06
7.177501e-11	1	-5.7495731e-11	1.4279279e-11	1.7083077e-05	1.1683117e-05	0	0.0091926459	3.6737179e-06
7.177501e-11	1	-6.2137793e-11	9.637217e-12	1.708267e-05	1.1682641e-05	0	0.009392486	3.6732126e-06
7.177501e-11	1	-4.8174742e-11	2.3600267e-11	1.7082225e-05	1.1682187e-05	0	0.0095923261	3.6730638e-06
7.177501e-11	1	-5.3822727e-11	1.7952283e-11	1.7081835e-05	1.1681724e-05	0	0.0097921663	3.6725542e-06
7.177501e-11	1	-6.1908656e-11	9.8663542e-12	1.7081492e-05	1.1681253e-05	0	0.0099920064	3.6720393e-06
7.177501e-11	1	-6.5393371e-11	6.3816392e-12	1.7080963e-05	1.16808e-05	0	0.010191847	3.6714365e-06
7.177501e-11	1	-7.1698871e-11	7.6139077e-14	1.7080824e-05	1.1680317e-05	0	0.010391687	3.6711634e-06
7.177501e-11	1	-6.0081264e-11	1.1693746e-11	1.7080249e-05	1.1679845e-05	0	0.010591527	3.670835e-06
