# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.01.27-11.09.51-00412:3",
#   "date": "2021-01-29",
#   "duration": 5.546163069544365,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Interphase_Rep1/2um_s/Spread_20_2um_s-2021.01.29-17.53.54.056.jpk-force",
#   "point count": 27753,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 2693.6,
#   "rate retract": 2857.0,
#   "segment count": 2,
#   "sensitivity": 2.6502687587493763e-08,
#   "session id": "2021.01.27-11.09.51-00412",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.04708512347154938,
#   "time": "17:53:54.056",
#   "z range": 4.1069789939125486e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
3.251792e-11	1	-5.3220575e-11	-2.0702654e-11	1.7180466e-05	1.17021e-05	0	0	2.5275505e-06
3.251792e-11	1	-5.1707003e-11	-1.9189083e-11	1.7180402e-05	1.17021e-05	0	0.00019984013	2.5275189e-06
3.251792e-11	1	-7.7082005e-11	-4.4564085e-11	1.7180385e-05	1.17021e-05	0	0.00039968026	2.5269626e-06
3.251792e-11	1	-5.5319091e-11	-2.2801171e-11	1.71804e-05	1.1702099e-05	0	0.00059952038	2.5274398e-06
3.251792e-11	1	-7.4216383e-11	-4.1698463e-11	1.7180457e-05	1.1702061e-05	0	0.00079936051	2.5270953e-06
3.251792e-11	1	-4.6458941e-11	-1.394102e-11	1.7180442e-05	1.1701964e-05	0	0.00099920064	2.5276698e-06
3.251792e-11	1	-4.3508636e-11	-1.0990715e-11	1.7180295e-05	1.1701817e-05	0	0.0011990408	2.5275851e-06
3.251792e-11	1	-3.7148341e-11	-4.6304206e-12	1.7180086e-05	1.1701631e-05	0	0.0013988809	2.5275122e-06
3.251792e-11	1	-7.2556218e-11	-4.0038298e-11	1.7179834e-05	1.1701427e-05	0	0.001598721	2.5265079e-06
3.251792e-11	1	-5.3316641e-11	-2.0798721e-11	1.7179765e-05	1.1701186e-05	0	0.0017985612	2.5268469e-06
3.251792e-11	1	-3.5554353e-11	-3.0364327e-12	1.7179567e-05	1.1700895e-05	0	0.0019984013	2.527027e-06
3.251792e-11	1	-5.8897023e-11	-2.6379103e-11	1.717922e-05	1.1700591e-05	0	0.0021982414	2.5261834e-06
3.251792e-11	1	-4.9999868e-11	-1.7481948e-11	1.7178865e-05	1.1700274e-05	0	0.0023980815	2.5260175e-06
3.251792e-11	1	-5.1583182e-11	-1.9065261e-11	1.717867e-05	1.1699937e-05	0	0.0025979217	2.525789e-06
3.251792e-11	1	-4.9631968e-11	-1.7114048e-11	1.7178243e-05	1.1699593e-05	0	0.0027977618	2.5254037e-06
3.251792e-11	1	-6.2309139e-11	-2.9791219e-11	1.717807e-05	1.1699226e-05	0	0.0029976019	2.5249614e-06
3.251792e-11	1	-5.5386693e-11	-2.2868773e-11	1.7177602e-05	1.1698856e-05	0	0.003197442	2.5246403e-06
3.251792e-11	1	-5.8840095e-11	-2.6322174e-11	1.7177484e-05	1.1698463e-05	0	0.0033972822	2.5244486e-06
3.251792e-11	1	-3.945678e-11	-6.9388593e-12	1.7177023e-05	1.1698049e-05	0	0.0035971223	2.5243999e-06
3.251792e-11	1	-3.951869e-11	-7.0007701e-12	1.7176628e-05	1.1697649e-05	0	0.0037969624	2.5240032e-06
3.251792e-11	1	-7.7323949e-11	-4.4806029e-11	1.71762e-05	1.1697245e-05	0	0.0039968026	2.5227724e-06
3.251792e-11	1	-6.1904965e-11	-2.9387044e-11	1.7175776e-05	1.1696841e-05	0	0.0041966427	2.5226754e-06
3.251792e-11	1	-5.0927084e-11	-1.8409163e-11	1.7175553e-05	1.1696434e-05	0	0.0043964828	2.5226859e-06
3.251792e-11	1	-4.4541118e-11	-1.2023198e-11	1.7175163e-05	1.169601e-05	0	0.0045963229	2.522432e-06
3.251792e-11	1	-5.6527389e-11	-2.4009469e-11	1.7174864e-05	1.1695575e-05	0	0.0047961631	2.5218782e-06
3.251792e-11	1	-4.2453332e-11	-9.9354114e-12	1.7174289e-05	1.1695156e-05	0	0.0049960032	2.5216019e-06
3.251792e-11	1	-5.6679675e-11	-2.4161754e-11	1.717389e-05	1.1694732e-05	0	0.0051958433	2.5209009e-06
3.251792e-11	1	-4.7145636e-11	-1.4627716e-11	1.7173612e-05	1.1694303e-05	0	0.0053956835	2.5208251e-06
3.251792e-11	1	-4.7346302e-11	-1.4828382e-11	1.7173134e-05	1.1693875e-05	0	0.0055955236	2.520343e-06
3.251792e-11	1	-6.7005724e-11	-3.4487804e-11	1.7172693e-05	1.1693461e-05	0	0.0057953637	2.5194849e-06
3.251792e-11	1	-4.2610593e-11	-1.0092673e-11	1.7172299e-05	1.1693046e-05	0	0.0059952038	2.5196087e-06
3.251792e-11	1	-5.9587332e-11	-2.7069412e-11	1.7171897e-05	1.1692633e-05	0	0.006195044	2.5188463e-06
