# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.01.27-11.09.51-00388:3",
#   "date": "2021-01-29",
#   "duration": 8.640487609912071,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Interphase_Rep1/2um_s/Spread_16_2um_s-2021.01.29-17.44.33.472.jpk-force",
#   "point count": 43237,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 4328.0,
#   "rate retract": 4319.4,
#   "segment count": 2,
#   "sensitivity": 2.6502687587493763e-08,
#   "session id": "2021.01.27-11.09.51-00388",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.04708512347154938,
#   "time": "17:44:33.472",
#   "z range": 6.290876969719812e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
1.4581411e-12	1	8.5237574e-11	8.6695715e-11	1.7031928e-05	1.1701985e-05	0	0	8.0748939e-06
1.4581411e-12	1	8.925599e-11	9.0714131e-11	1.7031937e-05	1.1701868e-05	0	0.00019984013	8.0749885e-06
1.4581411e-12	1	9.6061752e-11	9.7519893e-11	1.7031745e-05	1.1701703e-05	0	0.00039968026	8.0749406e-06
1.4581411e-12	1	5.0487929e-11	5.194607e-11	1.7031759e-05	1.1701477e-05	0	0.00059952038	8.0739866e-06
1.4581411e-12	1	8.6990964e-11	8.8449105e-11	1.7031603e-05	1.1701217e-05	0	0.00079936051	8.0746064e-06
1.4581411e-12	1	7.9640118e-11	8.1098259e-11	1.703123e-05	1.1700931e-05	0	0.00099920064	8.0740769e-06
1.4581411e-12	1	9.3304295e-11	9.4762436e-11	1.7031288e-05	1.1700604e-05	0	0.0011990408	8.0744251e-06
1.4581411e-12	1	6.5176841e-11	6.6634982e-11	1.703104e-05	1.1700231e-05	0	0.0013988809	8.0735799e-06
1.4581411e-12	1	9.4247876e-11	9.5706018e-11	1.7030788e-05	1.1699833e-05	0	0.001598721	8.0739454e-06
1.4581411e-12	1	8.6464378e-11	8.7922519e-11	1.7030505e-05	1.1699427e-05	0	0.0017985612	8.0734971e-06
1.4581411e-12	1	7.8050397e-11	7.9508538e-11	1.7030107e-05	1.1699002e-05	0	0.0019984013	8.0729207e-06
1.4581411e-12	1	9.0881292e-11	9.2339433e-11	1.7029938e-05	1.1698555e-05	0	0.0021982414	8.0730239e-06
1.4581411e-12	1	8.7297661e-11	8.8755802e-11	1.7029558e-05	1.1698089e-05	0	0.0023980815	8.0725674e-06
1.4581411e-12	1	6.8318534e-11	6.9776675e-11	1.7029187e-05	1.1697625e-05	0	0.0025979217	8.0717932e-06
1.4581411e-12	1	6.1337013e-11	6.2795154e-11	1.7028752e-05	1.169716e-05	0	0.0027977618	8.0712101e-06
1.4581411e-12	1	8.2996425e-11	8.4454566e-11	1.7028586e-05	1.1696674e-05	0	0.0029976019	8.0715043e-06
1.4581411e-12	1	7.5164852e-11	7.6622993e-11	1.702802e-05	1.1696195e-05	0	0.003197442	8.0707721e-06
1.4581411e-12	1	9.5290373e-11	9.6748514e-11	1.7027742e-05	1.1695702e-05	0	0.0033972822	8.0709212e-06
1.4581411e-12	1	1.0194812e-10	1.0340626e-10	1.7027287e-05	1.169522e-05	0	0.0035971223	8.070608e-06
1.4581411e-12	1	6.6800689e-11	6.825883e-11	1.7026962e-05	1.1694728e-05	0	0.0037969624	8.0695369e-06
1.4581411e-12	1	9.8727409e-11	1.0018555e-10	1.7026619e-05	1.1694225e-05	0	0.0039968026	8.0698717e-06
1.4581411e-12	1	9.4974419e-11	9.643256e-11	1.7026146e-05	1.1693727e-05	0	0.0041966427	8.0693188e-06
1.4581411e-12	1	1.0188977e-10	1.0334791e-10	1.7025914e-05	1.1693221e-05	0	0.0043964828	8.0692338e-06
1.4581411e-12	1	9.3514878e-11	9.4973019e-11	1.7025508e-05	1.1692701e-05	0	0.0045963229	8.0686494e-06
1.4581411e-12	1	9.1263416e-11	9.2721557e-11	1.70251e-05	1.1692186e-05	0	0.0047961631	8.0681941e-06
