# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.01.27-11.09.51-00576:3",
#   "date": "2021-01-29",
#   "duration": 9.098920863309353,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Mitotic_Rep1/2um_s/Mitotic_11_2um_s-2021.01.29-18.21.30.520.jpk-force",
#   "point count": 45531,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 4555.4,
#   "rate retract": 4550.8,
#   "segment count": 2,
#   "sensitivity": 2.6502687587493763e-08,
#   "session id": "2021.01.27-11.09.51-00576",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.04708512347154938,
#   "time": "18:21:30.52",
#   "z range": 6.580563421399069e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
3.1785982e-12	1	3.3419878e-11	3.6598476e-11	1.696932e-05	1.17021e-05	0	0	7.8504135e-06
3.1785982e-12	1	6.172597e-11	6.4904568e-11	1.6969369e-05	1.17021e-05	0	0.00019984013	7.8510634e-06
3.1785982e-12	1	2.0621012e-11	2.379961e-11	1.6969624e-05	1.1702089e-05	0	0.00039968026	7.8504455e-06
3.1785982e-12	1	5.6008966e-11	5.9187564e-11	1.6969787e-05	1.1702001e-05	0	0.00059952038	7.8513594e-06
3.1785982e-12	1	3.2292705e-11	3.5471303e-11	1.6969589e-05	1.1701863e-05	0	0.00079936051	7.8506586e-06
3.1785982e-12	1	6.4515449e-11	6.7694047e-11	1.6969701e-05	1.1701676e-05	0	0.00099920064	7.8514543e-06
3.1785982e-12	1	5.4370857e-11	5.7549456e-11	1.6969566e-05	1.1701422e-05	0	0.0011990408	7.8511043e-06
3.1785982e-12	1	4.5764333e-11	4.8942932e-11	1.6969442e-05	1.1701127e-05	0	0.0013988809	7.8507978e-06
3.1785982e-12	1	5.3945321e-11	5.7123919e-11	1.6969208e-05	1.1700794e-05	0	0.001598721	7.850737e-06
3.1785982e-12	1	4.8475237e-11	5.1653835e-11	1.6969152e-05	1.1700428e-05	0	0.0017985612	7.8505651e-06
3.1785982e-12	1	4.3669076e-11	4.6847674e-11	1.6968822e-05	1.1700026e-05	0	0.0019984013	7.8501326e-06
3.1785982e-12	1	4.7258398e-11	5.0436996e-11	1.6968584e-05	1.1699606e-05	0	0.0021982414	7.8499711e-06
3.1785982e-12	1	4.5971824e-11	4.9150422e-11	1.6968298e-05	1.1699169e-05	0	0.0023980815	7.8496573e-06
3.1785982e-12	1	4.7643372e-11	5.082197e-11	1.6968043e-05	1.1698709e-05	0	0.0025979217	7.8494377e-06
3.1785982e-12	1	3.9933167e-11	4.3111765e-11	1.6967792e-05	1.1698222e-05	0	0.0027977618	7.8490235e-06
3.1785982e-12	1	5.2371576e-11	5.5550174e-11	1.696746e-05	1.1697726e-05	0	0.0029976019	7.8489555e-06
3.1785982e-12	1	4.7304652e-11	5.048325e-11	1.696715e-05	1.1697211e-05	0	0.003197442	7.8485376e-06
3.1785982e-12	1	6.1495408e-11	6.4674006e-11	1.6966737e-05	1.1696697e-05	0	0.0033972822	7.8484262e-06
3.1785982e-12	1	2.1792306e-11	2.4970904e-11	1.6966435e-05	1.1696168e-05	0	0.0035971223	7.8472815e-06
3.1785982e-12	1	6.0218083e-11	6.3396681e-11	1.6965944e-05	1.1695641e-05	0	0.0037969624	7.8476059e-06
