# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.01.27-11.09.51-00603:3",
#   "date": "2021-01-29",
#   "duration": 6.092326139088729,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Mitotic_Rep1/2um_s/Mitotic_14_2um_s-2021.01.29-18.28.07.966.jpk-force",
#   "point count": 30486,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 3091.0,
#   "rate retract": 3006.2,
#   "segment count": 2,
#   "sensitivity": 2.6502687587493763e-08,
#   "session id": "2021.01.27-11.09.51-00603",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.04708512347154938,
#   "time": "18:28:07.966",
#   "z range": 4.591100328317261e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-1.7752425e-12	1	1.2756565e-11	1.0981322e-11	1.7210283e-05	1.1702099e-05	0	0	4.6585481e-06
-1.7752425e-12	1	2.7101031e-11	2.5325789e-11	1.721026e-05	1.1702072e-05	0	0.00019984013	4.6588295e-06
-1.7752425e-12	1	2.8777569e-11	2.7002326e-11	1.7210255e-05	1.1702002e-05	0	0.00039968026	4.6588605e-06
-1.7752425e-12	1	2.8349892e-11	2.657465e-11	1.72102e-05	1.1701879e-05	0	0.00059952038	4.6587958e-06
-1.7752425e-12	1	-1.7373375e-12	-3.51258e-12	1.7210024e-05	1.1701703e-05	0	0.00079936051	4.6579805e-06
-1.7752425e-12	1	1.808362e-11	1.6308377e-11	1.7209843e-05	1.1701499e-05	0	0.00099920064	4.6582206e-06
-1.7752425e-12	1	2.8071659e-11	2.6296416e-11	1.7209703e-05	1.1701251e-05	0	0.0011990408	4.6582935e-06
-1.7752425e-12	1	9.5046e-13	-8.247825e-13	1.7209341e-05	1.1700984e-05	0	0.0013988809	4.6573549e-06
-1.7752425e-12	1	3.5538494e-11	3.3763252e-11	1.7209197e-05	1.1700696e-05	0	0.001598721	4.6579454e-06
-1.7752425e-12	1	2.1361254e-11	1.9586012e-11	1.7208953e-05	1.1700378e-05	0	0.0017985612	4.6574008e-06
-1.7752425e-12	1	2.5804498e-11	2.4029256e-11	1.7208594e-05	1.1700035e-05	0	0.0019984013	4.6571356e-06
-1.7752425e-12	1	1.6693856e-11	1.4918613e-11	1.7208198e-05	1.1699694e-05	0	0.0021982414	4.6565467e-06
-1.7752425e-12	1	2.426174e-11	2.2486498e-11	1.7208003e-05	1.1699335e-05	0	0.0023980815	4.6565126e-06
-1.7752425e-12	1	1.1166851e-11	9.3916084e-12	1.7207667e-05	1.1698966e-05	0	0.0025979217	4.6558982e-06
-1.7752425e-12	1	9.5443989e-12	7.7691564e-12	1.7207343e-05	1.1698575e-05	0	0.0027977618	4.6555391e-06
-1.7752425e-12	1	1.5536947e-11	1.3761705e-11	1.7207011e-05	1.169817e-05	0	0.0029976019	4.6553344e-06
-1.7752425e-12	1	1.5612221e-11	1.3836979e-11	1.7206556e-05	1.1697771e-05	0	0.003197442	4.6548817e-06
-1.7752425e-12	1	1.3344352e-11	1.156911e-11	1.7206299e-05	1.1697364e-05	0	0.0033972822	4.6545761e-06
-1.7752425e-12	1	1.2243503e-11	1.046826e-11	1.7205953e-05	1.1696941e-05	0	0.0035971223	4.6542072e-06
-1.7752425e-12	1	3.7407157e-11	3.5631915e-11	1.720542e-05	1.1696525e-05	0	0.0037969624	4.6542082e-06
-1.7752425e-12	1	1.6626969e-11	1.4851727e-11	1.7205248e-05	1.1696098e-05	0	0.0039968026	4.6535952e-06
-1.7752425e-12	1	1.3737866e-11	1.1962624e-11	1.7204824e-05	1.1695658e-05	0	0.0041966427	4.6531095e-06
-1.7752425e-12	1	3.5776185e-12	1.802376e-12	1.7204434e-05	1.169522e-05	0	0.0043964828	4.6525041e-06
-1.7752425e-12	1	3.0963402e-11	2.918816e-11	1.7204064e-05	1.1694778e-05	0	0.0045963229	4.6527156e-06
-1.7752425e-12	1	1.1036622e-11	9.2613797e-12	1.7203612e-05	1.169434e-05	0	0.0047961631	4.6518403e-06
-1.7752425e-12	1	1.4443061e-11	1.2667819e-11	1.7203219e-05	1.1693897e-05	0	0.0049960032	4.6515195e-06
-1.7752425e-12	1	1.913465e-11	1.7359407e-11	1.7202776e-05	1.1693471e-05	0	0.0051958433	4.6511762e-06
-1.7752425e-12	1	1.7779048e-11	1.6003806e-11	1.7202341e-05	1.1693043e-05	0	0.0053956835	4.6507126e-06
-1.7752425e-12	1	1.1794478e-11	1.0019236e-11	1.7202079e-05	1.1692613e-05	0	0.0055955236	4.6503234e-06
-1.7752425e-12	1	1.6251245e-11	1.4476003e-11	1.7201608e-05	1.1692168e-05	0	0.0057953637	4.6499472e-06
-1.7752425e-12	1	2.5964609e-11	2.4189366e-11	1.7201216e-05	1.1691726e-05	0	0.0059952038	4.6497616e-06
-1.7752425e-12	1	6.9755306e-12	5.2002881e-12	1.72007e-05	1.16913e-05	0	0.006195044	4.6488419e-06
-1.7752425e-12	1	3.4209223e-11	3.2433981e-11	1.7200366e-05	1.169088e-05	0	0.0063948841	4.6490867e-06
-1.7752425e-12	1	1.3961305e-11	1.2186063e-11	1.7200042e-05	1.1690445e-05	0	0.0065947242	4.648332e-06
-1.7752425e-12	1	1.8848591e-11	1.7073349e-11	1.7199559e-05	1.1690008e-05	0	0.0067945643	4.6479534e-06
-1.7752425e-12	1	2.4549939e-11	2.2774696e-11	1.7199318e-05	1.1689574e-05	0	0.0069944045	4.6478333e-06
-1.7752425e-12	1	2.7287472e-11	2.551223e-11	1.7198817e-05	1.1689126e-05	0	0.0071942446	4.6473904e-06
-1.7752425e-12	1	2.6111905e-11	2.4336662e-11	1.7198381e-05	1.1688696e-05	0	0.0073940847	4.6469295e-06
-1.7752425e-12	1	1.2707469e-11	1.0932226e-11	1.7198038e-05	1.1688254e-05	0	0.0075939249	4.6463015e-06
-1.7752425e-12	1	2.0884613e-11	1.9109371e-11	1.7197778e-05	1.1687813e-05	0	0.007793765	4.6462154e-06
-1.7752425e-12	1	1.5553875e-11	1.3778633e-11	1.7197235e-05	1.1687357e-05	0	0.0079936051	4.6455595e-06
-1.7752425e-12	1	3.6388135e-12	1.863571e-12	1.7196992e-05	1.1686906e-05	0	0.0081934452	4.645063e-06
-1.7752425e-12	1	1.3493073e-11	1.171783e-11	1.7196318e-05	1.1686467e-05	0	0.0083932854	4.6445985e-06
-1.7752425e-12	1	2.4495151e-11	2.2719909e-11	1.7195934e-05	1.168604e-05	0	0.0085931255	4.6444483e-06
-1.7752425e-12	1	2.9834297e-11	2.8059055e-11	1.7195671e-05	1.1685613e-05	0	0.0087929656	4.6442985e-06
-1.7752425e-12	1	1.1182501e-11	9.407258e-12	1.719522e-05	1.1685175e-05	0	0.0089928058	4.6434513e-06
-1.7752425e-12	1	1.5689476e-11	1.3914233e-11	1.7194686e-05	1.168474e-05	0	0.0091926459	4.6430127e-06
-1.7752425e-12	1	3.2199657e-11	3.0424415e-11	1.7194417e-05	1.1684319e-05	0	0.009392486	4.6430952e-06
-1.7752425e-12	1	2.5780301e-11	2.4005059e-11	1.7193968e-05	1.1683891e-05	0	0.0095923261	4.6425089e-06
-1.7752425e-12	1	3.7622778e-11	3.5847536e-11	1.7193671e-05	1.1683455e-05	0	0.0097921663	4.6424636e-06
-1.7752425e-12	1	2.1835894e-11	2.0060652e-11	1.7193232e-05	1.1683013e-05	0	0.0099920064	4.64169e-06
-1.7752425e-12	1	7.9575271e-12	6.1822846e-12	1.7192861e-05	1.1682575e-05	0	0.010191847	4.6410241e-06
-1.7752425e-12	1	3.2048796e-11	3.0273554e-11	1.7192488e-05	1.1682119e-05	0	0.010391687	4.6411624e-06
-1.7752425e-12	1	2.2321208e-11	2.0545965e-11	1.7191915e-05	1.168169e-05	0	0.010591527	4.640383e-06
-1.7752425e-12	1	7.7904258e-12	6.0151833e-12	1.7191787e-05	1.1681253e-05	0	0.010791367	4.6399464e-06
-1.7752425e-12	1	9.6397494e-12	7.8645069e-12	1.7191292e-05	1.1680799e-05	0	0.010991207	4.6394909e-06
-1.7752425e-12	1	3.7666183e-11	3.5890941e-11	1.7190713e-05	1.1680371e-05	0	0.011191047	4.6395063e-06
-1.7752425e-12	1	1.1790211e-11	1.0014969e-11	1.7190376e-05	1.1679942e-05	0	0.011390887	4.6386205e-06
-1.7752425e-12	1	3.0558707e-11	2.8783464e-11	1.7189874e-05	1.1679529e-05	0	0.011590727	4.638517e-06
-1.7752425e-12	1	1.4472241e-11	1.2696998e-11	1.7189558e-05	1.16791e-05	0	0.011790568	4.6378588e-06
-1.7752425e-12	1	2.0842494e-11	1.9067251e-11	1.7189178e-05	1.167867e-05	0	0.011990408	4.6376149e-06
-1.7752425e-12	1	3.3648468e-12	1.5896043e-12	1.7188885e-05	1.1678235e-05	0	0.012190248	4.6369503e-06
-1.7752425e-12	1	8.5680869e-12	6.7928444e-12	1.7188393e-05	1.1677798e-05	0	0.012390088	4.6365684e-06
-1.7752425e-12	1	1.5956639e-11	1.4181397e-11	1.7188139e-05	1.167736e-05	0	0.012589928	4.6364721e-06
-1.7752425e-12	1	2.8566931e-11	2.6791688e-11	1.7187629e-05	1.1676912e-05	0	0.012789768	4.6362297e-06
-1.7752425e-12	1	1.5119798e-11	1.3344556e-11	1.7187235e-05	1.1676471e-05	0	0.012989608	4.6355498e-06
-1.7752425e-12	1	1.9619964e-11	1.7844721e-11	1.7186827e-05	1.1676043e-05	0	0.013189448	4.6352372e-06
-1.7752425e-12	1	7.8913426e-12	6.1161001e-12	1.7186363e-05	1.1675608e-05	0	0.013389289	4.6345243e-06
-1.7752425e-12	1	4.4730255e-11	4.2955012e-11	1.7186001e-05	1.1675173e-05	0	0.013589129	4.6349449e-06
-1.7752425e-12	1	-4.1802649e-12	-5.9555074e-12	1.7185783e-05	1.1674724e-05	0	0.013788969	4.6336881e-06
-1.7752425e-12	1	3.276577e-11	3.0990527e-11	1.7185223e-05	1.1674284e-05	0	0.013988809	4.633913e-06
