# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.01.27-11.09.51-00576:3",
#   "date": "2021-01-29",
#   "duration": 9.191646682653877,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Mitotic_Rep1/2um_s/Mitotic_11_2um_s-2021.01.29-18.21.12.258.jpk-force",
#   "point count": 45995,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 4604.2,
#   "rate retract": 4594.8,
#   "segment count": 2,
#   "sensitivity": 2.6502687587493763e-08,
#   "session id": "2021.01.27-11.09.51-00576",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.04708512347154938,
#   "time": "18:21:12.258",
#   "z range": 6.636889152731348e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-2.0209854e-12	1	-2.7959468e-11	-2.9980453e-11	1.6988573e-05	1.17021e-05	0	0	7.7730173e-06
-2.0209854e-12	1	-2.1301009e-11	-2.3321995e-11	1.6988658e-05	1.17021e-05	0	0.00019984013	7.7732434e-06
-2.0209854e-12	1	-2.408907e-11	-2.6110056e-11	1.6988859e-05	1.170209e-05	0	0.00039968026	7.7733848e-06
-2.0209854e-12	1	-2.3475668e-11	-2.5496654e-11	1.6988914e-05	1.170204e-05	0	0.00059952038	7.7734535e-06
-2.0209854e-12	1	-6.2791038e-12	-8.3000892e-12	1.698897e-05	1.1701919e-05	0	0.00079936051	7.7738744e-06
-2.0209854e-12	1	-2.9904274e-11	-3.1925259e-11	1.698898e-05	1.1701721e-05	0	0.00099920064	7.7733831e-06
-2.0209854e-12	1	-1.3883986e-11	-1.5904971e-11	1.6988819e-05	1.1701484e-05	0	0.0011990408	7.7735621e-06
-2.0209854e-12	1	-1.5533595e-11	-1.7554581e-11	1.6988756e-05	1.1701197e-05	0	0.0013988809	7.7734637e-06
-2.0209854e-12	1	-4.0218232e-11	-4.2239218e-11	1.6988635e-05	1.1700862e-05	0	0.001598721	7.7728184e-06
-2.0209854e-12	1	-2.1083971e-11	-2.3104956e-11	1.6988384e-05	1.1700499e-05	0	0.0017985612	7.7729743e-06
-2.0209854e-12	1	-4.2609971e-12	-6.2819826e-12	1.6988394e-05	1.1700087e-05	0	0.0019984013	7.7733409e-06
-2.0209854e-12	1	-3.2657464e-11	-3.4678449e-11	1.6987925e-05	1.1699647e-05	0	0.0021982414	7.7722693e-06
-2.0209854e-12	1	-3.1140328e-11	-3.3161313e-11	1.6987675e-05	1.1699206e-05	0	0.0023980815	7.7720511e-06
-2.0209854e-12	1	-2.4738761e-11	-2.6759747e-11	1.6987369e-05	1.1698738e-05	0	0.0025979217	7.7718809e-06
-2.0209854e-12	1	-1.4503795e-11	-1.6524781e-11	1.698697e-05	1.1698269e-05	0	0.0027977618	7.7716994e-06
-2.0209854e-12	1	-2.3509261e-11	-2.5530246e-11	1.6986773e-05	1.1697784e-05	0	0.0029976019	7.7713118e-06
-2.0209854e-12	1	-2.9848062e-11	-3.1869047e-11	1.6986233e-05	1.1697295e-05	0	0.003197442	7.7706371e-06
-2.0209854e-12	1	-1.3945188e-11	-1.5966173e-11	1.6985964e-05	1.1696804e-05	0	0.0033972822	7.7707058e-06
-2.0209854e-12	1	-1.7456942e-11	-1.9477928e-11	1.6985613e-05	1.1696298e-05	0	0.0035971223	7.7702799e-06
-2.0209854e-12	1	-9.9296206e-12	-1.1950606e-11	1.6985251e-05	1.1695795e-05	0	0.0037969624	7.770078e-06
-2.0209854e-12	1	-1.3580846e-11	-1.5601832e-11	1.6984891e-05	1.1695271e-05	0	0.0039968026	7.7696398e-06
-2.0209854e-12	1	-3.4714702e-11	-3.6735687e-11	1.6984516e-05	1.1694752e-05	0	0.0041966427	7.7688164e-06
-2.0209854e-12	1	-1.3445642e-11	-1.5466627e-11	1.6984255e-05	1.1694221e-05	0	0.0043964828	7.7690072e-06
-2.0209854e-12	1	-2.5041665e-11	-2.706265e-11	1.6983809e-05	1.1693674e-05	0	0.0045963229	7.7683153e-06
-2.0209854e-12	1	-2.4449138e-11	-2.6470123e-11	1.6983486e-05	1.1693128e-05	0	0.0047961631	7.7680047e-06
-2.0209854e-12	1	-1.9176885e-11	-2.119787e-11	1.698302e-05	1.1692589e-05	0	0.0049960032	7.7676505e-06
-2.0209854e-12	1	-3.167332e-11	-3.3694305e-11	1.698247e-05	1.1692062e-05	0	0.0051958433	7.7668354e-06
