# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.03.03-13.02.46-00037:3",
#   "date": "2021-03-03",
#   "duration": 4.086,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Mitotic_Rep2/2um_s/Mitotic5_2um_s-2021.03.03-15.34.18.480.jpk-force",
#   "point count": 20430,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 1817.2,
#   "rate retract": 2268.8,
#   "segment count": 2,
#   "sensitivity": 2.5441681455215882e-08,
#   "session id": "2021.03.03-13.02.46-00037",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.05302217661965075,
#   "time": "15:34:18.48",
#   "z range": 2.9969428641199938e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
1.1261722e-12	1	1.3508396e-11	1.4634569e-11	1.6707278e-05	1.17021e-05	0	0	3.0763379e-06
1.1261722e-12	1	2.5186364e-11	2.6312536e-11	1.6707148e-05	1.17021e-05	0	0.0002	3.0764283e-06
1.1261722e-12	1	1.2217599e-11	1.3343771e-11	1.670726e-05	1.1702095e-05	0	0.0004	3.076295e-06
1.1261722e-12	1	1.9816235e-11	2.0942407e-11	1.6707362e-05	1.1702039e-05	0	0.0006	3.0765404e-06
1.1261722e-12	1	3.0084938e-11	3.121111e-11	1.6707491e-05	1.1701904e-05	0	0.0008	3.0768639e-06
1.1261722e-12	1	3.373546e-12	4.4997182e-12	1.6707148e-05	1.1701722e-05	0	0.001	3.0760169e-06
1.1261722e-12	1	9.0921432e-12	1.0218315e-11	1.6707352e-05	1.1701497e-05	0	0.0012	3.0763289e-06
1.1261722e-12	1	2.3992489e-11	2.5118661e-11	1.6707093e-05	1.1701208e-05	0	0.0014	3.0763501e-06
1.1261722e-12	1	1.350301e-11	1.4629182e-11	1.6706926e-05	1.1700895e-05	0	0.0016	3.0759853e-06
1.1261722e-12	1	3.0464176e-11	3.1590348e-11	1.6706703e-05	1.1700539e-05	0	0.0018	3.0760826e-06
1.1261722e-12	1	1.8234663e-11	1.9360835e-11	1.6706527e-05	1.1700159e-05	0	0.002	3.0756756e-06
1.1261722e-12	1	1.4090719e-11	1.5216891e-11	1.6706109e-05	1.1699761e-05	0	0.0022	3.07518e-06
1.1261722e-12	1	2.6257926e-11	2.7384098e-11	1.670572e-05	1.1699367e-05	0	0.0024	3.0750199e-06
1.1261722e-12	1	2.2763231e-11	2.3889403e-11	1.6705506e-05	1.169895e-05	0	0.0026	3.0747406e-06
1.1261722e-12	1	2.7011016e-11	2.8137188e-11	1.6705182e-05	1.1698515e-05	0	0.0028	3.074496e-06
1.1261722e-12	1	1.0381401e-11	1.1507573e-11	1.6704801e-05	1.1698084e-05	0	0.003	3.073802e-06
