# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.03.03-13.02.46-00037:3",
#   "date": "2021-03-03",
#   "duration": 4.131,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Mitotic_Rep2/2um_s/Mitotic5_2um_s-2021.03.03-15.34.10.286.jpk-force",
#   "point count": 20655,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 1856.4,
#   "rate retract": 2274.6,
#   "segment count": 2,
#   "sensitivity": 2.5441681455215882e-08,
#   "session id": "2021.03.03-13.02.46-00037",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.05302217661965075,
#   "time": "15:34:10.286",
#   "z range": 3.0027355022207473e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-1.8775587e-12	1	1.1663784e-11	9.7862257e-12	1.6776604e-05	1.17021e-05	0	0	3.104288e-06
-1.8775587e-12	1	7.2059887e-12	5.32843e-12	1.6776635e-05	1.17021e-05	0	0.0002	3.1042341e-06
-1.8775587e-12	1	1.4454624e-11	1.2577066e-11	1.6776694e-05	1.1702078e-05	0	0.0004	3.1044299e-06
-1.8775587e-12	1	1.4361541e-11	1.2483982e-11	1.6776587e-05	1.1702006e-05	0	0.0006	3.1043215e-06
-1.8775587e-12	1	3.4502009e-11	3.2624451e-11	1.6776517e-05	1.1701895e-05	0	0.0008	3.1046317e-06
-1.8775587e-12	1	2.438331e-11	2.2505752e-11	1.6776447e-05	1.1701713e-05	0	0.001	3.1043702e-06
-1.8775587e-12	1	3.5808958e-11	3.39314e-11	1.6776231e-05	1.1701501e-05	0	0.0012	3.10437e-06
-1.8775587e-12	1	1.8570871e-11	1.6693312e-11	1.6775953e-05	1.1701269e-05	0	0.0014	3.1037666e-06
-1.8775587e-12	1	1.830856e-11	1.6431001e-11	1.6775738e-05	1.170101e-05	0	0.0016	3.1035471e-06
-1.8775587e-12	1	3.4818168e-11	3.2940609e-11	1.6775433e-05	1.1700727e-05	0	0.0018	3.1035535e-06
