# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.07.25-12.40.55-00383:2",
#   "date": "2018-07-26",
#   "duration": 0.9558176729308276,
#   "duration approach": 0.5,
#   "duration retract": 0.5,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-PAA/Ind/10/10um_sec_4nN_A-2018.07.26-16.55.49.238.jpk-force",
#   "point count": 4781,
#   "position x": 1.6666666661510276e-05,
#   "position y": -1.6666666257884132e-05,
#   "rate approach": 4560.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1094064287088143e-08,
#   "session id": "2018.07.25-12.40.55-00383",
#   "setpoint": 4e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 9.999999999999999e-06,
#   "speed retract": 9.999999999999999e-06,
#   "spring constant": 0.08802872571823475,
#   "time": "16:55:49.238",
#   "z range": 4.054838847302993e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-5.6480854e-12	1	-8.7533517e-11	-9.3181602e-11	1.1251861e-05	8.835777e-06	0	0	3.7227409e-06
-5.6480854e-12	1	-7.7914232e-11	-8.3562317e-11	1.125165e-05	8.8353146e-06	0	0.00019992003	3.7226394e-06
-5.6480854e-12	1	-6.0728999e-11	-6.6377085e-11	1.1251209e-05	8.8346183e-06	0	0.00039984006	3.722394e-06
-5.6480854e-12	1	-5.1153094e-11	-5.6801179e-11	1.125067e-05	8.8336889e-06	0	0.0005997601	3.7219634e-06
-5.6480854e-12	1	-2.6358545e-11	-3.200663e-11	1.1249863e-05	8.8325714e-06	0	0.00079968013	3.7214378e-06
-5.6480854e-12	1	-7.6517832e-11	-8.2165918e-11	1.1248983e-05	8.8312841e-06	0	0.00099960016	3.7199889e-06
-5.6480854e-12	1	-3.4045084e-11	-3.9693169e-11	1.1247872e-05	8.8298493e-06	0	0.0011995202	3.7193603e-06
-5.6480854e-12	1	-4.3815644e-11	-4.9463729e-11	1.1246563e-05	8.828294e-06	0	0.0013994402	3.7179397e-06
-5.6480854e-12	1	-2.6776407e-11	-3.2424492e-11	1.1245163e-05	8.8266498e-06	0	0.0015993603	3.7167339e-06
-5.6480854e-12	1	-3.9371501e-11	-4.5019587e-11	1.1243722e-05	8.8249193e-06	0	0.0017992803	3.715149e-06
-5.6480854e-12	1	-3.2591555e-11	-3.8239641e-11	1.1242428e-05	8.8230927e-06	0	0.0019992003	3.7139321e-06
-5.6480854e-12	1	-3.7403848e-11	-4.3051933e-11	1.1240588e-05	8.8211953e-06	0	0.0021991204	3.7120375e-06
-5.6480854e-12	1	-5.2658452e-11	-5.8306538e-11	1.1238956e-05	8.8192852e-06	0	0.0023990404	3.7102328e-06
-5.6480854e-12	1	-1.8188543e-11	-2.3836628e-11	1.1237422e-05	8.8172913e-06	0	0.0025989604	3.7090905e-06
-5.6480854e-12	1	-3.6121697e-11	-4.1769782e-11	1.1235528e-05	8.8152623e-06	0	0.0027988804	3.7069919e-06
-5.6480854e-12	1	-4.0672051e-11	-4.6320136e-11	1.1233851e-05	8.8132097e-06	0	0.0029988005	3.7052637e-06
-5.6480854e-12	1	-4.6863397e-11	-5.2511483e-11	1.1232014e-05	8.8111178e-06	0	0.0031987205	3.7033559e-06
-5.6480854e-12	1	-5.0704549e-11	-5.6352634e-11	1.123004e-05	8.809013e-06	0	0.0033986405	3.7013389e-06
-5.6480854e-12	1	-3.9991414e-11	-4.5639499e-11	1.1228139e-05	8.8068992e-06	0	0.0035985606	3.699559e-06
-5.6480854e-12	1	-3.2947009e-11	-3.8595094e-11	1.1226197e-05	8.804774e-06	0	0.0037984806	3.697697e-06
-5.6480854e-12	1	-1.1121916e-11	-1.6770001e-11	1.1224421e-05	8.8026217e-06	0	0.0039984006	3.6961689e-06
-5.6480854e-12	1	-3.832103e-11	-4.3969116e-11	1.1222622e-05	8.8004327e-06	0	0.0041983207	3.6940615e-06
-5.6480854e-12	1	-1.8862413e-11	-2.4510499e-11	1.1220407e-05	8.798257e-06	0	0.0043982407	3.6920669e-06
-5.6480854e-12	1	-3.1807672e-11	-3.7455757e-11	1.1218402e-05	8.7960947e-06	0	0.0045981607	3.6899151e-06
-5.6480854e-12	1	-3.5375893e-11	-4.1023978e-11	1.121668e-05	8.7939101e-06	0	0.0047980808	3.6881524e-06
-5.6480854e-12	1	-2.5925868e-11	-3.1573954e-11	1.121467e-05	8.7917114e-06	0	0.0049980008	3.6862505e-06
-5.6480854e-12	1	-2.9198948e-11	-3.4847033e-11	1.1212347e-05	8.7895305e-06	0	0.0051979208	3.6838901e-06
-5.6480854e-12	1	-2.8900624e-11	-3.454871e-11	1.1210728e-05	8.7873491e-06	0	0.0053978409	3.6822744e-06
-5.6480854e-12	1	-9.9529603e-12	-1.5601046e-11	1.1208499e-05	8.7851527e-06	0	0.0055977609	3.6802606e-06
-5.6480854e-12	1	-2.2459199e-11	-2.8107285e-11	1.1206709e-05	8.7829633e-06	0	0.0057976809	3.6783291e-06
