# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.07.25-12.40.55-00311:3",
#   "date": "2018-07-26",
#   "duration": 0.6622675464907017,
#   "duration approach": 0.3333333333333333,
#   "duration retract": 0.3333333333333333,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-PAA/Ind/15/15um_sec_4nN_C-2018.07.26-15.53.06.069.jpk-force",
#   "point count": 3312,
#   "position x": 1.6666666661510276e-05,
#   "position y": -6.102259429574953e-13,
#   "rate approach": 4935.0,
#   "rate retract": 5001.0,
#   "segment count": 2,
#   "sensitivity": 2.1094064287088143e-08,
#   "session id": "2018.07.25-12.40.55-00311",
#   "setpoint": 4e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 1.4999999999999999e-05,
#   "speed retract": 1.4999999999999999e-05,
#   "spring constant": 0.08802872571823475,
#   "time": "15:53:06.069",
#   "z range": 4.025624046089962e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-5.3978053e-12	1	-2.4060288e-11	-2.9458093e-11	1.2376774e-05	9.5470445e-06	0	0	4.029796e-06
-5.3978053e-12	1	-1.4750959e-11	-2.0148764e-11	1.2376814e-05	9.546453e-06	0	0.00019996001	4.0299421e-06
-5.3978053e-12	1	1.5396454e-11	9.9986487e-12	1.2376375e-05	9.5454476e-06	0	0.00039992002	4.029845e-06
-5.3978053e-12	1	5.9517189e-12	5.5391359e-13	1.2375343e-05	9.5441151e-06	0	0.00059988002	4.0287062e-06
-5.3978053e-12	1	5.5653972e-13	-4.8412656e-12	1.2374325e-05	9.5424922e-06	0	0.00079984003	4.0276268e-06
-5.3978053e-12	1	6.8392726e-12	1.4414673e-12	1.2373145e-05	9.5405907e-06	0	0.00099980004	4.0265187e-06
-5.3978053e-12	1	-1.1646303e-12	-6.5624356e-12	1.2371064e-05	9.5384861e-06	0	0.00119976	4.0243467e-06
-5.3978053e-12	1	-5.0533867e-12	-1.0451192e-11	1.2369333e-05	9.5362167e-06	0	0.0013997201	4.0225714e-06
-5.3978053e-12	1	-4.8344141e-12	-1.0232219e-11	1.2367266e-05	9.5337916e-06	0	0.0015996801	4.0205063e-06
-5.3978053e-12	1	-5.0290575e-12	-1.0426863e-11	1.2365073e-05	9.5312372e-06	0	0.0017996401	4.0183109e-06
-5.3978053e-12	1	-2.3584242e-11	-2.8982048e-11	1.2362673e-05	9.5285916e-06	0	0.0019996001	4.0157007e-06
-5.3978053e-12	1	-1.0363936e-11	-1.5761741e-11	1.2360467e-05	9.5258201e-06	0	0.0021995601	4.0136443e-06
-5.3978053e-12	1	-4.7473251e-11	-5.2871057e-11	1.2357646e-05	9.5229995e-06	0	0.0023995201	4.0104017e-06
-5.3978053e-12	1	-3.7162347e-12	-9.11404e-12	1.2355192e-05	9.5201077e-06	0	0.0025994801	4.0084455e-06
-5.3978053e-12	1	-1.1893634e-11	-1.7291439e-11	1.235247e-05	9.5171713e-06	0	0.0027994401	4.0056303e-06
-5.3978053e-12	1	-2.3592703e-11	-2.8990509e-11	1.23499e-05	9.5141673e-06	0	0.0029994001	4.0029275e-06
-5.3978053e-12	1	6.7832071e-12	1.3854018e-12	1.2347146e-05	9.5111334e-06	0	0.0031993601	4.0005188e-06
-5.3978053e-12	1	-2.0063626e-11	-2.5461431e-11	1.2344496e-05	9.5080413e-06	0	0.0033993201	3.9975632e-06
-5.3978053e-12	1	-2.904713e-11	-3.4444935e-11	1.2341549e-05	9.5049225e-06	0	0.0035992801	3.9945146e-06
-5.3978053e-12	1	-3.2890645e-13	-5.7267118e-12	1.2338634e-05	9.5017964e-06	0	0.0037992402	3.9919256e-06
-5.3978053e-12	1	-2.5001799e-11	-3.0399605e-11	1.233584e-05	9.4986444e-06	0	0.0039992002	3.9888512e-06
-5.3978053e-12	1	-1.316097e-11	-1.8558775e-11	1.2332812e-05	9.4954744e-06	0	0.0041991602	3.9859583e-06
-5.3978053e-12	1	2.142293e-12	-3.2555123e-12	1.232983e-05	9.4923252e-06	0	0.0043991202	3.9831497e-06
-5.3978053e-12	1	-1.2141171e-11	-1.7538976e-11	1.2327013e-05	9.489138e-06	0	0.0045990802	3.9801709e-06
-5.3978053e-12	1	2.0437244e-11	1.5039439e-11	1.2323964e-05	9.4859667e-06	0	0.0047990402	3.9774912e-06
-5.3978053e-12	1	2.5822898e-11	2.0425093e-11	1.2321196e-05	9.4827626e-06	0	0.0049990002	3.9747852e-06
-5.3978053e-12	1	1.4796635e-11	9.3988296e-12	1.2318061e-05	9.4795546e-06	0	0.0051989602	3.9715249e-06
