# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.07.25-12.40.55-00383:7",
#   "date": "2018-07-26",
#   "duration": 1.9024390243902438,
#   "duration approach": 1.0,
#   "duration retract": 1.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-PAA/Ind/5/5um_sec_4nN_A-2018.07.26-16.57.41.908.jpk-force",
#   "point count": 9516,
#   "position x": -1.2400501105203288e-12,
#   "position y": 1.6666666272731735e-05,
#   "rate approach": 4514.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1094064287088143e-08,
#   "session id": "2018.07.25-12.40.55-00383",
#   "setpoint": 4e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 4.9999999999999996e-06,
#   "speed retract": 4.9999999999999996e-06,
#   "spring constant": 0.08802872571823475,
#   "time": "16:57:41.908",
#   "z range": 4.0310960673281106e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-3.2584328e-12	1	-4.5835615e-11	-4.9094048e-11	1.1345608e-05	8.929713e-06	0	0	3.6817542e-06
-3.2584328e-12	1	-2.5783543e-11	-2.9041976e-11	1.1345411e-05	8.9294209e-06	0	0.00019992003	3.6817847e-06
-3.2584328e-12	1	-1.3885584e-11	-1.7144017e-11	1.1345187e-05	8.9290148e-06	0	0.00039984006	3.6816956e-06
-3.2584328e-12	1	-3.564614e-11	-3.8904573e-11	1.1344882e-05	8.9284965e-06	0	0.0005997601	3.6811434e-06
-3.2584328e-12	1	-4.5487442e-12	-7.807177e-12	1.1344478e-05	8.9278926e-06	0	0.00079968013	3.6810931e-06
-3.2584328e-12	1	-3.020441e-11	-3.3462843e-11	1.1343796e-05	8.9272144e-06	0	0.00099960016	3.6801199e-06
-3.2584328e-12	1	-3.0960793e-11	-3.4219226e-11	1.1343635e-05	8.9264639e-06	0	0.0011995202	3.6799498e-06
-3.2584328e-12	1	-4.0338884e-11	-4.3597317e-11	1.1342666e-05	8.9256396e-06	0	0.0013994402	3.6788746e-06
-3.2584328e-12	1	-3.2221786e-11	-3.5480219e-11	1.1342254e-05	8.9247654e-06	0	0.0015993603	3.6785542e-06
-3.2584328e-12	1	-1.9568508e-11	-2.2826941e-11	1.1341554e-05	8.9238317e-06	0	0.0017992803	3.6779983e-06
-3.2584328e-12	1	-3.4886585e-11	-3.8145018e-11	1.1340702e-05	8.9228685e-06	0	0.0019992003	3.6769721e-06
-3.2584328e-12	1	-3.47078e-11	-3.7966233e-11	1.1339912e-05	8.9218702e-06	0	0.0021991204	3.6761848e-06
-3.2584328e-12	1	-4.3858447e-11	-4.711688e-11	1.1339033e-05	8.9208568e-06	0	0.0023990404	3.6752018e-06
-3.2584328e-12	1	-3.3465847e-11	-3.6724279e-11	1.1338092e-05	8.9198288e-06	0	0.0025989604	3.674378e-06
-3.2584328e-12	1	-2.8310808e-11	-3.1569241e-11	1.1337132e-05	8.9187922e-06	0	0.0027988804	3.6734768e-06
-3.2584328e-12	1	-1.2903214e-11	-1.6161647e-11	1.1336398e-05	8.9177322e-06	0	0.0029988005	3.6729179e-06
-3.2584328e-12	1	-2.6552612e-11	-2.9811045e-11	1.1335489e-05	8.9166482e-06	0	0.0031987205	3.6718541e-06
-3.2584328e-12	1	-4.488776e-11	-4.8146193e-11	1.1334607e-05	8.9155554e-06	0	0.0033986405	3.6707634e-06
-3.2584328e-12	1	-8.0524391e-12	-1.1310872e-11	1.1333657e-05	8.914433e-06	0	0.0035985606	3.6702322e-06
