# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2018.07.25-12.40.55-00311:7",
#   "date": "2018-07-26",
#   "duration": 1.9176329468212714,
#   "duration approach": 1.0,
#   "duration retract": 1.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK00522",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Gels-PAA/Ind/5/5um_sec_4nN_C-2018.07.26-15.55.20.093.jpk-force",
#   "point count": 9592,
#   "position x": -1.2400501105203288e-12,
#   "position y": 1.6666666272731735e-05,
#   "rate approach": 4590.0,
#   "rate retract": 5002.0,
#   "segment count": 2,
#   "sensitivity": 2.1094064287088143e-08,
#   "session id": "2018.07.25-12.40.55-00311",
#   "setpoint": 4e-09,
#   "software": "JPK",
#   "software version": "6.1.88",
#   "speed approach": 4.9999999999999996e-06,
#   "speed retract": 4.9999999999999996e-06,
#   "spring constant": 0.08802872571823475,
#   "time": "15:55:20.093",
#   "z range": 4.006608846592336e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-5.7315618e-14	1	-6.8902206e-11	-6.8959522e-11	1.2034778e-05	9.3171464e-06	0	0	3.2413179e-06
-5.7315618e-14	1	-6.5841767e-11	-6.5899082e-11	1.2034723e-05	9.3168949e-06	0	0.00019992003	3.2412978e-06
-5.7315618e-14	1	-4.8782426e-11	-4.8839742e-11	1.2034664e-05	9.316502e-06	0	0.00039984006	3.2414333e-06
-5.7315618e-14	1	-4.0199862e-11	-4.0257177e-11	1.2034434e-05	9.3159891e-06	0	0.0005997601	3.2413009e-06
-5.7315618e-14	1	-3.5100888e-11	-3.5158204e-11	1.2033934e-05	9.3153849e-06	0	0.00079968013	3.2408588e-06
-5.7315618e-14	1	-5.4716059e-11	-5.4773375e-11	1.2033606e-05	9.3146922e-06	0	0.00099960016	3.2403074e-06
-5.7315618e-14	1	-3.1243858e-11	-3.1301174e-11	1.203306e-05	9.3139156e-06	0	0.0011995202	3.240028e-06
-5.7315618e-14	1	-8.4180269e-12	-8.4753425e-12	1.20323e-05	9.3130911e-06	0	0.0013994402	3.2395271e-06
-5.7315618e-14	1	-4.2796953e-11	-4.2854268e-11	1.203172e-05	9.3122208e-06	0	0.0015993603	3.2385569e-06
-5.7315618e-14	1	-3.3211512e-11	-3.3268827e-11	1.2030862e-05	9.3113028e-06	0	0.0017992803	3.237808e-06
