# afmformats 0.18.0
#
# BEGIN METADATA
# {
#   "curve id": "2021.01.27-11.09.51-00388:3",
#   "date": "2021-01-29",
#   "duration": 8.640487609912071,
#   "duration approach": 5.0,
#   "duration retract": 5.0,
#   "enum": 0,
#   "feedback mode": "contact",
#   "format": "JPK Instruments (binary FD data)",
#   "imaging mode": "force-distance",
#   "instrument": "JPK01496-H-18-0132",
#   "path": "/home/paul/Desktop/c2gccnfkgd-2/Interphase_Rep1/2um_s/Spread_16_2um_s-2021.01.29-17.44.33.472.jpk-force",
#   "point count": 43237,
#   "position x": -1.999999678543533e-06,
#   "position y": 1.9999996321824944e-06,
#   "rate approach": 4328.0,
#   "rate retract": 4319.4,
#   "segment count": 2,
#   "sensitivity": 2.6502687587493763e-08,
#   "session id": "2021.01.27-11.09.51-00388",
#   "setpoint": 2e-09,
#   "software": "JPK",
#   "software version": "6.1.157",
#   "speed approach": 2e-06,
#   "speed retract": 2e-06,
#   "spring constant": 0.04708512347154938,
#   "time": "17:44:33.472",
#   "z range": 6.290876969719812e-06
# }
# END METADATA
#
# fit	fit range	fit residuals	force	height (measured)	height (piezo)	segment	time	tip position
-6.1961068e-13	1	1.4551707e-11	1.3932096e-11	1.7031928e-05	1.1701985e-05	0	0	8.0748939e-06
-6.1961068e-13	1	1.8577736e-11	1.7958125e-11	1.7031937e-05	1.1701868e-05	0	0.00019984013	8.0749885e-06
-6.1961068e-13	1	2.539111e-11	2.4771499e-11	1.7031745e-05	1.1701703e-05	0	0.00039968026	8.0749406e-06
-6.1961068e-13	1	-2.0175101e-11	-2.0794712e-11	1.7031759e-05	1.1701477e-05	0	0.00059952038	8.0739866e-06
-6.1961068e-13	1	1.6335547e-11	1.5715936e-11	1.7031603e-05	1.1701217e-05	0	0.00079936051	8.0746064e-06
-6.1961068e-13	1	8.9923134e-12	8.3727027e-12	1.703123e-05	1.1700931e-05	0	0.00099920064	8.0740769e-06
-6.1961068e-13	1	2.2664104e-11	2.2044493e-11	1.7031288e-05	1.1700604e-05	0	0.0011990408	8.0744251e-06
-6.1961068e-13	1	-5.4557385e-12	-6.0753492e-12	1.703104e-05	1.1700231e-05	0	0.0013988809	8.0735799e-06
-6.1961068e-13	1	2.362291e-11	2.3003299e-11	1.7030788e-05	1.1699833e-05	0	0.001598721	8.0739454e-06
-6.1961068e-13	1	1.5847024e-11	1.5227414e-11	1.7030505e-05	1.1699427e-05	0	0.0017985612	8.0734971e-06
-6.1961068e-13	1	7.4406555e-12	6.8210448e-12	1.7030107e-05	1.1699002e-05	0	0.0019984013	8.0729207e-06
-6.1961068e-13	1	2.0279163e-11	1.9659552e-11	1.7029938e-05	1.1698555e-05	0	0.0021982414	8.0730239e-06
-6.1961068e-13	1	1.6703145e-11	1.6083534e-11	1.7029558e-05	1.1698089e-05	0	0.0023980815	8.0725674e-06
-6.1961068e-13	1	-2.268369e-12	-2.8879797e-12	1.7029187e-05	1.1697625e-05	0	0.0025979217	8.0717932e-06
-6.1961068e-13	1	-9.2422781e-12	-9.8618888e-12	1.7028752e-05	1.169716e-05	0	0.0027977618	8.0712101e-06
-6.1961068e-13	1	1.2424747e-11	1.1805136e-11	1.7028586e-05	1.1696674e-05	0	0.0029976019	8.0715043e-06
-6.1961068e-13	1	4.6007862e-12	3.9811755e-12	1.702802e-05	1.1696195e-05	0	0.003197442	8.0707721e-06
-6.1961068e-13	1	2.473392e-11	2.4114309e-11	1.7027742e-05	1.1695702e-05	0	0.0033972822	8.0709212e-06
-6.1961068e-13	1	3.1399276e-11	3.0779665e-11	1.7027287e-05	1.169522e-05	0	0.0035971223	8.070608e-06
-6.1961068e-13	1	-3.7405384e-12	-4.3601491e-12	1.7026962e-05	1.1694728e-05	0	0.0037969624	8.0695369e-06
-6.1961068e-13	1	2.8193794e-11	2.7574184e-11	1.7026619e-05	1.1694225e-05	0	0.0039968026	8.0698717e-06
-6.1961068e-13	1	2.4448417e-11	2.3828806e-11	1.7026146e-05	1.1693727e-05	0	0.0041966427	8.0693188e-06
-6.1961068e-13	1	3.137138e-11	3.075177e-11	1.7025914e-05	1.1693221e-05	0	0.0043964828	8.0692338e-06
-6.1961068e-13	1	2.3004101e-11	2.238449e-11	1.7025508e-05	1.1692701e-05	0	0.0045963229	8.0686494e-06
-6.1961068e-13	1	2.0760251e-11	2.0140641e-11	1.70251e-05	1.1692186e-05	0	0.0047961631	8.0681941e-06
-6.1961068e-13	1	7.1862364e-12	6.5666257e-12	1.702463e-05	1.1691672e-05	0	0.0049960032	8.067436e-06
-6.1961068e-13	1	2.3671696e-11	2.3052085e-11	1.7024301e-05	1.1691163e-05	0	0.0051958433	8.0674566e-06
-6.1961068e-13	1	8.0558678e-13	1.859761e-13	1.7023828e-05	1.169065e-05	0	0.0053956835	8.0664977e-06
-6.1961068e-13	1	2.5025448e-11	2.4405837e-11	1.7023376e-05	1.1690143e-05	0	0.0055955236	8.0665597e-06
-6.1961068e-13	1	1.8009552e-11	1.7389941e-11	1.7023022e-05	1.1689646e-05	0	0.0057953637	8.0660568e-06
-6.1961068e-13	1	2.2497406e-11	2.1877795e-11	1.7022557e-05	1.1689154e-05	0	0.0059952038	8.065687e-06
-6.1961068e-13	1	1.4846586e-11	1.4226975e-11	1.7022237e-05	1.1688642e-05	0	0.006195044	8.065204e-06
-6.1961068e-13	1	1.0366305e-11	9.7466948e-12	1.7021721e-05	1.1688148e-05	0	0.0063948841	8.0645929e-06
-6.1961068e-13	1	1.3516349e-11	1.2896738e-11	1.7021433e-05	1.1687651e-05	0	0.0065947242	8.0643721e-06
-6.1961068e-13	1	5.1363103e-12	4.5166996e-12	1.7020928e-05	1.1687154e-05	0	0.0067945643	8.0636883e-06
-6.1961068e-13	1	1.5038036e-11	1.4418425e-11	1.7020559e-05	1.1686658e-05	0	0.0069944045	8.0635297e-06
-6.1961068e-13	1	1.5402874e-11	1.4783263e-11	1.7020146e-05	1.1686161e-05	0	0.0071942446	8.0631245e-06
-6.1961068e-13	1	2.3204659e-11	2.2585048e-11	1.7019764e-05	1.1685669e-05	0	0.0073940847	8.0629073e-06
-6.1961068e-13	1	1.6306886e-11	1.5687275e-11	1.7019267e-05	1.1685186e-05	0	0.0075939249	8.0622644e-06
-6.1961068e-13	1	1.4448483e-11	1.3828872e-11	1.7018976e-05	1.1684698e-05	0	0.007793765	8.061934e-06
-6.1961068e-13	1	1.4837712e-11	1.4218102e-11	1.7018709e-05	1.168419e-05	0	0.0079936051	8.0616751e-06
-6.1961068e-13	1	8.1313629e-12	7.5117522e-12	1.7018084e-05	1.1683692e-05	0	0.0081934452	8.0609075e-06
-6.1961068e-13	1	3.5053886e-11	3.4434275e-11	1.7017839e-05	1.1683194e-05	0	0.0083932854	8.0612332e-06
-6.1961068e-13	1	3.5716172e-11	3.5096562e-11	1.7017226e-05	1.1682698e-05	0	0.0085931255	8.0606349e-06
-6.1961068e-13	1	1.3671247e-11	1.3051637e-11	1.7016838e-05	1.1682232e-05	0	0.0087929656	8.059778e-06
-6.1961068e-13	1	1.1800232e-11	1.1180621e-11	1.7016536e-05	1.1681747e-05	0	0.0089928058	8.0594366e-06
-6.1961068e-13	1	2.0326342e-11	1.9706732e-11	1.7016214e-05	1.1681249e-05	0	0.0091926459	8.0592956e-06
-6.1961068e-13	1	2.0186026e-11	1.9566416e-11	1.7015705e-05	1.1680752e-05	0	0.009392486	8.058783e-06
-6.1961068e-13	1	2.7598571e-11	2.697896e-11	1.7015315e-05	1.1680269e-05	0	0.0095923261	8.0585506e-06
-6.1961068e-13	1	2.3545071e-11	2.292546e-11	1.7014958e-05	1.1679783e-05	0	0.0097921663	8.0581072e-06
-6.1961068e-13	1	2.1856938e-11	2.1237327e-11	1.7014425e-05	1.1679299e-05	0	0.0099920064	8.0575378e-06
-6.1961068e-13	1	1.2369348e-13	-4.9591719e-13	1.7014313e-05	1.1678797e-05	0	0.010191847	8.0569647e-06
-6.1961068e-13	1	2.9015929e-11	2.8396318e-11	1.7013678e-05	1.1678306e-05	0	0.010391687	8.0569427e-06
-6.1961068e-13	1	1.3063031e-11	1.244342e-11	1.7013446e-05	1.1677806e-05	0	0.010591527	8.0563718e-06
-6.1961068e-13	1	9.7964622e-12	9.1768515e-12	1.7012907e-05	1.1677306e-05	0	0.010791367	8.0557637e-06
-6.1961068e-13	1	1.8011073e-11	1.7391463e-11	1.7012437e-05	1.1676829e-05	0	0.010991207	8.0554677e-06
-6.1961068e-13	1	1.2319472e-11	1.1699861e-11	1.7012051e-05	1.167636e-05	0	0.011191047	8.0549605e-06
-6.1961068e-13	1	2.186539e-11	2.1245779e-11	1.7011457e-05	1.1675896e-05	0	0.011390887	8.0545694e-06
-6.1961068e-13	1	-1.0775993e-11	-1.1395604e-11	1.7011246e-05	1.1675431e-05	0	0.011590727	8.0536649e-06
-6.1961068e-13	1	1.5261301e-11	1.4641691e-11	1.7010782e-05	1.1674958e-05	0	0.011790568	8.0537539e-06
-6.1961068e-13	1	1.7259974e-11	1.6640364e-11	1.7010426e-05	1.1674493e-05	0	0.011990408	8.0534402e-06
-6.1961068e-13	1	2.1605508e-11	2.0985898e-11	1.7009937e-05	1.1674029e-05	0	0.012190248	8.0530429e-06
-6.1961068e-13	1	2.2158851e-11	2.1539241e-11	1.7009631e-05	1.1673558e-05	0	0.012390088	8.0527483e-06
-6.1961068e-13	1	2.7963954e-11	2.7344343e-11	1.7009193e-05	1.1673086e-05	0	0.012589928	8.0524332e-06
-6.1961068e-13	1	1.3210098e-11	1.2590487e-11	1.7008782e-05	1.1672626e-05	0	0.012789768	8.0517092e-06
-6.1961068e-13	1	1.1853575e-11	1.1233965e-11	1.7008583e-05	1.1672146e-05	0	0.012989608	8.0514808e-06
-6.1961068e-13	1	1.8649862e-11	1.8030251e-11	1.7007956e-05	1.1671659e-05	0	0.013189448	8.0509987e-06
-6.1961068e-13	1	1.8002801e-11	1.738319e-11	1.7007646e-05	1.1671196e-05	0	0.013389289	8.0506741e-06
-6.1961068e-13	1	1.4300835e-11	1.3681224e-11	1.7007189e-05	1.167072e-05	0	0.013589129	8.0501384e-06
-6.1961068e-13	1	2.914321e-11	2.8523599e-11	1.7006845e-05	1.1670246e-05	0	0.013788969	8.0501102e-06
-6.1961068e-13	1	1.4708817e-11	1.4089206e-11	1.7006456e-05	1.1669783e-05	0	0.013988809	8.0494136e-06
-6.1961068e-13	1	1.3937274e-11	1.3317664e-11	1.7006096e-05	1.1669301e-05	0	0.014188649	8.0490378e-06
-6.1961068e-13	1	4.0237343e-12	3.4041236e-12	1.7005728e-05	1.1668817e-05	0	0.014388489	8.0484584e-06
-6.1961068e-13	1	2.9109616e-11	2.8490005e-11	1.7005238e-05	1.1668323e-05	0	0.014588329	8.0485016e-06
-6.1961068e-13	1	-1.3516248e-11	-1.4135859e-11	1.7004742e-05	1.1667864e-05	0	0.014788169	8.0470999e-06
-6.1961068e-13	1	9.789198e-12	9.1695874e-12	1.700426e-05	1.1667412e-05	0	0.01498801	8.0471123e-06
-6.1961068e-13	1	2.239501e-11	2.17754e-11	1.7004094e-05	1.1666949e-05	0	0.01518785	8.047214e-06
-6.1961068e-13	1	1.8795511e-11	1.81759e-11	1.7003552e-05	1.1666473e-05	0	0.01538769	8.0465959e-06
-6.1961068e-13	1	3.4235562e-11	3.3615951e-11	1.7003066e-05	1.166602e-05	0	0.01558753	8.0464371e-06
-6.1961068e-13	1	-8.952398e-12	-9.5720086e-12	1.7002722e-05	1.1665574e-05	0	0.01578737	8.0451759e-06
-6.1961068e-13	1	1.1066164e-11	1.0446553e-11	1.7002462e-05	1.1665103e-05	0	0.01598721	8.0453412e-06
-6.1961068e-13	1	1.8756226e-11	1.8136615e-11	1.7001915e-05	1.1664634e-05	0	0.01618705	8.044957e-06
-6.1961068e-13	1	9.0675563e-12	8.4479456e-12	1.7001516e-05	1.1664187e-05	0	0.01638689	8.0443522e-06
-6.1961068e-13	1	1.7222293e-11	1.6602682e-11	1.7001126e-05	1.166373e-05	0	0.016586731	8.0441356e-06
-6.1961068e-13	1	2.3659943e-11	2.3040332e-11	1.7000672e-05	1.1663275e-05	0	0.016786571	8.0438175e-06
-6.1961068e-13	1	2.3989194e-11	2.3369583e-11	1.7000366e-05	1.1662817e-05	0	0.016986411	8.0435182e-06
-6.1961068e-13	1	2.8592913e-11	2.7973302e-11	1.7000071e-05	1.1662358e-05	0	0.017186251	8.0433217e-06
-6.1961068e-13	1	2.3558959e-11	2.2939348e-11	1.6999636e-05	1.1661878e-05	0	0.017386091	8.0427794e-06
-6.1961068e-13	1	2.7480381e-11	2.6860771e-11	1.6999125e-05	1.1661412e-05	0	0.017585931	8.0423511e-06
-6.1961068e-13	1	2.0487257e-11	1.9867647e-11	1.6998755e-05	1.1660954e-05	0	0.017785771	8.0418325e-06
-6.1961068e-13	1	1.4736588e-11	1.4116977e-11	1.6998317e-05	1.1660496e-05	0	0.017985612	8.0412719e-06
-6.1961068e-13	1	2.7183707e-11	2.6564096e-11	1.6998049e-05	1.1660034e-05	0	0.018185452	8.0412682e-06
-6.1961068e-13	1	3.2402304e-12	2.6206197e-12	1.6997549e-05	1.1659569e-05	0	0.018385292	8.0402597e-06
-6.1961068e-13	1	2.8444979e-11	2.7825368e-11	1.69971e-05	1.1659122e-05	0	0.018585132	8.0403465e-06
-6.1961068e-13	1	2.7179505e-11	2.6559895e-11	1.6996736e-05	1.1658659e-05	0	0.018784972	8.039955e-06
-6.1961068e-13	1	2.0558548e-11	1.9938937e-11	1.6996328e-05	1.1658204e-05	0	0.018984812	8.039406e-06
-6.1961068e-13	1	1.3329171e-11	1.270956e-11	1.6995869e-05	1.1657754e-05	0	0.019184652	8.0387931e-06
-6.1961068e-13	1	4.6623588e-12	4.0427481e-12	1.6995664e-05	1.1657294e-05	0	0.019384492	8.0384048e-06
-6.1961068e-13	1	-1.4341468e-12	-2.0537574e-12	1.6995106e-05	1.165682e-05	0	0.019584333	8.0377162e-06
-6.1961068e-13	1	9.7143066e-12	9.0946959e-12	1.6994795e-05	1.1656367e-05	0	0.019784173	8.037642e-06
-6.1961068e-13	1	1.581323e-11	1.5193619e-11	1.6994486e-05	1.1655896e-05	0	0.019984013	8.0374629e-06
-6.1961068e-13	1	2.2394875e-11	2.1775264e-11	1.6994026e-05	1.1655419e-05	0	0.020183853	8.0371419e-06
-6.1961068e-13	1	1.7679328e-11	1.7059718e-11	1.699344e-05	1.1654964e-05	0	0.020383693	8.0364563e-06
-6.1961068e-13	1	8.5442835e-12	7.9246729e-12	1.6993207e-05	1.1654513e-05	0	0.020583533	8.036029e-06
-6.1961068e-13	1	1.1668712e-11	1.1049101e-11	1.699281e-05	1.1654041e-05	0	0.020783373	8.0356975e-06
-6.1961068e-13	1	3.6681293e-11	3.6061682e-11	1.6992354e-05	1.165358e-05	0	0.020983213	8.0357728e-06
-6.1961068e-13	1	1.4188775e-11	1.3569164e-11	1.6991925e-05	1.1653123e-05	0	0.021183054	8.0348659e-06
-6.1961068e-13	1	8.876449e-12	8.2568383e-12	1.6991448e-05	1.1652673e-05	0	0.021382894	8.0342763e-06
-6.1961068e-13	1	1.6860408e-11	1.6240797e-11	1.6991074e-05	1.1652226e-05	0	0.021582734	8.0340712e-06
-6.1961068e-13	1	9.1388933e-12	8.5192826e-12	1.6990642e-05	1.1651783e-05	0	0.021782574	8.0334751e-06
-6.1961068e-13	1	1.2599616e-11	1.1980005e-11	1.6990189e-05	1.165135e-05	0	0.021982414	8.0330955e-06
-6.1961068e-13	1	3.2888039e-12	2.6691932e-12	1.6989897e-05	1.1650905e-05	0	0.022182254	8.0326054e-06
-6.1961068e-13	1	6.8394842e-12	6.2198735e-12	1.6989539e-05	1.1650449e-05	0	0.022382094	8.0323235e-06
-6.1961068e-13	1	1.7750969e-11	1.7131358e-11	1.6989025e-05	1.1650002e-05	0	0.022581934	8.0320402e-06
-6.1961068e-13	1	1.4068217e-11	1.3448607e-11	1.6988714e-05	1.1649553e-05	0	0.022781775	8.0316511e-06
-6.1961068e-13	1	9.1501216e-12	8.5305109e-12	1.6988398e-05	1.1649101e-05	0	0.022981615	8.031231e-06
-6.1961068e-13	1	2.1837761e-11	2.121815e-11	1.6987888e-05	1.1648642e-05	0	0.023181455	8.0309901e-06
-6.1961068e-13	1	1.889691e-11	1.82773e-11	1.6987448e-05	1.1648198e-05	0	0.023381295	8.0304872e-06
-6.1961068e-13	1	2.6697576e-11	2.6077966e-11	1.6987278e-05	1.1647733e-05	0	0.023581135	8.030483e-06
-6.1961068e-13	1	2.4118151e-12	1.7922044e-12	1.6986746e-05	1.1647271e-05	0	0.023780975	8.0294348e-06
-6.1961068e-13	1	3.0741885e-11	3.0122274e-11	1.6986468e-05	1.1646801e-05	0	0.023980815	8.029758e-06
-6.1961068e-13	1	1.54643e-11	1.4844689e-11	1.6985937e-05	1.1646338e-05	0	0.024180655	8.0289023e-06
-6.1961068e-13	1	1.1430958e-12	5.2348515e-13	1.6985528e-05	1.164588e-05	0	0.024380496	8.0281898e-06
-6.1961068e-13	1	-2.8001057e-12	-3.4197164e-12	1.6985069e-05	1.1645426e-05	0	0.024580336	8.0276467e-06
-6.1961068e-13	1	1.7551491e-11	1.6931881e-11	1.6984625e-05	1.1644992e-05	0	0.024780176	8.0276346e-06
-6.1961068e-13	1	1.9252834e-11	1.8633223e-11	1.6984333e-05	1.1644548e-05	0	0.024980016	8.027379e-06
-6.1961068e-13	1	3.0104423e-11	2.9484812e-11	1.6983938e-05	1.1644092e-05	0	0.025179856	8.0272144e-06
-6.1961068e-13	1	2.5779806e-11	2.5160195e-11	1.6983442e-05	1.1643641e-05	0	0.025379696	8.0266261e-06
-6.1961068e-13	1	-3.9945312e-12	-4.6141419e-12	1.6982992e-05	1.1643204e-05	0	0.025579536	8.0255437e-06
-6.1961068e-13	1	2.5242115e-11	2.4622504e-11	1.6982811e-05	1.1642754e-05	0	0.025779376	8.0259835e-06
-6.1961068e-13	1	1.2503523e-11	1.1883913e-11	1.698235e-05	1.1642289e-05	0	0.025979217	8.0252513e-06
-6.1961068e-13	1	2.8040419e-11	2.7420808e-11	1.6981914e-05	1.164184e-05	0	0.026179057	8.0251451e-06
-6.1961068e-13	1	2.9635536e-11	2.9015925e-11	1.6981528e-05	1.1641382e-05	0	0.026378897	8.0247931e-06
-6.1961068e-13	1	6.0301462e-12	5.4105356e-12	1.6981077e-05	1.1640938e-05	0	0.026578737	8.0238401e-06
-6.1961068e-13	1	2.2100743e-11	2.1481132e-11	1.698063e-05	1.1640496e-05	0	0.026778577	8.0237348e-06
-6.1961068e-13	1	9.5222616e-12	8.902651e-12	1.6980251e-05	1.1640052e-05	0	0.026978417	8.0230883e-06
-6.1961068e-13	1	1.2384106e-11	1.1764495e-11	1.6979816e-05	1.1639619e-05	0	0.027178257	8.022714e-06
-6.1961068e-13	1	1.426394e-11	1.3644329e-11	1.6979424e-05	1.1639177e-05	0	0.027378098	8.0223618e-06
-6.1961068e-13	1	2.2721823e-11	2.2102212e-11	1.6979192e-05	1.1638726e-05	0	0.027577938	8.0223094e-06
-6.1961068e-13	1	1.2614017e-11	1.1994406e-11	1.6978648e-05	1.163828e-05	0	0.027777778	8.0215507e-06
-6.1961068e-13	1	1.5967089e-11	1.5347478e-11	1.6978172e-05	1.1637835e-05	0	0.027977618	8.0211455e-06
-6.1961068e-13	1	2.1575501e-11	2.095589e-11	1.6978008e-05	1.1637399e-05	0	0.028177458	8.0211006e-06
-6.1961068e-13	1	1.5137426e-11	1.4517816e-11	1.6977544e-05	1.1636929e-05	0	0.028377298	8.0204999e-06
-6.1961068e-13	1	1.7523213e-11	1.6903603e-11	1.6977025e-05	1.1636487e-05	0	0.028577138	8.0200309e-06
-6.1961068e-13	1	1.6802859e-11	1.6183248e-11	1.6976635e-05	1.1636044e-05	0	0.028776978	8.0196258e-06
-6.1961068e-13	1	2.13391e-11	2.071949e-11	1.697619e-05	1.1635613e-05	0	0.028976819	8.0192767e-06
-6.1961068e-13	1	9.1236081e-13	2.9275013e-13	1.6975884e-05	1.1635177e-05	0	0.029176659	8.0185365e-06
-6.1961068e-13	1	2.0738081e-11	2.0118471e-11	1.6975448e-05	1.1634729e-05	0	0.029376499	8.0185214e-06
-6.1961068e-13	1	1.0094573e-11	9.4749622e-12	1.6975237e-05	1.163427e-05	0	0.029576339	8.0180847e-06
-6.1961068e-13	1	1.810899e-11	1.748938e-11	1.6974764e-05	1.1633812e-05	0	0.029776179	8.0177811e-06
-6.1961068e-13	1	1.493361e-11	1.4313999e-11	1.6974317e-05	1.1633356e-05	0	0.029976019	8.017267e-06
-6.1961068e-13	1	1.6674689e-11	1.6055078e-11	1.6973874e-05	1.163291e-05	0	0.030175859	8.0168609e-06
-6.1961068e-13	1	2.6612696e-11	2.5993086e-11	1.6973539e-05	1.1632458e-05	0	0.030375699	8.0167366e-06
-6.1961068e-13	1	2.9398405e-11	2.8778794e-11	1.697292e-05	1.163202e-05	0	0.03057554	8.0161764e-06
-6.1961068e-13	1	3.4970743e-11	3.4351132e-11	1.6972545e-05	1.1631598e-05	0	0.03077538	8.01592e-06
-6.1961068e-13	1	1.2587807e-11	1.1968197e-11	1.6972295e-05	1.1631161e-05	0	0.03097522	8.015194e-06
-6.1961068e-13	1	2.2843645e-11	2.2224035e-11	1.6971678e-05	1.1630732e-05	0	0.03117506	8.0147951e-06
-6.1961068e-13	1	2.020223e-11	1.9582619e-11	1.6971561e-05	1.1630303e-05	0	0.0313749	8.0146214e-06
